FIELD	COUNT	DESC
insertionEventCt	28876	Number of times insertions are observed in a read
highCoverageDeletionLoci	78	Number of high-coverage deletion loci.
highCoverageInsertionLoci	61	Number of high-coverage insertion loci
PAIR_CONTAINS_DEL	26476	Number of read-pairs containing one or more deletions
PAIR_CONTAINS_INS	31320	Number of read-pairs containing one or more insertions
PAIR_CONTAINS_INS_AND_DEL	305	Number of read-pairs containing one or more insertions and deletions
PAIR_CONTAINS_INDEL	57491	Number of read-pairs containing one or more insertions or deletions
PAIR_CONTAINS_NO_INDEL	2381270	Number of read-pairs containing no indels
READ_CONTAINS_DEL_R1	17135	Number of read pairs containing a del in read 1
READ_CONTAINS_INS_R1	21233	Number of read pairs containing a ins in read 2
READ_CONTAINS_NO_INDEL_R1	2400553	Number of read pairs containing no indels in read 1
READ_CONTAINS_DEL_R2	9341	Number of read pairs containing a del in read 2
READ_CONTAINS_INS_R2	10087	Number of read pairs containing a ins in read 2
READ_CONTAINS_NO_INDEL_R2	2419393	Number of read pairs containing no indels in read 2
OM_noOverlap_staggered	0	Number of read-pairs with no overlap, mis-staggered such that the fwd read occurs second.
OM_noOverlap_normal	580873	Number of read-pairs with no overlap, arranged normally
OM_overlap	1857886	Number of read-pairs with good overlap.
OM_BAD_OVERLAP	2	Number of read-pairs with a bad overlap
OM_overlap_Match	1702441	Number of read-pairs with a good overlap, and that match perfectly.
OM_overlap_mismatch	155445	Number of read-pairs with a good overlap, but that contain one or more base mismatches
NumReadsAtMaxReadLength_R1	2438761	Number of read-1 reads at the max length.
NumReadsAtMaxReadLength_R2	2438761	Number of read-2 reads at the max length.
NumReadsTruncated_R1	0	Number of read-1 reads that are not at the max length.
NumReadsTruncated_R2	0	Number of read-2 reads that are not at the max length.
NumReadsTruncated_25pct_R1	0	Number of read-1 reads that are truncated to less than 25% of the max length
NumReadsTruncated_25pct_R2	0	Number of read-2 reads that are truncated to less than 25% of the max length
NumReadsTruncated_50pct_R1	0	Number of read-1 reads that are truncated to less than 50% of the max length
NumReadsTruncated_50pct_R2	0	Number of read-2 reads that are truncated to less than 50% of the max length
NumReadsTruncated_75pct_R1	0	Number of read-1 reads that are truncated to less than 75% of the max length
NumReadsTruncated_75pct_R2	0	Number of read-2 reads that are truncated to less than 75% of the max length
READ_LENGTH	125	The read length.
COMPLETED_WITHOUT_WARNING	0	0 if complete without throwing any warnings. 1 if warnings were thrown.
QoRTs_initTimeStamp	1572915997666	Time stamp for when QoRTs QC began.
QoRTs_samDoneTimeStamp	1572916505821	Time stamp for when QoRTs QC finished SAM iteration.
QoRTs_majorVer	1	QoRTs major version number
QoRTs_minorVer	3	QoRTs minor version number
QoRTs_patchVer	6	QoRTs patch version number
QoRTs_compileTimeStamp	1537888906	The timestamp for when the version of QoRTs was built.
COMPLETED_WITHOUT_ERROR	1	1 if QoRTs completed without errors. If QoRTs encountered an error, this file should not exist.
