FIELD	COUNT	DESC
ReadPairs_UniqueGene_UTR	896423	Number of reads or read-pairs that map to a genomic area covered by exactly one gene, but that only cover the UTR (non-coding) regions.
ReadPairs_NoGene	1980208	Number of reads or read-pairs that are not assigned to any gene.
ReadPairs_NoGene_Intron	1823196	Number of reads or read-pairs that are not assigned to any gene, and that occur within an intronic region of one or more genes.
ReadPairs_NoGene_OneKbFromGene	34884	Number of reads or read-pairs that are not assigned to any gene, and that are within 1kb from one or more genes.
ReadPairs_NoGene_TenKbFromGene	101989	Number of reads or read-pairs that are not assigned to any gene, and that are within 10kb from one or more genes.
ReadPairs_NoGene_MiddleOfNowhere	20139	Number of reads or read-pairs that are not assigned to any gene, and that are more than 10kb from the nearest gene
Genes_Total	55421	Number of known genes
Genes_WithZeroCounts	37940	Number of genes with zero observed reads
Genes_WithNonzeroCounts	17481	Number of genes with 1 or more observed reads
InsertSizeCalc_Kept	3772797	Number of read-pairs that satisfied the filters needed to calculate insert size.
InsertSizeCalc_lt_readLen	13977	Number of read pairs with insert size less than the read length
InsertSizeCalc_eq_readLen	6541	Number of read pairs with insert size equal to the read length
InsertSizeCalc_readLen_to_2xreadLen	1693930	Number of read pairs with insert size greater than the read length but less than twice the read length
InsertSizeCalc_ge_2xreadLen	2058349	Number of read pairs greater than twice the read length
InsertSizeCalc_Drop_TOTAL	12658	Number of read-pairs for which insert size could not be successfully calculated
InsertSizeCalc_Drop_REASON1	0	Dropped because the forward read appears after the reverse read
InsertSizeCalc_Drop_REASON2	2845	Dropped because the paired reads have different splicing over the overlapped region
InsertSizeCalc_Drop_REASON3	9813	Dropped because too many adaptor bases are aligned to the reference genome (indicating bad alignment)
AVG_GC_R1	0.4575143340377456	Average GC fraction for read 1
AVG_GC_R2	0.4573672044700788	Average GC fraction for read 2
AVG_GC	0.4574407692539122	Average GC fraction across all reads
AggregateGenes	48535	Number of aggregate genes
AggregateGenes_NoReads	33458	Number of aggregate genes with 0 observed reads
AggregateGenes_WithReads	15077	Number of aggregate genes with 1 or more observed reads
SpliceLoci	291965	Number of splice loci observed
SpliceLoci_Known	284992	Number of known splice loci
SpliceLoci_Known_NoReads	212745	Number of known splice loci with 0 observed reads
SpliceLoci_Known_FewReads	42781	Number of known splice loci with 1-3 observed reads
SpliceLoci_Known_ManyReads	29466	Number of known splice loci with 4+ observed reads
SpliceLoci_Novel	6973	Number of novel splice loci observed
SpliceLoci_Novel_FewReads	6900	Number of novel splice loci observed with 1-3 observed reads
SpliceLoci_Novel_ManyReads	73	Number of novel splice loci observed with 4+ observed reads
SpliceEvents	486257	Number of observed splicing events (each read or read-pair that maps across a splice junction is a splice 'event')
SpliceEvents_KnownLoci	478350	Number of splice events covering known SJ loci
SpliceEvents_KnownLociWithFewReads	72353	Number of splice events covering low-coverage known SJ loci
SpliceEvents_KnownLociWithManyReads	405997	Number of splice events covering high-coverage known SJ loci
SpliceEvents_NovelLoci	7907	Number of splice events covering noverl SJ loci
SpliceEvents_NovelLociWithFewReads	7420	Number of splice events covering low-coverage novel SJ loci
SpliceEvents_NovelLociWithManyReads	487	Number of splice events covering high-coverage novel SJ loci
StrandTest_frFirstStrand	699816	Number of reads or read-pairs that match the fr_FirstStrand strandedness rule
StrandTest_frSecondStrand	935394	Number of reads or read-pairs that match the fr_secondstrand strandedness rule
StrandTest_ambig_genesFountOnBothStrands	70340	Number of reads or read-pairs where the strandedness is ambiguous due to there being genes on both strands
StrandTest_ambig_noGenes	2079568	Number of reads or read-pairs where the strandedness is ambiguous due to there being no known genes.
StrandTest_ambig_other	337	Numebr of reads or read-pairs where the strandedness is ambiguous due to other reasons
StrandTest_STRANDEDNESS_MATCHES_INFERRED	1	1 if the strandedness appears to match the strandedness mode, 0 otherwise.
NumberOfChromosomesCovered	36	Number of chromosomes with 1 or more aligned reads.
deletionLoci	47463	Number of observed deletion loci
insertionLoci	26165	Number of observed insertion loci
deletionEventCt	58057	Number of times deletions are observed in a read
insertionEventCt	47059	Number of times insertions are observed in a read
highCoverageDeletionLoci	71	Number of high-coverage deletion loci.
highCoverageInsertionLoci	145	Number of high-coverage insertion loci
PAIR_CONTAINS_DEL	57750	Number of read-pairs containing one or more deletions
PAIR_CONTAINS_INS	44046	Number of read-pairs containing one or more insertions
PAIR_CONTAINS_INS_AND_DEL	356	Number of read-pairs containing one or more insertions and deletions
PAIR_CONTAINS_INDEL	101440	Number of read-pairs containing one or more insertions or deletions
PAIR_CONTAINS_NO_INDEL	3684015	Number of read-pairs containing no indels
READ_CONTAINS_DEL_R1	49723	Number of read pairs containing a del in read 1
READ_CONTAINS_INS_R1	37445	Number of read pairs containing a ins in read 2
READ_CONTAINS_NO_INDEL_R1	3698525	Number of read pairs containing no indels in read 1
READ_CONTAINS_DEL_R2	8027	Number of read pairs containing a del in read 2
READ_CONTAINS_INS_R2	6601	Number of read pairs containing a ins in read 2
READ_CONTAINS_NO_INDEL_R2	3770835	Number of read pairs containing no indels in read 2
OM_noOverlap_staggered	0	Number of read-pairs with no overlap, mis-staggered such that the fwd read occurs second.
OM_noOverlap_normal	2064932	Number of read-pairs with no overlap, arranged normally
OM_overlap	1720523	Number of read-pairs with good overlap.
OM_BAD_OVERLAP	0	Number of read-pairs with a bad overlap
OM_overlap_Match	1600485	Number of read-pairs with a good overlap, and that match perfectly.
OM_overlap_mismatch	120038	Number of read-pairs with a good overlap, but that contain one or more base mismatches
NumReadsAtMaxReadLength_R1	3782295	Number of read-1 reads at the max length.
NumReadsAtMaxReadLength_R2	3780708	Number of read-2 reads at the max length.
NumReadsTruncated_R1	3160	Number of read-1 reads that are not at the max length.
NumReadsTruncated_R2	4747	Number of read-2 reads that are not at the max length.
NumReadsTruncated_25pct_R1	0	Number of read-1 reads that are truncated to less than 25% of the max length
NumReadsTruncated_25pct_R2	0	Number of read-2 reads that are truncated to less than 25% of the max length
NumReadsTruncated_50pct_R1	2181	Number of read-1 reads that are truncated to less than 50% of the max length
NumReadsTruncated_50pct_R2	3148	Number of read-2 reads that are truncated to less than 50% of the max length
NumReadsTruncated_75pct_R1	3160	Number of read-1 reads that are truncated to less than 75% of the max length
NumReadsTruncated_75pct_R2	4747	Number of read-2 reads that are truncated to less than 75% of the max length
READ_LENGTH	75	The read length.
COMPLETED_WITHOUT_WARNING	0	0 if complete without throwing any warnings. 1 if warnings were thrown.
QoRTs_initTimeStamp	1572916589227	Time stamp for when QoRTs QC began.
QoRTs_samDoneTimeStamp	1572917120037	Time stamp for when QoRTs QC finished SAM iteration.
QoRTs_majorVer	1	QoRTs major version number
QoRTs_minorVer	3	QoRTs minor version number
QoRTs_patchVer	6	QoRTs patch version number
QoRTs_compileTimeStamp	1537888906	The timestamp for when the version of QoRTs was built.
COMPLETED_WITHOUT_ERROR	1	1 if QoRTs completed without errors. If QoRTs encountered an error, this file should not exist.
