FIELD	COUNT	DESC
InsertSizeCalc_Kept	3773097	Number of read-pairs that satisfied the filters needed to calculate insert size.
InsertSizeCalc_lt_readLen	13870	Number of read pairs with insert size less than the read length
InsertSizeCalc_eq_readLen	6535	Number of read pairs with insert size equal to the read length
InsertSizeCalc_readLen_to_2xreadLen	1692468	Number of read pairs with insert size greater than the read length but less than twice the read length
InsertSizeCalc_ge_2xreadLen	2060224	Number of read pairs greater than twice the read length
InsertSizeCalc_Drop_TOTAL	12818	Number of read-pairs for which insert size could not be successfully calculated
InsertSizeCalc_Drop_REASON1	0	Dropped because the forward read appears after the reverse read
InsertSizeCalc_Drop_REASON2	2979	Dropped because the paired reads have different splicing over the overlapped region
InsertSizeCalc_Drop_REASON3	9839	Dropped because too many adaptor bases are aligned to the reference genome (indicating bad alignment)
AVG_GC_R1	0.45751415390145983	Average GC fraction for read 1
AVG_GC_R2	0.45733612336735074	Average GC fraction for read 2
AVG_GC	0.45742513863440526	Average GC fraction across all reads
AggregateGenes	48535	Number of aggregate genes
AggregateGenes_NoReads	33512	Number of aggregate genes with 0 observed reads
AggregateGenes_WithReads	15023	Number of aggregate genes with 1 or more observed reads
SpliceLoci	291921	Number of splice loci observed
SpliceLoci_Known	284992	Number of known splice loci
SpliceLoci_Known_NoReads	212723	Number of known splice loci with 0 observed reads
SpliceLoci_Known_FewReads	42760	Number of known splice loci with 1-3 observed reads
SpliceLoci_Known_ManyReads	29509	Number of known splice loci with 4+ observed reads
SpliceLoci_Novel	6929	Number of novel splice loci observed
SpliceLoci_Novel_FewReads	6856	Number of novel splice loci observed with 1-3 observed reads
SpliceLoci_Novel_ManyReads	73	Number of novel splice loci observed with 4+ observed reads
SpliceEvents	485437	Number of observed splicing events (each read or read-pair that maps across a splice junction is a splice 'event')
SpliceEvents_KnownLoci	477586	Number of splice events covering known SJ loci
SpliceEvents_KnownLociWithFewReads	71989	Number of splice events covering low-coverage known SJ loci
SpliceEvents_KnownLociWithManyReads	405597	Number of splice events covering high-coverage known SJ loci
SpliceEvents_NovelLoci	7851	Number of splice events covering noverl SJ loci
SpliceEvents_NovelLociWithFewReads	7363	Number of splice events covering low-coverage novel SJ loci
SpliceEvents_NovelLociWithManyReads	488	Number of splice events covering high-coverage novel SJ loci
StrandTest_frFirstStrand	700884	Number of reads or read-pairs that match the fr_FirstStrand strandedness rule
StrandTest_frSecondStrand	935011	Number of reads or read-pairs that match the fr_secondstrand strandedness rule
StrandTest_ambig_genesFountOnBothStrands	70130	Number of reads or read-pairs where the strandedness is ambiguous due to there being genes on both strands
StrandTest_ambig_noGenes	2079513	Number of reads or read-pairs where the strandedness is ambiguous due to there being no known genes.
StrandTest_ambig_other	377	Numebr of reads or read-pairs where the strandedness is ambiguous due to other reasons
StrandTest_STRANDEDNESS_MATCHES_INFERRED	1	1 if the strandedness appears to match the strandedness mode, 0 otherwise.
NumberOfChromosomesCovered	35	Number of chromosomes with 1 or more aligned reads.
deletionLoci	47626	Number of observed deletion loci
insertionLoci	26212	Number of observed insertion loci
deletionEventCt	58322	Number of times deletions are observed in a read
insertionEventCt	47596	Number of times insertions are observed in a read
highCoverageDeletionLoci	61	Number of high-coverage deletion loci.
highCoverageInsertionLoci	154	Number of high-coverage insertion loci
PAIR_CONTAINS_DEL	58002	Number of read-pairs containing one or more deletions
PAIR_CONTAINS_INS	44112	Number of read-pairs containing one or more insertions
PAIR_CONTAINS_INS_AND_DEL	393	Number of read-pairs containing one or more insertions and deletions
PAIR_CONTAINS_INDEL	101721	Number of read-pairs containing one or more insertions or deletions
PAIR_CONTAINS_NO_INDEL	3684194	Number of read-pairs containing no indels
READ_CONTAINS_DEL_R1	49890	Number of read pairs containing a del in read 1
READ_CONTAINS_INS_R1	37384	Number of read pairs containing a ins in read 2
READ_CONTAINS_NO_INDEL_R1	3698894	Number of read pairs containing no indels in read 1
READ_CONTAINS_DEL_R2	8112	Number of read pairs containing a del in read 2
READ_CONTAINS_INS_R2	6728	Number of read pairs containing a ins in read 2
READ_CONTAINS_NO_INDEL_R2	3771090	Number of read pairs containing no indels in read 2
OM_noOverlap_staggered	0	Number of read-pairs with no overlap, mis-staggered such that the fwd read occurs second.
OM_noOverlap_normal	2066709	Number of read-pairs with no overlap, arranged normally
OM_overlap	1719206	Number of read-pairs with good overlap.
OM_BAD_OVERLAP	0	Number of read-pairs with a bad overlap
OM_overlap_Match	1598633	Number of read-pairs with a good overlap, and that match perfectly.
OM_overlap_mismatch	120573	Number of read-pairs with a good overlap, but that contain one or more base mismatches
NumReadsAtMaxReadLength_R1	3782751	Number of read-1 reads at the max length.
NumReadsAtMaxReadLength_R2	3781238	Number of read-2 reads at the max length.
NumReadsTruncated_R1	3164	Number of read-1 reads that are not at the max length.
NumReadsTruncated_R2	4677	Number of read-2 reads that are not at the max length.
NumReadsTruncated_25pct_R1	0	Number of read-1 reads that are truncated to less than 25% of the max length
NumReadsTruncated_25pct_R2	0	Number of read-2 reads that are truncated to less than 25% of the max length
NumReadsTruncated_50pct_R1	2192	Number of read-1 reads that are truncated to less than 50% of the max length
NumReadsTruncated_50pct_R2	3078	Number of read-2 reads that are truncated to less than 50% of the max length
NumReadsTruncated_75pct_R1	3164	Number of read-1 reads that are truncated to less than 75% of the max length
NumReadsTruncated_75pct_R2	4677	Number of read-2 reads that are truncated to less than 75% of the max length
READ_LENGTH	75	The read length.
COMPLETED_WITHOUT_WARNING	0	0 if complete without throwing any warnings. 1 if warnings were thrown.
QoRTs_initTimeStamp	1572917199085	Time stamp for when QoRTs QC began.
QoRTs_samDoneTimeStamp	1572917732123	Time stamp for when QoRTs QC finished SAM iteration.
QoRTs_majorVer	1	QoRTs major version number
QoRTs_minorVer	3	QoRTs minor version number
QoRTs_patchVer	6	QoRTs patch version number
QoRTs_compileTimeStamp	1537888906	The timestamp for when the version of QoRTs was built.
COMPLETED_WITHOUT_ERROR	1	1 if QoRTs completed without errors. If QoRTs encountered an error, this file should not exist.
