# Analysis title: diff_Primary_versus_Naive_c3.0_cond1_formatted analysis from Cistrome-GO
# Mode: Solo mode
# Specie: mm10
# Peak bed file name: diff_Primary_versus_Naive_c3.0_cond1_formatted.bed
# Top peaks to use: 10000
# Half-decay distance: 1000bp
# FDR cutoff of GO/KEGG terms to return: 0.2
# Minimum and maximum gene number in GO and KEGG gene sets: 10, 2000
# Symbol	Coordinate	PeakNumber	adjRPscore	RPscore	Rank_by_RPscore
Gm15008	chrX:36910833-36911985	0	0.0	0.0	4473
Sacs	chr14:61138456-61240693	0	0.0	0.0	4473
Zfp712	chr13:67038593-67061170	0	0.0	0.0	4473
Zfp710	chr7:80026227-80092751	1	0.007	0.002	3660
Zfp711	chrX:112600525-112635062	0	0.0	0.0	4473
Zfp715	chr7:43296522-43313300	0	0.0	0.0	4473
Mllt6	chr11:97663411-97685458	4	0.955	0.307	919
Zfp719	chr7:43579585-43593710	1	0.623	0.2	2297
Mllt1	chr17:56892610-56935388	0	0.0	0.0	4473
Mllt3	chr4:87769924-88033407	0	0.0	0.0	4473
Btg4	chr9:51116000-51119923	0	0.0	0.0	4473
Btg3	chr16:78359859-78376810	0	0.0	0.0	4473
Btg2	chr1:134074864-134079155	3	0.0	0.0	4315
Btg1	chr10:96617000-96622811	1	0.834	0.267	1391
Smok3a	chr5:138021275-138034659	0	0.0	0.0	4473
Smok3c	chr5:138053194-138066539	0	0.0	0.0	4473
Smok3b	chr5:138037223-138050633	0	0.0	0.0	4473
Nupl1	chr14:60218070-60251479	1	0.799	-0.1	6297
Nupl2	chr5:24164962-24184010	0	0.0	0.0	4473
Hoxd3os1	chr2:74710043-74716130	0	0.0	0.0	4473
Ttc30a2	chr2:75976171-75978179	0	0.0	0.0	4473
Npat	chr9:53537046-53575627	0	0.0	0.0	4473
Ttc30a1	chr2:75979105-75981967	0	0.0	0.0	4473
Gga1	chr15:78877189-78894585	0	0.0	0.0	4473
Gga3	chr11:115584254-115603916	1	0.658	0.211	2193
Gga2	chr7:121986721-122021198	0	0.0	0.0	4473
Sorbs1	chr19:40292039-40402310	0	0.0	0.0	4473
Sorbs3	chr14:70180467-70192246	0	0.0	0.0	4473
Sorbs2	chr8:45507787-45827906	0	0.0	0.0	4473
Tshz2	chr2:169632508-169913092	0	0.0	0.0	4473
Tshz3	chr7:36698117-36773553	0	0.0	0.0	4473
Tshz1	chr18:84011626-84087708	1	0.057	0.018	3310
Mir302c	chr3:127545362-127545430	2	0.01	0.002	3710
Bbof1	chr12:84409067-84433780	0	0.0	-0.002	5484
Speer4d	chr5:15619098-15623864	0	0.0	0.0	4473
Speer4e	chr5:14933630-14938475	0	0.0	0.0	4473
Speer4a	chr5:26034269-26039505	0	0.0	0.0	4473
Speer4b	chr5:27495808-27501392	0	0.0	0.0	4473
Speer4c	chr5:15709504-15714271	0	0.0	0.0	4473
Arhgef28	chr13:97898594-98206165	0	0.0	0.0	4473
Malrd1	chr2:15526478-16255557	0	0.0	0.0	4473
Trnt1	chr6:106769137-106777681	1	0.668	-0.144	6486
Arhgef26	chr3:62338776-62462221	0	0.0	0.0	4473
Efnb1	chrX:99136060-99149022	0	0.0	0.0	4473
Lmna	chr3:88483204-88503352	1	0.002	-0.003	5613
Fndc3c1	chrX:106420042-106485229	0	0.0	0.0	4473
Zdbf2	chr1:63273268-63314575	0	0.0	0.0	4473
Sorcs1	chr19:50147660-50678646	0	0.0	0.0	4473
Sorcs2	chr5:36017180-36398139	0	0.0	0.0	4473
Sorcs3	chr19:48206024-48805505	0	0.0	0.0	4473
Trim34a	chr7:104244456-104262236	0	0.0	0.0	4473
Trim34b	chr7:104329470-104336617	0	0.0	0.0	4473
Prepl	chr17:85063476-85090267	0	0.0	-0.281	6810
4933412E24Rik	chr15:60014865-60016618	0	0.0	0.0	4473
Cdhr1	chr14:37077848-37098347	0	0.0	0.0	4473
Cdhr2	chr13:54701462-54736662	0	0.0	-0.002	5546
Cdhr3	chr12:33033795-33092875	0	0.0	0.0	4473
Cdhr5	chr7:141269084-141276786	0	0.0	0.0	4473
Gm12863	chr4:118954272-118954919	0	0.0	0.0	4473
Gm36633	chr7:71947526-71962018	0	0.0	0.0	4473
Gm12866	chr4:119054789-119069111	0	0.0	0.0	4473
Tcof1	chr18:60813755-60848964	1	0.574	0.184	2449
Gm3279	chr6:55684570-55694574	0	0.0	0.0	4473
AI662270	chr11:83223575-83226584	1	0.408	0.131	2767
Olfr523	chr7:140176103-140177057	0	0.0	0.0	4473
Olfr522	chr7:140162009-140162948	0	0.0	0.0	4473
Olfr521	chr7:99767163-99768129	0	0.0	0.0	4473
Olfr520	chr7:99735144-99736095	0	0.0	0.0	4473
Olfr527	chr7:140335863-140336781	0	0.0	0.0	4473
Olfr525	chr7:140322700-140323630	0	0.0	0.0	4473
Olfr524	chr7:140201811-140202768	7	0.115	0.037	3179
Gm10646	chr9:67102299-67109599	0	0.0	0.0	4473
Gm10640	chr7:31162357-31170641	6	0.013	0.004	3570
Gm10649	chr8:76749086-76900621	0	0.0	0.0	4473
Zik1	chr7:10487223-10495381	0	0.0	0.0	4473
8430426J06Rik	chr15:81242653-81247971	0	0.0	0.0	4473
Usp8	chr2:126707327-126759314	0	0.0	-0.38	7598
Usp1	chr4:98923809-98935542	2	1.328	0.426	569
Usp2	chr9:44069428-44095627	0	0.0	-0.196	6592
Usp3	chr9:66514638-66593115	0	0.0	-0.005	5716
Usp4	chr9:108347830-108392529	0	0.0	-0.001	5463
Usp5	chr6:124815018-124829484	0	0.0	0.0	4473
Usp7	chr16:8688721-8738342	0	0.0	0.0	4473
Rpl38	chr11:114668579-114672333	1	0.45	0.144	2687
Rpl39	chrX:37082517-37085222	0	0.0	0.0	4473
Rpl36	chr17:56613394-56614246	1	0.0	-0.0	4500
Rpl37	chr15:5116612-5119140	0	0.0	-0.344	7273
Rpl34	chr3:130726826-130730337	1	0.851	-0.053	6057
Rpl35	chr2:39001580-39005131	0	0.0	0.0	4473
Rpl32	chr6:115805513-115808743	1	0.656	0.21	2201
Rpl30	chr15:34440507-34443225	1	0.684	0.219	2096
Rpl31	chr1:39367850-39371910	1	0.524	0.168	2551
Anp32e	chr3:95929256-95947387	2	0.957	0.307	915
Fam13b	chr18:34442350-34506823	0	0.0	0.0	4473
Fam13c	chr10:70440909-70558732	0	0.0	0.0	4473
Fam13a	chr6:58933535-59024502	0	0.0	0.0	4473
Bcas2	chr3:103171654-103179154	0	0.0	-0.014	5870
Bcas3	chr11:85353163-85826058	1	0.857	0.275	1254
Bcas1	chr2:170346990-170427845	0	0.0	0.0	4473
Gm8369	chr19:11492037-11512577	9	1.424	0.457	461
Gm8363	chr17:5480988-5483069	0	0.0	0.0	4473
Krtap28-13	chr1:83060929-83061921	0	0.0	0.0	4473
Hist3h2ba	chr11:58948910-58949372	0	0.0	-0.001	5302
Mlycd	chr8:119394893-119411102	0	0.0	0.0	4473
Hist4h4	chr6:136803992-136804431	3	0.835	-0.007	5763
Rpl3l	chr17:24727828-24736149	1	0.081	0.024	3265
Ttbk2	chr2:120732816-120850418	0	0.0	0.0	4473
Gm10046	chr7:27765672-27770972	0	0.0	0.0	4473
Ttbk1	chr17:46442447-46487675	0	0.0	0.0	4473
Ncor2	chr5:125017152-125179214	0	0.0	0.0	4473
Ncor1	chr11:62401376-62457332	1	0.001	0.0	3958
1810010D01Rik	chr7:145205817-145208119	0	0.0	0.0	4473
Pebp1	chr5:117282650-117287564	0	0.0	0.0	4473
Gkn1	chr6:87345652-87350915	0	0.0	0.0	4473
Gkn2	chr6:87373364-87379494	0	0.0	0.0	4473
Gkn3	chr6:87383318-87388935	0	0.0	0.0	4473
Magohb	chr6:131284388-131293244	0	0.0	0.0	4473
Ankrd50	chr3:38449260-38484816	0	0.0	0.0	4473
Ppme1	chr7:100326736-100371896	1	0.856	-0.067	6128
Gltpd2	chr11:70519208-70520736	0	0.0	-0.0	4829
Gm19276	chr15:10829050-10832713	0	0.0	0.0	4473
Gm19277	chr15:85149253-85156132	0	0.0	0.0	4473
Cep162	chr9:87191962-87255532	0	0.0	0.0	4473
Gm14015	chr2:106463822-106523103	0	0.0	0.0	4473
Fam234b	chr6:135197986-135236240	0	0.0	0.0	4473
Lrriq1	chr10:103214398-103236322	0	0.0	0.0	4473
Fam234a	chr17:26212698-26244242	0	0.0	-0.001	5439
Lrriq4	chr3:30647885-30672431	0	0.0	0.0	4473
Vmn2r84	chr10:130385799-130394241	0	0.0	0.0	4473
Vmn2r85	chr10:130418260-130429612	0	0.0	0.0	4473
Vmn2r86	chr10:130446198-130455894	0	0.0	0.0	4473
Gm15767	chr6:147242214-147243801	0	0.0	0.0	4473
Gm15760	chr16:20545111-20548556	2	0.72	0.231	1947
Vmn2r81	chr10:79247776-79294535	0	0.0	0.0	4473
Vmn2r82	chr10:79356590-79396766	0	0.0	0.0	4473
Vmn2r83	chr10:79468957-79492154	0	0.0	0.0	4473
Tinf2	chr14:55679079-55681817	0	0.0	-0.001	5319
Vmn2r88	chr14:51411000-51418882	0	0.0	0.0	4473
Vmn2r89	chr14:51451961-51461293	0	0.0	0.0	4473
Egf	chr3:129677576-129725086	0	0.0	0.0	4473
Slc4a11	chr2:130684107-130697519	0	0.0	0.0	4473
Slc4a10	chr2:62046514-62326743	0	0.0	0.0	4473
4930519G04Rik	chr5:114853713-114883879	0	0.0	0.0	4473
Ptprz1	chr6:22875501-23004684	0	0.0	0.0	4473
Pold1	chr7:44532743-44548815	1	0.022	-0.004	5661
Pold2	chr11:5872179-5878256	1	0.809	0.26	1526
Pold3	chr7:100082112-100121500	1	0.617	-0.136	6452
Pold4	chr19:4231892-4233634	1	0.864	0.277	1214
Hdac1	chr4:129516103-129542646	0	0.0	0.0	4473
Hdac3	chr18:37936970-37954988	0	0.0	0.0	4473
Hdac2	chr10:36974543-37001888	0	0.0	-0.005	5697
Hdac5	chr11:102195746-102230172	0	0.0	0.0	4473
Hdac4	chr1:91928778-92180341	0	0.0	0.0	4473
Hdac7	chr15:97792663-97831767	1	0.013	0.004	3565
Hdac6	chrX:7930121-7947889	0	0.0	0.0	4473
Hdac9	chr12:34371496-34528889	0	0.0	0.0	4473
Hdac8	chrX:102407601-102505158	0	0.0	0.0	4473
Gmpr	chr13:45507443-45546386	0	0.0	0.0	4473
Gmps	chr3:63976142-64019078	1	0.0	-0.009	5810
1110032F04Rik	chr3:68869585-68872163	0	0.0	0.0	4473
4930557J02Rik	chr5:34118739-34135339	0	0.0	0.0	4473
Pvr	chr7:19903577-19921143	0	0.0	0.0	4473
4732471J01Rik	chr7:25394712-25566417	0	0.0	0.0	4473
Lix1l	chr3:96601132-96625352	0	0.0	0.0	4473
Ikzf5	chr7:131388648-131410478	0	0.0	-0.327	7115
Ikzf4	chr10:128630842-128645993	0	0.0	0.0	4473
Ikzf1	chr11:11690176-11772926	3	0.198	0.063	3032
Ikzf3	chr11:98464692-98546031	4	2.018	0.648	78
Ikzf2	chr1:69531209-69685960	3	1.649	0.529	210
H2afv	chr11:6427225-6444443	0	0.0	0.0	4473
Mbtd1	chr11:93886170-93946989	0	0.0	0.0	4473
H2afx	chr9:44334714-44336073	3	0.788	0.001	3764
H2afy	chr13:56073621-56135550	0	0.0	0.0	4473
H2afz	chr3:137864486-137866922	0	0.0	0.0	4473
Gm29679	chr2:166564521-166567140	0	0.0	0.0	4473
Gm29678	chr1:190403647-190417145	0	0.0	0.0	4473
H2afj	chr6:136808247-136810074	3	1.589	0.486	375
Theg	chr10:79576476-79587136	0	0.0	0.0	4473
Gm21083	chr5:15576946-15582097	0	0.0	0.0	4473
Fgf18	chr11:33116977-33147400	0	0.0	0.0	4473
Fgf13	chrX:59062145-59134436	0	0.0	0.0	4473
Fgf12	chr16:28396944-28446075	0	0.0	0.0	4473
Fgf11	chr11:69796067-69802280	0	0.0	0.0	4473
Fgf10	chr13:118714698-118792573	0	0.0	0.0	4473
Fgf17	chr14:70636202-70642268	0	0.0	0.0	4473
Fgf16	chrX:105764476-105776532	0	0.0	0.0	4473
Fgf15	chr7:144896531-144900951	0	0.0	0.0	4473
Fgf14	chr14:123978290-124192546	0	0.0	0.0	4473
Prss46	chr9:110844505-110856522	0	0.0	0.0	4473
Prss44	chr9:110813993-110817999	0	0.0	0.0	4473
Prss45	chr9:110834587-110841310	0	0.0	0.0	4473
Prss42	chr9:110798184-110803744	0	0.0	0.0	4473
Prss43	chr9:110826689-110831504	0	0.0	0.0	4473
Prss40	chr1:34552330-34560943	0	0.0	0.0	4473
Prss41	chr17:23836784-23844156	0	0.0	0.0	4473
Prss48	chr3:85993809-86002491	0	0.0	0.0	4473
Phc1	chr6:122317730-122339657	0	0.0	0.0	4473
Phc3	chr3:30899294-30969415	1	0.648	0.208	2225
Phc2	chr4:128654701-128752881	0	0.0	0.0	4473
Golt1b	chr6:142387242-142403858	0	0.0	0.0	4473
Golt1a	chr1:133309822-133323026	0	0.0	0.0	4473
Med25	chr7:44879383-44892424	1	0.129	0.041	3149
4930544M13Rik	chr13:114607227-114697822	0	0.0	0.0	4473
Grin1os	chr2:25291219-25298928	0	0.0	0.0	4473
F830208F22Rik	chr18:77793258-77796390	0	0.0	0.0	4473
Chmp3	chr6:71543851-71582609	0	0.0	-0.331	7157
Chmp7	chr14:69716978-69732570	0	0.0	-0.323	7084
Chmp6	chr11:119913809-119919552	2	0.818	0.263	1469
Chmp5	chr4:40948552-40965302	0	0.0	-0.299	6902
Recql5	chr11:115892594-115933492	2	1.537	0.493	345
Mir6941	chr12:112920482-112920541	0	0.0	0.0	4473
Gcnt7	chr2:172450312-172458596	0	0.0	0.0	4473
Mir6943	chr13:55453105-55453171	0	0.0	0.0	4473
Gcnt1	chr19:17326140-17356667	0	0.0	0.0	4473
Mir6945	chr13:55507624-55507692	1	0.019	0.006	3506
Fam170a	chr18:50278368-50283020	0	0.0	0.0	4473
Mir6947	chr14:29988887-29988952	0	0.0	0.0	4473
Mir6948	chr14:54643048-54643110	0	0.0	0.0	4473
Mir6949	chr14:56082400-56082468	0	0.0	0.0	4473
Mark4	chr7:19426074-19458494	0	0.0	0.0	4473
Mark1	chr1:184896423-184999549	0	0.0	0.0	4473
Mark2	chr19:7275395-7295447	0	0.0	0.0	4473
Mark3	chr12:111574509-111656227	0	0.0	0.0	4473
4930565D16Rik	chr3:84349375-84379921	0	0.0	0.0	4473
Gm7607	chr9:14663021-14665100	0	0.0	0.0	4473
Nmd3	chr3:69722054-69749046	1	0.643	0.206	2240
Rps15a-ps6	chr11:6172507-6173331	0	0.0	0.0	4473
Extl1	chr4:134356372-134372547	0	0.0	0.0	4473
Extl2	chr3:116007448-116029016	0	0.0	0.0	4473
Extl3	chr14:65052058-65098106	0	0.0	0.0	4473
Gm7609	chr1:85199610-85213762	0	0.0	0.0	4473
Tia1	chr6:86404218-86433405	1	0.708	0.224	2051
Tmem160	chr7:16452778-16455490	0	0.0	0.0	4473
Tmem163	chr1:127490341-127678021	0	0.0	0.0	4473
Tmem165	chr5:76183879-76209244	0	0.0	0.0	4473
Tmem164	chrX:142681399-142838371	0	0.0	0.0	4473
Med26	chr8:72494558-72548310	1	0.745	0.239	1821
Tmem169	chr1:72284372-72302995	0	0.0	0.0	4473
Tmem168	chr6:13580688-13608098	0	0.0	-0.335	7194
Tbc1d8	chr1:39371495-39478755	0	0.0	0.0	4473
Tbc1d9	chr8:83165351-83272940	0	0.0	0.0	4473
Tbc1d1	chr5:64230356-64351486	0	0.0	0.0	4473
Tbc1d2	chr4:46604389-46650199	0	0.0	-0.003	5602
Tbc1d4	chr14:101442359-101609191	0	0.0	0.0	4473
Tbc1d5	chr17:50733126-51179352	0	0.0	-0.305	6939
Tbc1d7	chr13:43151741-43171501	3	0.879	-0.097	6286
D730003I15Rik	chr1:191224453-191225687	0	0.0	0.0	4473
Spata48	chr11:11463743-11515190	1	0.238	0.076	2986
Spata45	chr1:191036821-191042941	0	0.0	-0.0	5065
Spata46	chr1:170308818-170312125	0	0.0	0.0	4473
Tex13a	chrX:138208158-138209580	0	0.0	0.0	4473
Mir3070a	chr12:109587942-109588031	0	0.0	0.0	4473
Mir3070b	chr12:109588591-109588680	0	0.0	0.0	4473
4933405E24Rik	chr11:54177771-54213288	1	0.34	0.109	2858
Mir293	chr7:3220342-3220422	0	0.0	0.0	4473
Akirin2	chr4:34550614-34566908	1	0.586	0.188	2411
Akirin1	chr4:123735194-123750299	0	0.0	0.0	4473
Olfr247	chr10:129983479-129984424	0	0.0	0.0	4473
Ap3m1	chr14:21033741-21052442	0	0.0	0.0	4473
Crhbp	chr13:95431375-95444831	0	0.0	0.0	4473
Limd2	chr11:106156253-106160176	0	0.0	0.0	4473
Limd1	chr9:123478700-123521552	0	0.0	0.0	4473
1700046C09Rik	chr11:14560335-14599225	0	0.0	0.0	4473
Nop58	chr1:59685005-59711510	0	0.0	-0.359	7418
Acsf2	chr11:94557101-94601786	0	0.0	0.0	4473
Acsf3	chr8:122775485-122817887	0	0.0	0.0	4473
Nop53	chr7:15937835-15946108	0	0.0	0.0	4473
Sarnp	chr10:128821763-128877638	1	0.786	0.252	1636
Cdk13	chr13:17715961-17805097	0	0.0	-0.0	4968
Kcnip4	chr5:48389502-48889557	0	0.0	0.0	4473
Kcnip3	chr2:127456497-127521392	0	0.0	0.0	4473
Kcnip2	chr19:45792345-45812291	0	0.0	0.0	4473
Kcnip1	chr11:33629340-33843686	0	0.0	0.0	4473
4930553E22Rik	chr16:84371142-84375505	0	0.0	0.0	4473
4930447A16Rik	chr15:37425553-37440644	0	0.0	0.0	4473
Tpcn1	chr5:120534156-120588613	0	0.0	0.0	4473
Tpcn2	chr7:145215208-145284011	1	0.847	0.272	1310
Tcirg1	chr19:3896049-3906983	3	1.339	0.43	559
Ltbp4	chr7:27305140-27333648	0	0.0	0.0	4473
Ltbp3	chr19:5740899-5758532	3	0.002	0.001	3887
Ltbp2	chr12:84783211-84876495	0	0.0	0.0	4473
Tcl1	chr12:105216754-105222737	0	0.0	0.0	4473
Olfr911-ps1	chr9:38523729-38524669	0	0.0	0.0	4473
Chadl	chr15:81686166-81697287	0	0.0	0.0	4473
3300002P13Rik	chr7:3421664-3423445	0	0.0	0.0	4473
Gm34240	chr3:63439250-63457897	0	0.0	0.0	4473
9530082P21Rik	chr17:23749235-23754065	0	0.0	0.0	4473
Gm1600	chr16:10324104-10331285	0	0.0	0.0	4473
Secisbp2	chr13:51651707-51684044	4	0.663	-0.163	6523
Cacna1h	chr17:25374286-25433783	0	0.0	0.0	4473
Calhm4	chr10:34038783-34044313	0	0.0	0.0	4473
Calhm6	chr10:34126066-34127972	0	0.0	0.0	4473
Calhm1	chr19:47141034-47144174	0	0.0	0.0	4473
Calhm2	chr19:47132231-47138294	0	0.0	0.0	4473
Cacna1a	chr8:84415363-84640249	0	0.0	0.0	4473
Cacna1b	chr2:24603888-24763152	0	0.0	0.0	4473
Cacna1c	chr6:118587239-119196409	0	0.0	0.0	4473
Cacna1d	chr14:30039940-30353486	0	0.0	-0.0	5014
Cacna1e	chr1:154392518-154725920	0	0.0	0.0	4473
Cacna1f	chrX:7607102-7635196	0	0.0	0.0	4473
Cacna1g	chr11:94408390-94474198	0	0.0	0.0	4473
Impad1	chr4:4762483-4793306	0	0.0	0.0	4473
Cacna1s	chr1:136052900-136119822	0	0.0	0.0	4473
Olfr1414	chr1:92511047-92518515	0	0.0	0.0	4473
Xrn1	chr9:95954759-96057806	1	0.713	-0.118	6379
Xrn2	chr2:147012998-147077997	1	0.907	0.071	3012
Pde11a	chr2:75990721-76338793	0	0.0	0.0	4473
Gm17689	chr9:36581277-36582635	0	0.0	0.0	4473
Olfr1417	chr19:11828076-11829024	0	0.0	0.0	4473
Nubpl	chr12:52097745-52310959	0	0.0	0.0	4473
Dynlrb2	chr8:116505014-116515915	0	0.0	0.0	4473
Dynlrb1	chr2:155236607-155250277	0	0.0	0.0	4473
Mir7228	chr5:134572075-134572114	1	0.0	0.0	4080
Mir7229	chr5:113324492-113324545	0	0.0	0.0	4473
Mir7222	chr2:92594601-92594676	0	0.0	0.0	4473
Mir7223	chr11:107996847-107996916	0	0.0	0.0	4473
Mir7220	chr18:60953872-60953932	0	0.0	0.0	4473
Mir7221	chr2:92592205-92592277	0	0.0	0.0	4473
Mir7226	chr4:118210504-118210564	0	0.0	0.0	4473
Mir7227	chr4:133717049-133717108	0	0.0	0.0	4473
Mir7224	chr2:67675456-67675516	0	0.0	0.0	4473
Mir7225	chr3:97690508-97690562	0	0.0	0.0	4473
Gdpd5	chr7:99381517-99461874	0	0.0	0.0	4473
Mir1298	chrX:147064904-147065002	0	0.0	0.0	4473
1600015I10Rik	chr6:48929895-48933687	0	0.0	0.0	4473
Cnot9	chr1:74506059-74530842	3	1.874	0.596	109
Cnot8	chr11:58104308-58118597	1	0.948	-0.054	6059
Gm10486	chrX:28584991-28607902	0	0.0	0.0	4473
Gm10487	chrX:35404186-35427076	0	0.0	0.0	4473
Cnot3	chr7:3645268-3661109	1	0.684	0.219	2097
Cnot2	chr10:116485160-116581511	0	0.0	0.0	4473
Cnot1	chr8:95719450-95807462	0	0.0	0.0	4473
Cnot7	chr8:40492537-40510479	1	0.699	0.224	2044
Cnot6	chr11:49671496-49712722	0	0.0	0.0	4473
Cnot4	chr6:35022064-35133737	0	0.0	-0.251	6687
Mir3107	chr8:23142572-23142662	0	0.0	0.0	4473
Mir3106	chr8:16168756-16168838	0	0.0	0.0	4473
Mir3105	chr7:144009253-144009338	0	0.0	0.0	4473
Mir3104	chr7:141992178-141992241	0	0.0	0.0	4473
Mir3103	chr7:128288368-128288435	0	0.0	0.0	4473
Mir3102	chr7:100882305-100882409	0	0.0	0.0	4473
Mir3101	chr7:27176005-27176093	2	0.315	0.101	2887
Mir3100	chr7:19086827-19086892	0	0.0	0.0	4473
Oscar	chr7:3609814-3616157	2	0.38	0.122	2804
Mir3109	chr9:69456943-69457031	1	0.494	0.159	2610
Mir3108	chr8:108936859-108936938	0	0.0	0.0	4473
Sirpb1a	chr3:15371826-15426427	0	0.0	0.0	4473
Sirpb1b	chr3:15495753-15575065	0	0.0	0.0	4473
Sirpb1c	chr3:15795146-15848487	0	0.0	0.0	4473
B930018H19Rik	chr8:34589419-34640316	0	0.0	0.0	4473
Nfic	chr10:81396190-81427173	0	0.0	0.0	4473
Nfib	chr4:82290172-82505779	0	0.0	0.0	4473
Nfia	chr4:97777625-98118876	0	0.0	0.0	4473
Mir877	chr17:35960729-35960814	1	0.003	0.001	3825
Mir876	chr4:36645372-36645453	0	0.0	0.0	4473
Mir875	chr15:35660969-35661047	0	0.0	0.0	4473
Mir874	chr13:58023124-58023200	0	0.0	0.0	4473
Mir879	chr5:9375703-9375779	0	0.0	0.0	4473
Mir878	chrX:66801507-66801585	0	0.0	0.0	4473
Cxcr3	chrX:101731534-101734147	3	0.931	0.299	975
Cxcr2	chr1:74153993-74161246	0	0.0	0.0	4473
Cxcr1	chr1:74191785-74194631	1	0.013	0.004	3572
Ttyh1	chr7:4119529-4135407	0	0.0	0.0	4473
Cxcr5	chr9:44511786-44526421	1	0.862	0.277	1224
Ttyh3	chr5:140620576-140649031	0	0.0	0.0	4473
Cyp2j11	chr4:96294508-96348680	0	0.0	0.0	4473
Cyp2j12	chr4:96099315-96141152	0	0.0	0.0	4473
Nfix	chr8:84704711-84774369	0	0.0	0.0	4473
Fbxl20	chr11:98082553-98149616	0	0.0	0.0	4473
Fbxl21	chr13:56522471-56537898	0	0.0	0.0	4473
Fbxl22	chr9:66508458-66514593	0	0.0	0.0	4473
5930412G12Rik	chr5:128579129-128600687	0	0.0	0.0	4473
Dlc1	chr8:36567738-36613943	0	0.0	0.0	4473
Pkig	chr2:163658385-163726158	1	0.0	-0.0	4683
U2surp	chr9:95456893-95511996	0	0.0	-0.384	7618
Pkib	chr10:57650980-57741112	0	0.0	0.0	4473
Arhgef25	chr10:127182520-127189823	0	0.0	0.0	4473
A930031H19Rik	chr4:131000831-131010474	0	0.0	0.0	4473
Lnpep	chr17:17527722-17624489	3	0.634	-0.008	5790
Gss	chr2:155563180-155592810	0	0.0	0.0	4473
Gsr	chr8:33653237-33698162	1	0.0	-0.0	4611
Izumo1	chr7:45621810-45627242	0	0.0	0.0	4473
Izumo2	chr7:44708742-44719842	0	0.0	0.0	4473
Izumo3	chr4:92144317-92147221	0	0.0	0.0	4473
Izumo4	chr10:80702692-80705382	6	0.91	0.292	1032
Gsn	chr2:35256358-35307902	0	0.0	0.0	4473
Wnt3	chr11:103774174-103818021	0	0.0	0.0	4473
Wnt2	chr6:17988939-18030445	0	0.0	0.0	4473
Wnt1	chr15:98789856-98793830	0	0.0	0.0	4473
Wnt6	chr1:74771891-74785319	0	0.0	0.0	4473
Wnt4	chr4:137277634-137299501	0	0.0	0.0	4473
Syngap1	chr17:26941451-26970645	0	0.0	-0.001	5454
Fam219aos	chr4:41517436-41518929	0	0.0	0.0	4473
Trpd52l3	chr19:30003789-30006020	0	0.0	0.0	4473
Grhl1	chr12:24580718-24617391	1	0.0	0.0	4224
Grhl2	chr15:37233035-37363568	0	0.0	0.0	4473
Grhl3	chr4:135541887-135573632	0	0.0	0.0	4473
1190005I06Rik	chr8:120608601-120634382	0	0.0	0.0	4473
Defa6	chr8:21734536-21735377	0	0.0	0.0	4473
Defa5	chr8:21297393-21298375	0	0.0	0.0	4473
Defa4	chr8:21065065-21065232	0	0.0	0.0	4473
Defa3	chr8:21287408-21288377	0	0.0	0.0	4473
Defa2	chr8:21378516-21379495	0	0.0	0.0	4473
Cyp4f41-ps	chr17:32950960-32965716	2	1.539	0.494	344
Hhatl	chr9:121784015-121792507	0	0.0	0.0	4473
Tmprss9	chr10:80879815-80899494	0	0.0	0.0	4473
Cyp4a12a	chr4:115299045-115332815	0	0.0	0.0	4473
