# Analysis title: diff_Primary_versus_Naive_c3.0_cond1_formatted analysis from Cistrome-GO
# Mode: Solo mode
# Specie: mm10
# Peak bed file name: diff_Primary_versus_Naive_c3.0_cond1_formatted.bed
# Top peaks to use: 10000
# Half-decay distance: 1000bp
# FDR cutoff of GO/KEGG terms to return: 0.2
# Minimum and maximum gene number in GO and KEGG gene sets: 10, 2000
# Term	N,n,B,b	Erichment	p_value	FDR	Gene_number
epithelial cell differentiation(GO:0030855)	20774, 120, 315, 5	2.748	0.222749475924	0.516375092905	315
regulation of protein sumoylation(GO:0033233)	20774, 1850, 24, 7	3.275	0.0184866328254	0.109880150678	24
positive regulation of epithelial cell differentiation(GO:0030858)	20774, 1369, 61, 3	0.746	0.925831870185	1.0	61
polarized epithelial cell differentiation(GO:0030859)	20774, 712, 16, 1	1.824	0.56259251674	0.810514642761	16
primary amino compound metabolic process(GO:1901160)	20774, 1604, 14, 2	1.85	0.42473483251	0.712509206243	14
S-adenosylmethionine metabolic process(GO:0046500)	20774, 0, 14, 0	0.0	1.0	1.0	14
glycerolipid catabolic process(GO:0046503)	20774, 1448, 42, 1	0.342	0.968274866006	1.0	42
regulation of trophoblast cell migration(GO:1901163)	20774, 672, 11, 2	5.621	0.109398263288	0.34236405868	11
base-excision repair(GO:0006284)	20774, 1959, 32, 11	3.645	0.000687141457844	0.0105170203837	32
pH reduction(GO:0045851)	20774, 1929, 33, 6	1.958	0.23303245468	0.528206897274	33
axon regeneration(GO:0031103)	20774, 261, 18, 1	4.422	0.366605052344	0.660000018592	18
neuron projection regeneration(GO:0031102)	20774, 261, 25, 1	3.184	0.476389591609	0.749725029372	25
animal organ regeneration(GO:0031100)	20774, 1960, 26, 6	2.446	0.107755119705	0.338780957592	26
social behavior(GO:0035176)	20774, 24, 52, 1	16.646	0.211926535519	0.502125589383	52
regulation of protein kinase activity(GO:0045859)	20774, 1352, 654, 68	1.598	0.00150096032835	0.018272560519	654
positive regulation of multi-organism process(GO:0043902)	20774, 1228, 168, 18	1.813	0.0763583623642	0.27422559476	168
microtubule polymerization or depolymerization(GO:0031109)	20774, 1908, 33, 5	1.65	0.402074735993	0.694187792283	33
regulation of glial cell apoptotic process(GO:0034350)	20774, 1196, 12, 1	1.447	0.550761021	0.801324212968	12
defense response to fungus(GO:0050832)	20774, 799, 23, 4	4.522	0.0427540642714	0.189487286715	23
defense response to Gram-positive bacterium(GO:0050830)	20774, 106, 112, 4	6.999	0.0194519786959	0.114028840631	112
regulation of cell-substrate adhesion(GO:0010810)	20774, 761, 206, 14	1.855	0.132685341371	0.388902512976	206
response to histamine(GO:0034776)	20774, 0, 11, 0	0.0	1.0	1.0	11
regulation of acute inflammatory response(GO:0002673)	20774, 1638, 48, 7	1.85	0.259560135314	0.556785148308	48
dendrite extension(GO:0097484)	20774, 1789, 11, 1	1.056	0.631082551392	0.859746120385	11
neuron projection guidance(GO:0097485)	20774, 209, 202, 3	1.476	0.760545983337	0.942024168796	202
regulation of chronic inflammatory response(GO:0002676)	20774, 75, 11, 2	50.361	0.0029174755497	0.0301240425522	11
positive regulation of acute inflammatory response(GO:0002675)	20774, 1638, 32, 5	1.982	0.273605147464	0.573811365673	32
regulation of axonogenesis(GO:0050770)	20774, 176, 204, 1	0.579	0.983989486648	1.0	204
tyrosine metabolic process(GO:0006570)	20774, 0, 11, 0	0.0	1.0	1.0	11
cellular modified amino acid metabolic process(GO:0006575)	20774, 15, 152, 1	9.111	0.397187008846	0.689525096191	152
ruffle assembly(GO:0097178)	20774, 204, 13, 1	7.833	0.239654247595	0.536068711725	13
amino-acid betaine metabolic process(GO:0006577)	20774, 15, 13, 1	106.533	0.0315829366286	0.155144250105	13
negative regulation of interleukin-6 secretion(GO:1900165)	20774, 933, 11, 1	2.024	0.466333834479	0.74074158306	11
positive regulation of axonogenesis(GO:0050772)	20774, 1310, 101, 5	0.785	0.952963125186	1.0	101
positive regulation of telomere maintenance via telomere lengthening(GO:1904358)	20774, 142, 36, 1	4.064	0.459696245812	0.73613063372	36
regulation of gene expression, epigenetic(GO:0040029)	20774, 788, 198, 7	0.932	0.935160986426	1.0	198
regulation of nuclear division(GO:0051783)	20774, 1961, 207, 32	1.638	0.0313260033214	0.154680265363	207
negative regulation of cell division(GO:0051782)	20774, 1941, 14, 3	2.293	0.265296762873	0.565776250572	14
positive regulation of cell division(GO:0051781)	20774, 1368, 79, 11	2.114	0.0780409847777	0.277576688695	79
dicarboxylic acid catabolic process(GO:0043649)	20774, 1873, 13, 2	1.706	0.457690256751	0.736122858688	13
mRNA splice site selection(GO:0006376)	20774, 901, 27, 3	2.562	0.277196557535	0.578398985461	27
positive regulation of nuclear division(GO:0051785)	20774, 1710, 78, 8	1.246	0.653605285108	0.873682149819	78
negative regulation of nuclear division(GO:0051784)	20774, 1961, 53, 8	1.599	0.352437402577	0.649729680971	53
positive regulation of leukocyte adhesion to vascular endothelial cell(GO:1904996)	20774, 1638, 14, 6	5.435	0.00171233632842	0.0200391242544	14
regulation of leukocyte adhesion to vascular endothelial cell(GO:1904994)	20774, 1638, 17, 6	4.476	0.0061497322857	0.0515364888731	17
mRNA cleavage(GO:0006379)	20774, 62, 20, 1	16.753	0.15629008813	0.4252724884	20
myeloid cell differentiation(GO:0030099)	20774, 1366, 181, 30	2.521	3.81103398923e-05	0.00101343697144	181
regulation of transcription initiation from RNA polymerase II promoter(GO:0060260)	20774, 178, 29, 1	4.024	0.436228681991	0.718510154164	29
positive regulation of transcription initiation from RNA polymerase II promoter(GO:0060261)	20774, 178, 23, 1	5.074	0.367676110947	0.660928356536	23
regulation of cell aging(GO:0090342)	20774, 1591, 47, 6	1.667	0.385279330545	0.677818675047	47
positive regulation of cell aging(GO:0090343)	20774, 630, 11, 1	2.998	0.408017407815	0.700130807931	11
negative regulation of cell aging(GO:0090344)	20774, 1591, 25, 3	1.567	0.50341456174	0.767537896823	25
hemoglobin metabolic process(GO:0020027)	20774, 585, 13, 1	2.732	0.43636487257	0.718510154164	13
mitotic sister chromatid cohesion(GO:0007064)	20774, 753, 15, 3	5.518	0.0505946222391	0.210094834021	15
embryonic digestive tract development(GO:0048566)	20774, 1601, 16, 1	0.811	0.734828404787	0.922411183225	16
embryonic organ development(GO:0048568)	20774, 715, 167, 13	2.262	0.0392336034644	0.179396688271	167
antibiotic biosynthetic process(GO:0017000)	20774, 1141, 13, 2	2.801	0.278422641745	0.578730032623	13
antibiotic catabolic process(GO:0017001)	20774, 1560, 45, 5	1.48	0.521919304423	0.780210572268	45
polyamine biosynthetic process(GO:0006596)	20774, 1376, 13, 1	1.161	0.615977813435	0.848149954282	13
embryonic camera-type eye development(GO:0031076)	20774, 673, 13, 2	4.749	0.145620741794	0.409908179149	13
cytochrome complex assembly(GO:0017004)	20774, 136, 31, 3	14.782	0.00566029844098	0.0481125367484	31
polyamine metabolic process(GO:0006595)	20774, 1737, 19, 2	1.259	0.618534973983	0.849325546668	19
regulation of glucose metabolic process(GO:0010906)	20774, 423, 117, 3	1.259	0.794395888207	0.964786491949	117
positive regulation of glucose metabolic process(GO:0010907)	20774, 1789, 42, 5	1.382	0.562118735694	0.810514642761	42
histone H3-K9 modification(GO:0061647)	20774, 0, 14, 0	0.0	1.0	1.0	14
regulation of small molecule metabolic process(GO:0062012)	20774, 25, 342, 3	7.289	0.0659894384135	0.248353762809	342
uterus development(GO:0060065)	20774, 0, 20, 0	0.0	1.0	1.0	20
tetrahydrofolate metabolic process(GO:0046653)	20774, 1734, 20, 2	1.198	0.644553233401	0.869635314906	20
regulation of response to oxidative stress(GO:1902882)	20774, 63, 93, 1	3.546	0.595662704053	0.833192615719	93
signal transduction by p53 class mediator(GO:0072331)	20774, 1996, 76, 21	2.876	6.80373801249e-05	0.00172264856061	76
monocarboxylic acid biosynthetic process(GO:0072330)	20774, 57, 173, 1	2.107	0.789693219485	0.9628431672	173
peptide hormone secretion(GO:0030072)	20774, 1220, 64, 2	0.532	0.970091737006	1.0	64
intrinsic apoptotic signaling pathway by p53 class mediator(GO:0072332)	20774, 1996, 52, 16	3.202	0.000161780176608	0.00338278912619	52
superoxide anion generation(GO:0042554)	20774, 646, 13, 1	2.474	0.4650306218	0.739931451006	13
neuron maturation(GO:0042551)	20774, 985, 26, 1	0.811	0.821426742927	0.98414077431	26
pteridine-containing compound metabolic process(GO:0042558)	20774, 1734, 32, 3	1.123	0.710502618371	0.908893432799	32
pteridine-containing compound biosynthetic process(GO:0042559)	20774, 1155, 14, 1	1.285	0.604953207055	0.839037664796	14
pigment granule localization(GO:0051875)	20774, 1476, 20, 6	4.222	0.0102541083406	0.0714634783326	20
snoRNA processing(GO:0043144)	20774, 1871, 13, 2	1.708	0.457194163317	0.735963550013	13
synapse maturation(GO:0060074)	20774, 0, 15, 0	0.0	1.0	1.0	15
energy reserve metabolic process(GO:0006112)	20774, 1445, 59, 7	1.706	0.344535801696	0.642126239653	59
regulation of T cell mediated immunity(GO:0002709)	20774, 1196, 93, 17	3.175	0.000237020754071	0.00458625524137	93
regulation of gluconeogenesis(GO:0006111)	20774, 1923, 48, 5	1.125	0.731606175077	0.920551253864	48
negative regulation of regulated secretory pathway(GO:1903306)	20774, 73, 23, 1	12.373	0.204436858285	0.493468278618	23
positive regulation of regulated secretory pathway(GO:1903307)	20774, 495, 57, 3	2.209	0.412595862834	0.703926991789	57
regulation of regulated secretory pathway(GO:1903305)	20774, 110, 182, 3	3.113	0.324897135012	0.623311723158	182
positive regulation of lipase activity(GO:0060193)	20774, 1323, 54, 5	1.454	0.558234653418	0.807658647498	54
calcium ion transmembrane import into cytosol(GO:0097553)	20774, 1372, 62, 10	2.442	0.0414137884704	0.186146962341	62
skeletal system morphogenesis(GO:0048705)	20774, 37, 136, 1	4.128	0.591126586191	0.831395539122	136
locomotory behavior(GO:0007626)	20774, 24, 233, 1	3.715	0.667839452154	0.881074221799	233
grooming behavior(GO:0007625)	20774, 1835, 15, 4	3.019	0.103382926331	0.331159306416	15
embryonic skeletal system development(GO:0048706)	20774, 894, 48, 1	0.484	0.950278958673	1.0	48
circadian rhythm(GO:0007623)	20774, 1228, 129, 16	2.098	0.0287885949035	0.147324409034	129
lipid metabolic process(GO:0006629)	20774, 30, 1040, 4	2.663	0.386403034196	0.678450181768	1040
embryonic viscerocranium morphogenesis(GO:0048703)	20774, 93, 11, 1	20.307	0.111005415373	0.346255424099	11
response to amino acid(GO:0043200)	20774, 459, 179, 2	0.506	0.993246590244	1.0	179
cell-cell adhesion(GO:0098609)	20774, 2, 383, 1	27.12	0.23713528028	0.533419865385	383
protein targeting to mitochondrion(GO:0006626)	20774, 99, 18, 1	11.658	0.200765190667	0.489069758228	18
posttranslational protein targeting to endoplasmic reticulum membrane(GO:0006620)	20774, 1843, 11, 2	2.049	0.369917797784	0.662955089401	11
astrocyte differentiation(GO:0048708)	20774, 23, 20, 1	45.161	0.0739114986748	0.269180362427	20
protein targeting to lysosome(GO:0006622)	20774, 635, 17, 4	7.698	0.00655613121826	0.0537086915424	17
protein targeting to vacuole(GO:0006623)	20774, 1208, 30, 6	3.439	0.032017978933	0.156313415099	30
tube closure(GO:0060606)	20774, 979, 101, 8	1.681	0.365507706623	0.658771936208	101
deoxyribonucleotide biosynthetic process(GO:0009263)	20774, 1734, 15, 1	0.799	0.734499769953	0.922411183225	15
deoxyribonucleotide metabolic process(GO:0009262)	20774, 1734, 31, 4	1.546	0.486123507614	0.755698202562	31
branch elongation of an epithelium(GO:0060602)	20774, 378, 14, 1	3.926	0.357457078376	0.652963361056	14
transcription preinitiation complex assembly(GO:0070897)	20774, 1538, 19, 3	2.133	0.316542525855	0.613146424642	19
dichotomous subdivision of an epithelial terminal unit(GO:0060600)	20774, 567, 11, 1	3.331	0.379134402351	0.673514414582	11
response to temperature stimulus(GO:0009266)	20774, 1758, 161, 17	1.248	0.588215563826	0.829365965557	161
response to pH(GO:0009268)	20774, 118, 40, 1	4.401	0.452743326798	0.732017063708	40
response to antimetabolite(GO:0097329)	20774, 331, 12, 1	5.23	0.286364040286	0.586528757213	12
vasoconstriction(GO:0042310)	20774, 712, 37, 1	0.789	0.864093509564	1.0	37
negative regulation of peptide secretion(GO:0002792)	20774, 81, 153, 5	8.381	0.00355864980628	0.0346534354992	153
T cell differentiation involved in immune response(GO:0002292)	20774, 1195, 24, 7	5.07	0.00165160452896	0.0196540938946	24
T-helper cell lineage commitment(GO:0002295)	20774, 1102, 12, 7	10.997	4.24287834281e-06	0.000166909924891	12
regulation of excretion(GO:0044062)	20774, 1242, 30, 2	1.115	0.73467456919	0.922411183225	30
dendritic transport(GO:0098935)	20774, 0, 11, 0	0.0	1.0	1.0	11
ectodermal placode formation(GO:0060788)	20774, 992, 15, 1	1.396	0.604608888176	0.839037664796	15
axonal transport(GO:0098930)	20774, 1977, 51, 9	1.854	0.185583173698	0.465179519117	51
positive regulation of mesenchymal cell proliferation(GO:0002053)	20774, 1253, 37, 2	0.896	0.829025210685	0.988764721339	37
positive regulation of neuroblast proliferation(GO:0002052)	20774, 389, 27, 2	3.956	0.238089728766	0.533964297093	27
dendrite morphogenesis(GO:0048813)	20774, 567, 51, 2	1.437	0.695290971275	0.902040071755	51
proteoglycan metabolic process(GO:0006029)	20774, 746, 50, 4	2.228	0.312725450098	0.610538557753	50
regulation of dendrite morphogenesis(GO:0048814)	20774, 176, 110, 2	2.146	0.602753784571	0.838471752988	110
regulation of lipase activity(GO:0060191)	20774, 1323, 72, 7	1.527	0.465566864217	0.740427087762	72
positive regulation of chromosome organization(GO:2001252)	20774, 1981, 181, 30	1.738	0.0173065904212	0.105075727557	181
inositol metabolic process(GO:0006020)	20774, 1741, 12, 1	0.994	0.654172478628	0.873855896505	12
aminoglycan catabolic process(GO:0006026)	20774, 1956, 27, 5	1.967	0.265793845382	0.565822318433	27
glycosaminoglycan catabolic process(GO:0006027)	20774, 1956, 19, 5	2.795	0.0895475311418	0.304553519814	19
regulation of cell cycle arrest(GO:0071156)	20774, 631, 60, 6	3.292	0.0534788026128	0.217373159391	60
positive regulation of actin nucleation(GO:0051127)	20774, 1165, 16, 3	3.343	0.147904709631	0.413216240138	16
signal release from synapse(GO:0099643)	20774, 275, 61, 1	1.238	0.822900279638	0.984914591672	61
regulation of actin nucleation(GO:0051125)	20774, 1357, 26, 8	4.71	0.00103402639474	0.014022694128	26
regulation of cyclin-dependent protein kinase activity(GO:1904029)	20774, 1254, 75, 12	2.651	0.0118509824615	0.0794516570661	75
RNA polymerase II preinitiation complex assembly(GO:0051123)	20774, 1538, 12, 1	1.126	0.615654082484	0.847949488607	12
regulation of DNA damage checkpoint(GO:2000001)	20774, 1106, 17, 3	3.315	0.151329712082	0.417797751692	17
neurotransmitter receptor localization to postsynaptic specialization membrane(GO:0099645)	20774, 0, 20, 0	0.0	1.0	1.0	20
negative regulation of fibroblast proliferation(GO:0048147)	20774, 929, 35, 4	2.556	0.211491049976	0.501718823308	35
dicarboxylic acid metabolic process(GO:0043648)	20774, 1922, 89, 12	1.457	0.385331372832	0.677818675047	89
regulation of fibroblast proliferation(GO:0048145)	20774, 1138, 107, 11	1.877	0.163480375776	0.435722799545	107
regulation of muscle organ development(GO:0048634)	20774, 475, 179, 5	1.222	0.799534255319	0.968511054708	179
positive regulation of ATP biosynthetic process(GO:2001171)	20774, 459, 26, 1	1.741	0.641957974892	0.868102261502	26
regulation of synapse maturation(GO:0090128)	20774, 0, 16, 0	0.0	1.0	1.0	16
inner ear receptor cell development(GO:0060119)	20774, 1790, 18, 1	0.645	0.805888112521	0.973611019187	18
glial cell differentiation(GO:0010001)	20774, 23, 83, 1	10.882	0.313601791236	0.610857695672	83
macromolecule deacylation(GO:0098732)	20774, 1219, 56, 9	2.739	0.0289461082887	0.147519781	56
inner ear receptor cell differentiation(GO:0060113)	20774, 13, 23, 1	69.478	0.0554271813575	0.222644205284	23
response to purine-containing compound(GO:0014074)	20774, 1372, 108, 13	1.823	0.135396458814	0.393219733957	108
response to amine(GO:0014075)	20774, 384, 20, 1	2.705	0.498637892227	0.763925448021	20
regulation of retinoic acid receptor signaling pathway(GO:0048385)	20774, 643, 15, 3	6.462	0.0368801492355	0.172107363099	15
retinoic acid receptor signaling pathway(GO:0048384)	20774, 117, 17, 1	10.444	0.208923080332	0.498873675284	17
response to organic cyclic compound(GO:0014070)	20774, 146, 636, 8	1.79	0.422540438043	0.711858403779	636
regulation of cell fate commitment(GO:0010453)	20774, 59, 31, 2	22.716	0.0182091042839	0.108888613557	31
phospholipid catabolic process(GO:0009395)	20774, 1448, 37, 1	0.388	0.950794466319	1.0	37
negative regulation of neuron death(GO:1901215)	20774, 1964, 239, 33	1.46	0.120875756635	0.364618885666	239
nuclear-transcribed mRNA poly(A) tail shortening(GO:0000289)	20774, 1671, 11, 2	2.26	0.329579344953	0.628273000391	11
regulation of macroautophagy(GO:0016241)	20774, 407, 103, 5	2.478	0.227701806412	0.522417753195	103
endodermal cell differentiation(GO:0035987)	20774, 855, 11, 1	2.209	0.451321685041	0.731877650307	11
regulation of interleukin-2 biosynthetic process(GO:0045076)	20774, 730, 19, 5	7.489	0.00193787097532	0.0221205415887	19
regulation of protein localization to membrane(GO:1905475)	20774, 1923, 178, 26	1.578	0.0906631094892	0.306939118896	178
nuclear division(GO:0000280)	20774, 1908, 66, 10	1.65	0.272442064928	0.573811365673	66
negative regulation of viral genome replication(GO:0045071)	20774, 1721, 55, 13	2.853	0.00320455974991	0.0322488465319	55
regulation of interferon-gamma biosynthetic process(GO:0045072)	20774, 648, 13, 3	7.398	0.0242350968492	0.131688425802	13
regulation of chemokine biosynthetic process(GO:0045073)	20774, 87, 14, 2	34.112	0.00678089728276	0.0548929780033	14
regulation of cellular amine metabolic process(GO:0033238)	20774, 384, 35, 1	1.546	0.706909825283	0.906489969921	35
amino acid import across plasma membrane(GO:0089718)	20774, 1730, 16, 1	0.751	0.756596458421	0.93945797619	16
microtubule cytoskeleton organization involved in mitosis(GO:1902850)	20774, 1751, 92, 18	2.321	0.00501613273913	0.0444632995126	92
regulation of chromosome separation(GO:1905818)	20774, 1961, 61, 15	2.605	0.0032271099881	0.0324072648594	61
negative regulation of chromosome separation(GO:1905819)	20774, 1961, 30, 8	2.825	0.0264444288151	0.140173141604	30
positive regulation of non-motile cilium assembly(GO:1902857)	20774, 194, 13, 2	16.474	0.0232921607887	0.128457596292	13
positive regulation of cell population proliferation(GO:0008284)	20774, 808, 983, 63	1.648	0.00136254779593	0.01706770397	983
muscle cell development(GO:0055001)	20774, 264, 109, 2	1.444	0.770074630657	0.94984426921	109
insulin receptor signaling pathway(GO:0008286)	20774, 1254, 58, 3	0.857	0.887205672429	1.0	58
cardiac myofibril assembly(GO:0055003)	20774, 0, 22, 0	0.0	1.0	1.0	22
cardiac cell development(GO:0055006)	20774, 1102, 49, 2	0.769	0.896397685199	1.0	49
cardiac muscle cell differentiation(GO:0055007)	20774, 117, 38, 1	4.673	0.430793515979	0.71473584387	38
cardiac muscle tissue morphogenesis(GO:0055008)	20774, 419, 72, 4	2.754	0.225548704093	0.519405820746	72
barbed-end actin filament capping(GO:0051016)	20774, 1327, 17, 4	3.683	0.0666999013054	0.250387642124	17
cellular response to DNA damage stimulus(GO:0006974)	20774, 1981, 642, 133	2.172	1.5433298627e-16	1.22437502441e-13	642
DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest(GO:0006977)	20774, 46, 11, 1	41.055	0.0648388548675	0.246708992142	11
response to osmotic stress(GO:0006970)	20774, 497, 73, 4	2.29	0.326266287598	0.624458194196	73
regulation of hormone biosynthetic process(GO:0046885)	20774, 87, 39, 2	12.245	0.0553873042199	0.222644205284	39
metanephros development(GO:0001656)	20774, 749, 42, 2	1.321	0.705004095681	0.905865275363	42
positive regulation of hormone secretion(GO:0046887)	20774, 261, 161, 4	1.977	0.489654063478	0.757968566554	161
negative regulation of hormone secretion(GO:0046888)	20774, 46, 93, 2	9.712	0.101687739758	0.328603965546	93
positive regulation of lipid biosynthetic process(GO:0046889)	20774, 1782, 92, 11	1.394	0.474038188588	0.747067965703	92
body morphogenesis(GO:0010171)	20774, 992, 12, 1	1.745	0.512052879063	0.77395098316	12
nucleoside diphosphate metabolic process(GO:0009132)	20774, 1964, 69, 15	2.299	0.0114328886614	0.0769739038591	69
positive regulation of stem cell population maintenance(GO:1902459)	20774, 893, 11, 2	4.23	0.167065511562	0.44031321568	11
response to oxidative stress(GO:0006979)	20774, 1603, 309, 44	1.845	0.000849574067342	0.0120715598822	309
temperature homeostasis(GO:0001659)	20774, 1459, 35, 2	0.814	0.850060088437	1.0	35
Golgi to endosome transport(GO:0006895)	20774, 1979, 11, 3	2.863	0.169406041729	0.442090328196	11
negative regulation of lipid transport(GO:0032369)	20774, 1782, 28, 6	2.498	0.10188003624	0.329002016622	28
activation of GTPase activity(GO:0090630)	20774, 677, 80, 7	2.685	0.0861433793153	0.29842975658	80
histone H4-K8 acetylation(GO:0043982)	20774, 1923, 15, 3	2.161	0.295964841385	0.596440577898	15
postsynaptic specialization organization(GO:0099084)	20774, 204, 16, 1	6.365	0.282700919224	0.583604561412	16
positive regulation of protein sumoylation(GO:0033235)	20774, 1850, 15, 5	3.743	0.0286207228363	0.147091867016	15
regulation of dendritic spine maintenance(GO:1902950)	20774, 1779, 13, 1	0.898	0.690841705502	0.897674632671	13
integrin-mediated signaling pathway(GO:0007229)	20774, 855, 73, 7	2.33	0.140065847042	0.401392794654	73
receptor-mediated endocytosis(GO:0006898)	20774, 1884, 130, 17	1.442	0.323708498673	0.622063091588	130
regulation of corticosteroid hormone secretion(GO:2000846)	20774, 23, 18, 1	50.179	0.0668106097548	0.250408269632	18
myelin assembly(GO:0032288)	20774, 1935, 14, 1	0.767	0.745972166192	0.930994805418	14
attachment of spindle microtubules to kinetochore(GO:0008608)	20774, 1710, 19, 3	1.918	0.367433599838	0.660928356536	19
regulation of cell-cell adhesion(GO:0022407)	20774, 808, 383, 49	3.289	7.4840282953e-12	1.37015287252e-09	383
molting cycle process(GO:0022404)	20774, 59, 88, 1	4.001	0.559636311998	0.80919466741	88
positive regulation of NIK/NF-kappaB signaling(GO:1901224)	20774, 1228, 72, 11	2.585	0.0201215901009	0.117088959512	72
negative regulation of NIK/NF-kappaB signaling(GO:1901223)	20774, 933, 21, 4	4.241	0.0506257929879	0.210094834021	21
regulation of NIK/NF-kappaB signaling(GO:1901222)	20774, 1228, 99, 16	2.734	0.00204527783182	0.0231798154272	99
negative adaptation of signaling pathway(GO:0022401)	20774, 1572, 11, 2	2.403	0.306948453007	0.604983963214	11
myoblast differentiation(GO:0045445)	20774, 119, 22, 1	7.935	0.270652707156	0.570972029814	22
fat cell differentiation(GO:0045444)	20774, 40, 119, 1	4.364	0.563156864441	0.810748709459	119
modification-dependent macromolecule catabolic process(GO:0043632)	20774, 1965, 463, 73	1.667	0.000175187624279	0.00360992680333	463
endothelial cell differentiation(GO:0045446)	20774, 0, 22, 0	0.0	1.0	1.0	22
asymmetric cell division(GO:0008356)	20774, 1633, 13, 2	1.957	0.396094723005	0.688860387835	13
regulation of cell division(GO:0051302)	20774, 1941, 156, 25	1.715	0.0387975363133	0.17774424721	156
negative regulation of cell-cell adhesion(GO:0022408)	20774, 933, 179, 27	3.359	6.09985282423e-07	3.26239319588e-05	179
neuron projection extension(GO:1990138)	20774, 1789, 67, 7	1.213	0.679153756806	0.888612392083	67
