# Analysis title: diff_Primary_versus_Naive_c3.0_cond1_formatted analysis from Cistrome-GO
# Mode: Solo mode
# Specie: mm10
# Peak bed file name: diff_Primary_versus_Naive_c3.0_cond1_formatted.bed
# Top peaks to use: 10000
# Half-decay distance: 1000bp
# FDR cutoff of GO/KEGG terms to return: 0.2
# Minimum and maximum gene number in GO and KEGG gene sets: 10, 2000
# Term	N,n,B,b	Erichment	p_value	FDR	Gene_number
anchoring junction(GO:0070161)	20933, 875, 292, 16	1.311	0.57164471989	0.871685784508	292
cell projection membrane(GO:0031253)	20933, 53, 294, 1	1.343	0.913088366927	1.0	294
cell leading edge(GO:0031252)	20933, 473, 66, 4	2.682	0.232065040306	0.476815307896	66
peroxisomal membrane(GO:0005778)	20933, 1232, 37, 7	3.215	0.0265846947984	0.13168697656	37
extrinsic component of organelle membrane(GO:0031312)	20933, 1882, 54, 9	1.854	0.18795267077	0.417853053033	54
extrinsic component of endosome membrane(GO:0031313)	20933, 1546, 12, 3	3.385	0.122693380989	0.33648528091	12
ESCRT complex(GO:0036452)	20933, 1755, 24, 5	2.485	0.138036372505	0.357580954509	24
respirasome(GO:0070469)	20933, 134, 51, 2	6.126	0.163940279623	0.390887457758	51
PcG protein complex(GO:0031519)	20933, 245, 47, 4	7.272	0.0122847007832	0.0817700395879	47
ciliary transition zone(GO:0035869)	20933, 1851, 66, 11	1.885	0.132728424742	0.349622165268	66
synaptic vesicle membrane(GO:0030672)	20933, 471, 56, 2	1.587	0.662271264913	0.937632681647	56
axolemma(GO:0030673)	20933, 1459, 21, 2	1.366	0.595269647205	0.886660383599	21
site of double-strand break(GO:0035861)	20933, 1416, 50, 7	2.07	0.185089763983	0.417853053033	50
histone methyltransferase complex(GO:0035097)	20933, 1695, 94, 13	1.708	0.181331275649	0.416009001794	94
motile cilium(GO:0031514)	20933, 326, 164, 3	1.175	0.849607553685	1.0	164
zona pellucida receptor complex(GO:0002199)	20933, 0, 13, 0	0.0	1.0	1.0	13
Prp19 complex(GO:0000974)	20933, 1950, 14, 2	1.534	0.511686998423	0.811334967723	14
presynaptic active zone cytoplasmic component(GO:0098831)	20933, 0, 21, 0	0.0	1.0	1.0	21
DNA helicase complex(GO:0033202)	20933, 1542, 16, 2	1.697	0.471966696199	0.781878444438	16
transcription elongation factor complex(GO:0008023)	20933, 491, 55, 5	3.876	0.049810686864	0.1898529549	55
RNA polymerase complex(GO:0030880)	20933, 323, 47, 3	4.137	0.142198276815	0.363458795539	47
DNA packaging complex(GO:0044815)	20933, 964, 94, 18	4.158	3.30849578349e-06	0.00012436051798	94
intrinsic component of Golgi membrane(GO:0031228)	20933, 1055, 53, 6	2.246	0.186685723306	0.417853053033	53
acetyltransferase complex(GO:1902493)	20933, 1962, 91, 19	2.228	0.00562972283127	0.0453338295857	91
kinesin complex(GO:0005871)	20933, 1947, 53, 11	2.231	0.0466951641173	0.181954249787	53
mitochondrial nucleoid(GO:0042645)	20933, 334, 47, 1	1.333	0.77542824228	1.0	47
microtubule(GO:0005874)	20933, 1901, 401, 55	1.51	0.0157067432966	0.0965058554474	401
microtubule associated complex(GO:0005875)	20933, 1947, 139, 23	1.779	0.0335645758532	0.143944724632	139
spindle microtubule(GO:0005876)	20933, 2000, 50, 11	2.303	0.0364898456703	0.15250125655	50
anchored component of membrane(GO:0031225)	20933, 623, 190, 7	1.238	0.760204329639	1.0	190
SAGA complex(GO:0000124)	20933, 1581, 11, 4	4.815	0.0229658146655	0.121282277448	11
apical part of cell(GO:0045177)	20933, 153, 121, 1	1.131	0.892931078808	1.0	121
intercellular bridge(GO:0045171)	20933, 1418, 58, 11	2.8	0.0100011572581	0.07113259291	58
basal part of cell(GO:0045178)	20933, 0, 19, 0	0.0	1.0	1.0	19
transcription factor TFTC complex(GO:0033276)	20933, 1581, 14, 4	3.783	0.0539634039965	0.201652720197	14
intrinsic component of postsynaptic specialization membrane(GO:0098948)	20933, 1781, 111, 1	0.106	0.999967956134	1.0	111
ribbon synapse(GO:0097470)	20933, 1128, 23, 1	0.807	0.795661268011	1.0	23
cell cortex region(GO:0099738)	20933, 371, 51, 1	1.106	0.826323265157	1.0	51
paranode region of axon(GO:0033270)	20933, 487, 17, 1	2.528	0.477730483933	0.784755216538	17
intrinsic component of presynaptic active zone membrane(GO:0098945)	20933, 0, 31, 0	0.0	1.0	1.0	31
cytoplasmic stress granule(GO:0010494)	20933, 1290, 59, 3	0.825	0.898072012257	1.0	59
protein serine/threonine phosphatase complex(GO:0008287)	20933, 497, 42, 2	2.006	0.528276944466	0.825351998812	42
lateral plasma membrane(GO:0016328)	20933, 1578, 58, 2	0.457	0.978734477959	1.0	58
BLOC complex(GO:0031082)	20933, 1852, 20, 9	5.086	0.000138811574385	0.00328520726044	20
polysome(GO:0005844)	20933, 994, 48, 4	1.755	0.454793645196	0.762764145092	48
precatalytic spliceosome(GO:0071011)	20933, 1735, 40, 7	2.111	0.15753374476	0.385904027731	40
catalytic step 2 spliceosome(GO:0071013)	20933, 1642, 79, 11	1.775	0.188328136578	0.417853053033	79
apicolateral plasma membrane(GO:0016327)	20933, 0, 21, 0	0.0	1.0	1.0	21
basolateral plasma membrane(GO:0016323)	20933, 940, 196, 4	0.454	0.999178170189	1.0	196
fibrillar center(GO:0001650)	20933, 1574, 128, 23	2.39	0.000858852891339	0.012186690928	128
fascia adherens(GO:0005916)	20933, 0, 13, 0	0.0	1.0	1.0	13
cell-cell adherens junction(GO:0005913)	20933, 789, 103, 1	0.258	0.99740999367	1.0	103
cell-cell junction(GO:0005911)	20933, 13, 456, 2	7.062	0.215504563086	0.460559919103	456
endosome(GO:0005768)	20933, 1877, 761, 105	1.539	0.000113196341585	0.00287916356707	761
immunological synapse(GO:0001772)	20933, 747, 35, 12	9.608	1.69016389948e-08	1.80002455294e-06	35
BLOC-1 complex(GO:0031083)	20933, 1852, 15, 6	4.521	0.00520698519404	0.0439116188599	15
organelle inner membrane(GO:0019866)	20933, 1875, 420, 63	1.675	0.000576053589979	0.00954729868557	420
outer membrane(GO:0019867)	20933, 1291, 178, 23	2.095	0.00638290243783	0.0479844077385	178
supramolecular complex(GO:0099080)	20933, 1901, 683, 75	1.209	0.31004613422	0.579296724463	683
sarcoplasmic reticulum(GO:0016529)	20933, 1438, 67, 8	1.738	0.295885452951	0.559381078213	67
synaptonemal structure(GO:0099086)	20933, 129, 60, 2	5.409	0.202304770523	0.439703225729	60
exocyst(GO:0000145)	20933, 74, 17, 1	16.64	0.151228633979	0.378251776065	17
nuclear outer membrane(GO:0005640)	20933, 756, 16, 1	1.731	0.579244252714	0.872964805387	16
AMPA glutamate receptor complex(GO:0032281)	20933, 0, 30, 0	0.0	1.0	1.0	30
acrosomal membrane(GO:0002080)	20933, 866, 19, 1	1.272	0.681756989481	0.957456519294	19
cell periphery(GO:0071944)	20933, 747, 72, 3	1.168	0.783947326983	1.0	72
lamellar body(GO:0042599)	20933, 1195, 15, 1	1.168	0.636948159991	0.920836819535	15
intrinsic component of presynaptic membrane(GO:0098889)	20933, 1282, 128, 1	0.128	0.999960928778	1.0	128
ruffle(GO:0001726)	20933, 1070, 83, 10	2.357	0.0582576856433	0.215183012289	83
P granule(GO:0043186)	20933, 205, 16, 1	6.382	0.281884634079	0.542543015593	16
extracellular space(GO:0005615)	20933, 9, 1510, 1	1.54	0.952298477914	1.0	1510
H4/H2A histone acetyltransferase complex(GO:0043189)	20933, 1703, 20, 5	3.073	0.0666405276492	0.234352081374	20
cytochrome complex(GO:0070069)	20933, 84, 24, 1	10.383	0.23206415651	0.476815307896	24
SCF ubiquitin ligase complex(GO:0019005)	20933, 1644, 65, 8	1.567	0.390753339391	0.673293132883	65
integrator complex(GO:0032039)	20933, 1020, 18, 2	2.28	0.385049209326	0.669537616082	18
dense core granule(GO:0031045)	20933, 0, 22, 0	0.0	1.0	1.0	22
interstitial matrix(GO:0005614)	20933, 0, 17, 0	0.0	1.0	1.0	17
small nuclear ribonucleoprotein complex(GO:0030532)	20933, 1933, 60, 12	2.166	0.0442731740123	0.176815988712	60
P-body(GO:0000932)	20933, 101, 71, 2	5.838	0.190078789396	0.420278015308	71
gamma-tubulin complex(GO:0000930)	20933, 588, 19, 3	5.621	0.0533735205713	0.200621644971	19
INO80-type complex(GO:0097346)	20933, 1542, 23, 4	2.361	0.215019903844	0.460559919103	23
photoreceptor connecting cilium(GO:0032391)	20933, 1299, 42, 5	1.918	0.319695033075	0.588717942752	42
U12-type spliceosomal complex(GO:0005689)	20933, 1885, 26, 7	2.99	0.0304404135438	0.138808550164	26
U2 snRNP(GO:0005686)	20933, 1933, 19, 7	3.99	0.00545458602384	0.0452659801199	19
U1 snRNP(GO:0005685)	20933, 205, 18, 1	5.673	0.311509246274	0.580333552097	18
U2-type spliceosomal complex(GO:0005684)	20933, 1950, 76, 16	2.26	0.0104126994007	0.073117746341	76
endoplasmic reticulum(GO:0005783)	20933, 1920, 1529, 194	1.383	3.80067433294e-05	0.00121431544937	1529
U5 snRNP(GO:0005682)	20933, 205, 15, 1	6.807	0.267523784084	0.518023327363	15
spliceosomal complex(GO:0005681)	20933, 1950, 177, 28	1.698	0.0308307601975	0.138808550164	177
anaphase-promoting complex(GO:0005680)	20933, 484, 20, 1	2.163	0.541048324593	0.839150192755	20
neuromuscular junction(GO:0031594)	20933, 195, 97, 1	1.107	0.882674602873	1.0	97
spindle pole centrosome(GO:0031616)	20933, 1843, 19, 6	3.587	0.0199464486474	0.108015090557	19
recycling endosome membrane(GO:0055038)	20933, 520, 41, 2	1.964	0.534034567415	0.832312411166	41
axon cytoplasm(GO:1904115)	20933, 0, 14, 0	0.0	1.0	1.0	14
microbody(GO:0042579)	20933, 1911, 142, 24	1.851	0.0186497411076	0.105461810334	142
Fanconi anaemia nuclear complex(GO:0043240)	20933, 1477, 15, 3	2.835	0.18553251624	0.417853053033	15
cluster of actin-based cell projections(GO:0098862)	20933, 965, 87, 6	1.496	0.544041604813	0.841749601636	87
MLL1 complex(GO:0071339)	20933, 1695, 29, 6	2.555	0.0960422704012	0.286780424235	29
GATOR2 complex(GO:0061700)	20933, 1833, 11, 4	4.153	0.0365273675033	0.15250125655	11
very-low-density lipoprotein particle(GO:0034361)	20933, 73, 18, 1	15.931	0.157359221751	0.385904027731	18
low-density lipoprotein particle(GO:0034362)	20933, 73, 13, 1	22.058	0.110330864416	0.320461010735	13
cell body membrane(GO:0044298)	20933, 1459, 38, 1	0.378	0.954194138797	1.0	38
high-density lipoprotein particle(GO:0034364)	20933, 0, 24, 0	0.0	1.0	1.0	24
catalytic complex(GO:1902494)	20933, 1963, 1283, 185	1.538	4.32257492279e-08	3.45265671958e-06	1283
secretory vesicle(GO:0099503)	20933, 485, 487, 14	1.241	0.726480929293	0.977308029092	487
dendrite terminus(GO:0044292)	20933, 411, 20, 1	2.547	0.507754257901	0.80710191741	20
cell-cell contact zone(GO:0044291)	20933, 7, 77, 1	38.837	0.125901730809	0.339456565344	77
membrane region(GO:0098589)	20933, 268, 365, 12	2.568	0.0279833975609	0.133450364937	365
cell body(GO:0044297)	20933, 1019, 689, 38	1.133	0.737473731152	0.984951613378	689
axonal growth cone(GO:0044295)	20933, 620, 43, 4	3.141	0.143308073382	0.364836091198	43
dendritic growth cone(GO:0044294)	20933, 411, 12, 1	4.244	0.325221472391	0.589006563868	12
heterochromatin(GO:0000792)	20933, 1174, 90, 12	2.377	0.0317995821037	0.140137468719	90
condensed chromosome(GO:0000793)	20933, 189, 70, 2	3.164	0.392957323524	0.674999273472	70
nuclear chromatin(GO:0000790)	20933, 1032, 289, 28	1.965	0.00625579687976	0.0475887405496	289
euchromatin(GO:0000791)	20933, 1002, 40, 4	2.089	0.325200414218	0.589006563868	40
condensed nuclear chromosome(GO:0000794)	20933, 1941, 44, 3	0.735	0.908375982183	1.0	44
cullin-RING ubiquitin ligase complex(GO:0031461)	20933, 1853, 154, 14	1.027	0.862649741153	1.0	154
Cul2-RING ubiquitin ligase complex(GO:0031462)	20933, 0, 14, 0	0.0	1.0	1.0	14
Cul3-RING ubiquitin ligase complex(GO:0031463)	20933, 1795, 35, 2	0.666	0.89586300388	1.0	35
chromatoid body(GO:0033391)	20933, 1539, 15, 1	0.907	0.697390422831	0.96876626128	15
voltage-gated sodium channel complex(GO:0001518)	20933, 0, 14, 0	0.0	1.0	1.0	14
MHC protein complex(GO:0042611)	20933, 1028, 23, 7	6.197	0.000499535018707	0.00886674658205	23
receptor complex(GO:0043235)	20933, 572, 391, 15	1.404	0.497297131172	0.792451039449	391
MHC class I protein complex(GO:0042612)	20933, 1863, 12, 7	6.554	0.000117149065327	0.00287916356707	12
extracellular organelle(GO:0043230)	20933, 41, 97, 2	10.527	0.0898088658433	0.271980404141	97
protein phosphatase type 2A complex(GO:0000159)	20933, 497, 17, 1	2.478	0.482494772572	0.787193570704	17
NADH dehydrogenase complex(GO:0030964)	20933, 1697, 43, 6	1.721	0.347887848982	0.622690015406	43
ubiquitin ligase complex(GO:0000151)	20933, 1503, 276, 29	1.463	0.162913115525	0.39083266653	276
nuclear ubiquitin ligase complex(GO:0000152)	20933, 484, 41, 1	1.055	0.813184863856	1.0	41
cytoplasmic ubiquitin ligase complex(GO:0000153)	20933, 1500, 12, 2	2.326	0.323883397299	0.589006563868	12
Set1C/COMPASS complex(GO:0048188)	20933, 1695, 14, 3	2.646	0.204664759714	0.441876575673	14
intrinsic component of organelle membrane(GO:0031300)	20933, 1914, 229, 34	1.624	0.0294492945727	0.136917234272	229
L-type voltage-gated calcium channel complex(GO:1990454)	20933, 0, 11, 0	0.0	1.0	1.0	11
anchored component of presynaptic membrane(GO:0099026)	20933, 0, 12, 0	0.0	1.0	1.0	12
chloride channel complex(GO:0034707)	20933, 1530, 45, 1	0.304	0.977008908839	1.0	45
calcium channel complex(GO:0034704)	20933, 710, 58, 1	0.508	0.954709971949	1.0	58
potassium channel complex(GO:0034705)	20933, 280, 90, 1	0.831	0.922227739655	1.0	90
cation channel complex(GO:0034703)	20933, 280, 219, 1	0.341	0.997792662791	1.0	219
cilium(GO:0005929)	20933, 12, 386, 1	4.519	0.654353830569	0.932438172677	386
dynein complex(GO:0030286)	20933, 1091, 53, 6	2.172	0.205379253482	0.441876575673	53
integral component of synaptic vesicle membrane(GO:0030285)	20933, 280, 44, 1	1.699	0.710052580848	0.974619337661	44
connexin complex(GO:0005922)	20933, 0, 20, 0	0.0	1.0	1.0	20
methyltransferase complex(GO:0034708)	20933, 739, 118, 10	2.401	0.0595600611388	0.218729190044	118
gap junction(GO:0005921)	20933, 1794, 32, 2	0.729	0.866492089355	1.0	32
ciliary basal body(GO:0036064)	20933, 1306, 137, 16	1.872	0.0747527952573	0.246221835925	137
cytoplasmic vesicle part(GO:0044433)	20933, 1996, 500, 65	1.363	0.0608763475262	0.221022648121	500
endoplasmic reticulum part(GO:0044432)	20933, 1907, 598, 97	1.781	3.73280386165e-07	1.98771805633e-05	598
Golgi apparatus part(GO:0044431)	20933, 1992, 481, 78	1.704	4.11257023625e-05	0.00125139637189	481
cytoskeletal part(GO:0044430)	20933, 1913, 1500, 189	1.379	6.26408860097e-05	0.00174032722436	1500
vacuolar part(GO:0044437)	20933, 1968, 166, 33	2.115	0.000354757901087	0.00686940299378	166
actin-based cell projection(GO:0098858)	20933, 385, 158, 3	1.032	0.894751075937	1.0	158
peroxisomal part(GO:0044439)	20933, 1232, 57, 8	2.385	0.08721837155	0.265393044859	57
nuclear matrix(GO:0016363)	20933, 25, 87, 2	19.249	0.0333881457733	0.143944724632	87
serine/threonine protein kinase complex(GO:1902554)	20933, 2000, 82, 13	1.659	0.202096064451	0.439703225729	82
filamentous actin(GO:0031941)	20933, 76, 32, 1	8.607	0.284367914082	0.545678970266	32
cytoplasmic region(GO:0099568)	20933, 3, 211, 1	33.07	0.181637733178	0.416009001794	211
trans-Golgi network transport vesicle(GO:0030140)	20933, 1195, 17, 3	3.091	0.174076441038	0.410438116269	17
secretory granule(GO:0030141)	20933, 456, 324, 10	1.417	0.594093899666	0.886660383599	324
transporter complex(GO:1990351)	20933, 289, 313, 2	0.463	0.998013936238	1.0	313
mitochondrial crista(GO:0030061)	20933, 0, 12, 0	0.0	1.0	1.0	12
inhibitory synapse(GO:0060077)	20933, 0, 24, 0	0.0	1.0	1.0	24
excitatory synapse(GO:0060076)	20933, 1861, 74, 2	0.304	0.997068176755	1.0	74
nuclear transcriptional repressor complex(GO:0090568)	20933, 1984, 29, 5	1.819	0.322245571956	0.589006563868	29
SWI/SNF superfamily-type complex(GO:0070603)	20933, 1983, 75, 15	2.111	0.0278265397159	0.133450364937	75
spindle midzone(GO:0051233)	20933, 1947, 34, 11	3.478	0.00110222487908	0.0149855680368	34
collagen trimer(GO:0005581)	20933, 0, 81, 0	0.0	1.0	1.0	81
nuclear heterochromatin(GO:0005720)	20933, 1174, 44, 7	2.837	0.0531057798469	0.200621644971	44
pericentric heterochromatin(GO:0005721)	20933, 1063, 22, 5	4.476	0.019773111092	0.107991606733	22
glial cell projection(GO:0097386)	20933, 776, 27, 4	3.996	0.0655012017973	0.23252926638	27
nuclear pore(GO:0005643)	20933, 1791, 60, 8	1.558	0.388184455823	0.672221862523	60
nuclear envelope lumen(GO:0005641)	20933, 647, 13, 1	2.489	0.463004376308	0.774502084975	13
coated vesicle membrane(GO:0030662)	20933, 1246, 19, 2	1.768	0.485421129852	0.787193570704	19
ciliary tip(GO:0097542)	20933, 1299, 11, 2	2.93	0.244669070947	0.494758026377	11
ciliary base(GO:0097546)	20933, 1908, 35, 6	1.881	0.263865009636	0.516936629433	35
extrinsic component of plasma membrane(GO:0019897)	20933, 13, 123, 2	26.183	0.0197592893088	0.107991606733	123
protein complex involved in cell adhesion(GO:0098636)	20933, 875, 36, 4	2.658	0.197344455744	0.433782513038	36
X chromosome(GO:0000805)	20933, 0, 11, 0	0.0	1.0	1.0	11
extrinsic component of membrane(GO:0019898)	20933, 13, 223, 2	14.442	0.0614122007499	0.221708453555	223
intrinsic component of mitochondrial inner membrane(GO:0031304)	20933, 780, 30, 3	2.684	0.260572366635	0.514983837494	30
intrinsic component of mitochondrial outer membrane(GO:0031306)	20933, 102, 23, 2	17.846	0.0251766866158	0.127752442286	23
nuclear inclusion body(GO:0042405)	20933, 243, 12, 2	14.357	0.0271380103597	0.133393758614	12
autolysosome(GO:0044754)	20933, 670, 11, 3	8.521	0.0154956778091	0.0962024727529	11
secretory granule membrane(GO:0030667)	20933, 1639, 73, 7	1.225	0.678807928639	0.955414683701	73
endocytic vesicle membrane(GO:0030666)	20933, 0, 12, 0	0.0	1.0	1.0	12
platelet alpha granule(GO:0031091)	20933, 1518, 16, 1	0.862	0.71787589233	0.974992544375	16
Golgi-associated vesicle membrane(GO:0030660)	20933, 1246, 23, 2	1.461	0.592341475329	0.886660383599	23
fibrillar collagen trimer(GO:0005583)	20933, 0, 11, 0	0.0	1.0	1.0	11
protein kinase complex(GO:1902911)	20933, 1803, 100, 13	1.509	0.326304105805	0.589006563868	100
presynaptic active zone membrane(GO:0048787)	20933, 485, 17, 1	2.539	0.476855986873	0.784755216538	17
presynaptic active zone(GO:0048786)	20933, 1901, 35, 2	0.629	0.910302912149	1.0	35
sex chromosome(GO:0000803)	20933, 0, 34, 0	0.0	1.0	1.0	34
lateral element(GO:0000800)	20933, 68, 17, 1	18.108	0.141343270932	0.363458795539	17
endoplasmic reticulum subcompartment(GO:0098827)	20933, 190, 25, 1	4.407	0.406033761487	0.693731480188	25
synapse part(GO:0044456)	20933, 13, 1069, 2	3.013	0.608657494903	0.898226649522	1069
cornified envelope(GO:0001533)	20933, 0, 53, 0	0.0	1.0	1.0	53
basal plasma membrane(GO:0009925)	20933, 498, 42, 1	1.001	0.826884900305	1.0	42
melanosome(GO:0042470)	20933, 998, 29, 4	2.893	0.152129431062	0.378251776065	29
ribosomal subunit(GO:0044391)	20933, 1897, 187, 30	1.77	0.0139242781872	0.0909971806256	187
histone deacetylase complex(GO:0000118)	20933, 1572, 69, 9	1.737	0.26111856549	0.514983837494	69
trans-Golgi network membrane(GO:0032588)	20933, 1203, 30, 3	1.74	0.46988774446	0.781878444438	30
neuron projection membrane(GO:0032589)	20933, 1781, 68, 4	0.691	0.954971645105	1.0	68
cytoplasmic dynein complex(GO:0005868)	20933, 1091, 26, 4	2.952	0.138219868175	0.357580954509	26
intrinsic component of peroxisomal membrane(GO:0031231)	20933, 303, 17, 2	8.128	0.0766496690574	0.251175069373	17
intrinsic component of external side of plasma membrane(GO:0031233)	20933, 478, 24, 1	1.825	0.618367327444	0.906276885864	24
extrinsic component of cytoplasmic side of plasma membrane(GO:0031234)	20933, 13, 63, 2	51.118	0.00504368749221	0.0439116188599	63
9+2 motile cilium(GO:0097729)	20933, 211, 63, 1	1.575	0.766939416156	1.0	63
filopodium(GO:0030175)	20933, 302, 65, 1	1.066	0.858724815902	1.0	65
dystrophin-associated glycoprotein complex(GO:0016010)	20933, 1133, 16, 1	1.155	0.652615490406	0.932438172677	16
postsynaptic cytoskeleton(GO:0099571)	20933, 959, 19, 2	2.298	0.383801097878	0.669537616082	19
inclusion body(GO:0016234)	20933, 25, 74, 1	11.315	0.298044390285	0.561800487883	74
aggresome(GO:0016235)	20933, 1619, 40, 4	1.293	0.636901570686	0.920836819535	40
intercalated disc(GO:0014704)	20933, 1614, 56, 3	0.695	0.936955367589	1.0	56
synapse(GO:0045202)	20933, 28, 1072, 2	1.395	0.916496780646	1.0	1072
side of membrane(GO:0098552)	20933, 1049, 472, 59	2.494	2.77447572538e-09	3.54577997704e-07	472
