# Analysis title: diff_Primary_versus_Naive_c3.0_cond1_formatted analysis from Cistrome-GO
# Mode: Solo mode
# Specie: mm10
# Peak bed file name: diff_Primary_versus_Naive_c3.0_cond1_formatted.bed
# Top peaks to use: 10000
# Half-decay distance: 1000bp
# FDR cutoff of GO/KEGG terms to return: 0.2
# Minimum and maximum gene number in GO and KEGG gene sets: 10, 2000
# Term	N,n,B,b	Erichment	p_value	FDR	Gene_number
Inflammatory mediator regulation of TRP channels(mmu04750)	8447, 500, 126, 7	0.939	0.949531016894	1.0	126
Prion diseases(mmu05020)	8447, 1287, 34, 9	1.737	0.247270649678	0.491391354775	34
Cholinergic synapse(mmu04725)	8447, 1773, 113, 28	1.181	0.608405650586	0.917017212478	113
Gastric cancer(mmu05226)	8447, 393, 150, 7	1.003	0.93162230754	1.0	150
ECM-receptor interaction(mmu04512)	8447, 19, 83, 1	5.356	0.554659611682	0.852481767709	83
Breast cancer(mmu05224)	8447, 1295, 147, 23	1.021	0.906282615903	1.0	147
Focal adhesion(mmu04510)	8447, 1785, 198, 50	1.195	0.434882520061	0.721719926911	198
Small cell lung cancer(mmu05222)	8447, 1689, 92, 37	2.011	9.76448926702e-05	0.000870434471803	92
Non-small cell lung cancer(mmu05223)	8447, 1458, 66, 27	2.37	6.83602776951e-05	0.000646315352754	66
Chronic myeloid leukemia(mmu05220)	8447, 1766, 76, 32	2.014	0.000288949886661	0.00214648487234	76
Cell adhesion molecules (CAMs)(mmu04514)	8447, 471, 165, 20	2.174	0.0102375797901	0.0443628457571	165
Rap1 signaling pathway(mmu04015)	8447, 1766, 209, 49	1.121	0.678600768076	0.987879715006	209
GABAergic synapse(mmu04727)	8447, 362, 90, 4	1.037	0.905488126295	1.0	90
Spliceosome(mmu03040)	8447, 1409, 131, 35	1.602	0.0240460606607	0.0806706551197	131
Long-term potentiation(mmu04720)	8447, 1335, 66, 14	1.342	0.495336879856	0.785737842007	66
Glycosphingolipid biosynthesis - ganglio series(mmu00604)	8447, 1079, 15, 6	3.131	0.0369357278685	0.111349157648	15
Glycosphingolipid biosynthesis - globo and isoglobo series(mmu00603)	8447, 344, 16, 2	3.069	0.34257794124	0.619686337809	16
Glycosphingolipid biosynthesis - lacto and neolacto series(mmu00601)	8447, 264, 26, 4	4.922	0.045144403115	0.132877865772	26
Sphingolipid metabolism(mmu00600)	8447, 1678, 48, 8	0.839	0.955338008109	1.0	48
Galactose metabolism(mmu00052)	8447, 1467, 32, 10	1.799	0.171947266953	0.369983084753	32
Ascorbate and aldarate metabolism(mmu00053)	8447, 754, 27, 1	0.415	0.976157302689	1.0	27
Fructose and mannose metabolism(mmu00051)	8447, 1600, 35, 16	2.413	0.00233742306847	0.0131804068145	35
T cell receptor signaling pathway(mmu04660)	8447, 1422, 101, 46	2.705	3.07665421287e-10	1.59986019069e-08	101
Cardiac muscle contraction(mmu04260)	8447, 42, 74, 1	2.718	0.729326631617	1.0	74
Type I diabetes mellitus(mmu04940)	8447, 1724, 67, 24	1.755	0.0201619080169	0.0691265417721	67
Basal transcription factors(mmu03022)	8447, 1361, 43, 8	1.155	0.752688415025	1.0	43
Amino sugar and nucleotide sugar metabolism(mmu00520)	8447, 884, 49, 11	2.145	0.068021720935	0.178342663292	49
Retrograde endocannabinoid signaling(mmu04723)	8447, 268, 141, 4	0.894	0.96240048363	1.0	141
Aminoacyl-tRNA biosynthesis(mmu00970)	8447, 1262, 44, 14	2.13	0.0247993588242	0.0823127654591	44
TGF-beta signaling pathway(mmu04350)	8447, 348, 90, 5	1.348	0.747129119394	1.0	90
Axon guidance(mmu04360)	8447, 127, 180, 6	2.217	0.310125455561	0.575947274613	180
IL-17 signaling pathway(mmu04657)	8447, 119, 91, 6	4.68	0.0167824958908	0.0595015763401	91
Apoptosis - multiple species(mmu04215)	8447, 936, 32, 14	3.948	2.86133482843e-05	0.000287979505313	32
Ferroptosis(mmu04216)	8447, 326, 40, 3	1.943	0.53357460802	0.828235212449	40
Necroptosis(mmu04217)	8447, 1254, 175, 57	2.194	5.39169286517e-08	1.05138010871e-06	175
Apoptosis(mmu04210)	8447, 1773, 136, 61	2.137	6.9442552891e-09	2.40734183355e-07	136
RNA polymerase(mmu03020)	8447, 1522, 28, 7	1.387	0.540991380083	0.835590646465	28
Longevity regulating pathway - multiple species(mmu04213)	8447, 579, 62, 4	0.941	0.919349769666	1.0	62
FoxO signaling pathway(mmu04068)	8447, 1487, 132, 38	1.635	0.0111243699694	0.0462773790726	132
Cellular senescence(mmu04218)	8447, 1766, 181, 69	1.823	1.48067819328e-06	2.30985798151e-05	181
Fatty acid metabolism(mmu01212)	8447, 658, 57, 12	2.703	0.0106955452636	0.0457124674278	57
alpha-Linolenic acid metabolism(mmu00592)	8447, 12, 25, 1	28.157	0.147719852295	0.3315726181	25
2-Oxocarboxylic acid metabolism(mmu01210)	8447, 1777, 19, 8	2.001	0.123863841533	0.290567808708	19
Glutamatergic synapse(mmu04724)	8447, 1768, 114, 23	0.964	0.943813146276	1.0	114
Central carbon metabolism in cancer(mmu05230)	8447, 1317, 64, 18	1.804	0.0509042240006	0.144382889893	64
Serotonergic synapse(mmu04726)	8447, 65, 132, 1	0.984	0.956308648906	1.0	132
Non-homologous end-joining(mmu03450)	8447, 601, 13, 4	4.325	0.0476717166264	0.137001650089	13
Nicotine addiction(mmu05033)	8447, 1768, 40, 1	0.119	0.999919615345	1.0	40
Synaptic vesicle cycle(mmu04721)	8447, 251, 77, 3	1.311	0.812705900997	1.0	77
Neurotrophin signaling pathway(mmu04722)	8447, 1679, 121, 34	1.414	0.130667982192	0.301988225511	121
Cocaine addiction(mmu05030)	8447, 1768, 48, 8	0.796	0.969278384248	1.0	48
Allograft rejection(mmu05330)	8447, 1724, 60, 24	1.96	0.00392253970225	0.0191223810485	60
Graft-versus-host disease(mmu05332)	8447, 1724, 62, 23	1.818	0.0147196132572	0.0550616162716	62
Dopaminergic synapse(mmu04728)	8447, 1773, 131, 30	1.091	0.789154296878	1.0	131
Propanoate metabolism(mmu00640)	8447, 96, 30, 1	2.933	0.623250790453	0.930403093882	30
Adherens junction(mmu04520)	8447, 1751, 72, 24	1.608	0.0582971014969	0.157425074546	72
Glyoxylate and dicarboxylate metabolism(mmu00630)	8447, 33, 30, 1	8.532	0.350787204611	0.62562894182	30
Proteasome(mmu03050)	8447, 1326, 46, 17	2.354	0.00328644248387	0.0168093451634	46
Regulation of actin cytoskeleton(mmu04810)	8447, 1766, 216, 68	1.506	0.00225486142456	0.0131804068145	216
Tryptophan metabolism(mmu00380)	8447, 96, 46, 2	3.826	0.352918890258	0.62562894182	46
Mismatch repair(mmu03430)	8447, 1169, 22, 10	3.284	0.00231297659805	0.0131804068145	22
Thiamine metabolism(mmu00730)	8447, 871, 15, 4	2.586	0.192141157895	0.402335847404	15
Mannose type O-glycan biosynthesis(mmu00515)	8447, 1401, 22, 3	0.822	0.899099196461	1.0	22
Pentose and glucuronate interconversions(mmu00040)	8447, 374, 33, 2	1.369	0.762125307421	1.0	33
Insulin signaling pathway(mmu04910)	8447, 1331, 138, 31	1.426	0.161600717126	0.357584565556	138
Glycosaminoglycan biosynthesis - heparan sulfate / heparin(mmu00534)	8447, 52, 24, 1	6.768	0.383442571497	0.663246975659	24
p53 signaling pathway(mmu04115)	8447, 1364, 71, 26	2.268	0.000286384866146	0.00214648487234	71
Oocyte meiosis(mmu04114)	8447, 315, 115, 5	1.166	0.857589863874	1.0	115
Glycosaminoglycan degradation(mmu00531)	8447, 880, 21, 5	2.285	0.211215505173	0.435624691753	21
Glycosaminoglycan biosynthesis - keratan sulfate(mmu00533)	8447, 503, 14, 4	4.798	0.0353138488807	0.10801883187	14
Cell cycle(mmu04110)	8447, 1273, 123, 38	2.05	0.000104131934189	0.000902476762973	123
Complement and coagulation cascades(mmu04610)	8447, 240, 88, 1	0.4	0.995823830593	1.0	88
Platelet activation(mmu04611)	8447, 1533, 123, 33	1.478	0.08057183877	0.204377347124	123
Antigen processing and presentation(mmu04612)	8447, 336, 88, 16	4.571	5.10002171628e-06	6.36482710191e-05	88
Bacterial invasion of epithelial cells(mmu05100)	8447, 1766, 74, 31	2.004	0.0004149271146	0.00301063394779	74
Taurine and hypotaurine metabolism(mmu00430)	8447, 1767, 11, 2	0.869	0.814706363222	1.0	11
Nucleotide excision repair(mmu03420)	8447, 1255, 43, 17	2.661	0.000689842685799	0.00448397745769	43
Primary bile acid biosynthesis(mmu00120)	8447, 848, 16, 1	0.623	0.903114529149	1.0	16
PPAR signaling pathway(mmu03320)	8447, 12, 85, 2	16.563	0.0478627559605	0.137001650089	85
Primary immunodeficiency(mmu05340)	8447, 1464, 35, 19	3.132	9.271041915e-06	0.000107132039907	35
Purine metabolism(mmu00230)	8447, 970, 134, 16	1.04	0.893042363976	1.0	134
Tight junction(mmu04530)	8447, 1413, 167, 35	1.253	0.419694946165	0.711656647845	167
Fanconi anemia pathway(mmu03460)	8447, 1568, 51, 23	2.429	0.00014476388515	0.0011885876886	51
Long-term depression(mmu04730)	8447, 1209, 60, 9	1.048	0.855931781271	1.0	60
Rheumatoid arthritis(mmu05323)	8447, 1773, 83, 28	1.607	0.0371163858828	0.111349157648	83
Systemic lupus erythematosus(mmu05322)	8447, 1725, 140, 65	2.274	8.67432512833e-11	5.41277888008e-09	140
Inflammatory bowel disease (IBD)(mmu05321)	8447, 299, 59, 15	7.182	2.1508932492e-08	5.84578606277e-07	59
Autoimmune thyroid disease(mmu05320)	8447, 471, 75, 10	2.391	0.0585298354081	0.157425074546	75
Glycine, serine and threonine metabolism(mmu00260)	8447, 1726, 40, 9	1.101	0.781024008864	1.0	40
Pyruvate metabolism(mmu00620)	8447, 793, 38, 4	1.121	0.811021901806	1.0	38
Toxoplasmosis(mmu05145)	8447, 817, 108, 29	2.776	4.22940853277e-06	5.4982310926e-05	108
Retinol metabolism(mmu00830)	8447, 1455, 91, 4	0.255	0.999999305345	1.0	91
Endocrine and other factor-regulated calcium reabsorption(mmu04961)	8447, 1027, 55, 6	0.897	0.932544098208	1.0	55
Other glycan degradation(mmu00511)	8447, 1454, 18, 6	1.936	0.235235031792	0.470470063585	18
Hypertrophic cardiomyopathy (HCM)(mmu05410)	8447, 412, 86, 3	0.715	0.97964729749	1.0	86
Ubiquitin mediated proteolysis(mmu04120)	8447, 1633, 138, 37	1.387	0.143000927057	0.325666344832	138
Alcoholism(mmu05034)	8447, 420, 197, 30	3.063	8.15391747238e-07	1.41334569521e-05	197
Collecting duct acid secretion(mmu04966)	8447, 1737, 27, 10	1.801	0.15425790603	0.34377476201	27
Ubiquinone and other terpenoid-quinone biosynthesis(mmu00130)	8447, 818, 11, 2	1.878	0.494341218854	0.785737842007	11
Proximal tubule bicarbonate reclamation(mmu04964)	8447, 478, 22, 2	1.607	0.652171292368	0.964348072127	22
Signaling pathways regulating pluripotency of stem cells(mmu04550)	8447, 124, 137, 1	0.497	0.994393498929	1.0	137
Vasopressin-regulated water reabsorption(mmu04962)	8447, 472, 43, 7	2.913	0.056772039959	0.156751119179	43
Carbohydrate digestion and absorption(mmu04973)	8447, 30, 43, 1	6.548	0.443723389735	0.724825641872	43
Aldosterone-regulated sodium reabsorption(mmu04960)	8447, 359, 38, 1	0.619	0.958435897624	1.0	38
Arginine and proline metabolism(mmu00330)	8447, 1158, 50, 7	1.021	0.866761775174	1.0	50
Pentose phosphate pathway(mmu00030)	8447, 884, 32, 7	2.09	0.186004806802	0.394785712396	32
Arginine biosynthesis(mmu00220)	8447, 1002, 19, 4	1.775	0.43195683779	0.721719926911	19
Legionellosis(mmu05134)	8447, 1038, 58, 17	2.385	0.00407267852577	0.0195488569237	58
Salmonella infection(mmu05132)	8447, 1773, 78, 27	1.649	0.0292977713026	0.0932745372082	78
Biosynthesis of amino acids(mmu01230)	8447, 1777, 77, 24	1.482	0.145080813322	0.328008795336	77
Notch signaling pathway(mmu04330)	8447, 32, 49, 1	5.387	0.505603270861	0.792704625672	49
Choline metabolism in cancer(mmu05231)	8447, 1784, 99, 28	1.339	0.2821500855	0.54677532097	99
Pertussis(mmu05133)	8447, 1773, 76, 24	1.504	0.127745964424	0.297438364926	76
ErbB signaling pathway(mmu04012)	8447, 1766, 84, 22	1.253	0.50516823983	0.792704625672	84
Hepatocellular carcinoma(mmu05225)	8447, 1314, 171, 35	1.316	0.291994586897	0.558909884121	171
Gap junction(mmu04540)	8447, 669, 86, 7	1.028	0.895264108878	1.0	86
RNA degradation(mmu03018)	8447, 1453, 81, 27	1.938	0.00348868830616	0.0175559798632	81
Asthma(mmu05310)	8447, 35, 24, 1	10.056	0.300066487709	0.56672399318	24
Th1 and Th2 cell differentiation(mmu04658)	8447, 245, 87, 21	8.322	8.05552506006e-13	1.25666190937e-10	87
Protein export(mmu03060)	8447, 1075, 27, 9	2.619	0.0286318082207	0.0920940635551	27
Acute myeloid leukemia(mmu05221)	8447, 64, 69, 4	7.651	0.0158637263541	0.0568906048562	69
Th17 cell differentiation(mmu04659)	8447, 245, 102, 25	8.45	1.99956996372e-15	6.23865828681e-13	102
Butanoate metabolism(mmu00650)	8447, 96, 26, 1	3.384	0.565539149056	0.860722997588	26
Salivary secretion(mmu04970)	8447, 718, 78, 6	0.905	0.943423685169	1.0	78
Morphine addiction(mmu05032)	8447, 268, 92, 3	1.028	0.915229952486	1.0	92
Autophagy - other(mmu04136)	8447, 1426, 32, 14	2.592	0.00271556647207	0.0146078748153	32
Fat digestion and absorption(mmu04975)	8447, 1313, 40, 3	0.483	0.993708899099	1.0	40
Insulin secretion(mmu04911)	8447, 315, 86, 3	0.935	0.936449622678	1.0	86
Vitamin digestion and absorption(mmu04977)	8447, 1130, 23, 4	1.3	0.673784137656	0.986951412904	23
Bile secretion(mmu04976)	8447, 247, 72, 2	0.95	0.928516423003	1.0	72
Cholesterol metabolism(mmu04979)	8447, 135, 49, 1	1.277	0.86946780661	1.0	49
Phosphatidylinositol signaling system(mmu04070)	8447, 1766, 98, 26	1.269	0.43474267014	0.721719926911	98
beta-Alanine metabolism(mmu00410)	8447, 96, 32, 1	2.75	0.644105997652	0.956957482226	32
Gastric acid secretion(mmu04971)	8447, 500, 74, 5	1.141	0.841052967544	1.0	74
Steroid hormone biosynthesis(mmu00140)	8447, 627, 88, 2	0.306	0.999780906255	1.0	88
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate(mmu00532)	8447, 1381, 20, 6	1.835	0.284607479314	0.548132923123	20
Folate biosynthesis(mmu00790)	8447, 538, 26, 2	1.208	0.787884734876	1.0	26
Citrate cycle (TCA cycle)(mmu00020)	8447, 793, 32, 6	1.997	0.271462040445	0.529350978868	32
Alanine, aspartate and glutamate metabolism(mmu00250)	8447, 1002, 36, 6	1.405	0.591625763281	0.896054554096	36
Dilated cardiomyopathy (DCM)(mmu05414)	8447, 468, 89, 5	1.014	0.909215855512	1.0	89
JAK-STAT signaling pathway(mmu04630)	8447, 125, 164, 12	4.945	9.39462612137e-05	0.000862095102902	164
Viral myocarditis(mmu05416)	8447, 1724, 84, 33	1.925	0.000682925608698	0.00448397745769	84
EGFR tyrosine kinase inhibitor resistance(mmu01521)	8447, 1538, 79, 17	1.182	0.680750444636	0.987879715006	79
Fluid shear stress and atherosclerosis(mmu05418)	8447, 439, 143, 12	1.615	0.352895149896	0.62562894182	143
Antifolate resistance(mmu01523)	8447, 1679, 30, 10	1.677	0.225037006248	0.452977715801	30
Base excision repair(mmu03410)	8447, 1637, 33, 16	2.502	0.00136749202361	0.0085331502273	33
Platinum drug resistance(mmu01524)	8447, 1295, 77, 26	2.202	0.000558037395586	0.00386905927606	77
Amphetamine addiction(mmu05031)	8447, 1788, 67, 15	1.058	0.836817412055	1.0	67
Alzheimer disease(mmu05010)	8447, 1025, 166, 33	1.638	0.0283104387269	0.0920089258624	166
Maturity onset diabetes of the young(mmu04950)	8447, 0, 27, 0	0.0	1.0	1.0	27
Protein digestion and absorption(mmu04974)	8447, 131, 90, 1	0.716	0.973189673327	1.0	90
Natural killer cell mediated cytotoxicity(mmu04650)	8447, 1704, 115, 46	1.983	1.341780257e-05	0.000149512657209	115
Mitophagy - animal(mmu04137)	8447, 1679, 63, 23	1.837	0.0136087675133	0.0524189563476	63
Ribosome biogenesis in eukaryotes(mmu03008)	8447, 1351, 85, 22	1.618	0.0923632303331	0.225135373937	85
HIF-1 signaling pathway(mmu04066)	8447, 1421, 103, 27	1.558	0.0748452431745	0.194597632254	103
Melanoma(mmu05218)	8447, 1295, 72, 17	1.54	0.217792120238	0.444125107936	72
Glutathione metabolism(mmu00480)	8447, 59, 64, 1	2.237	0.766517465247	1.0	64
Hippo signaling pathway(mmu04390)	8447, 312, 153, 6	1.062	0.911331645169	1.0	153
Hippo signaling pathway - multiple species(mmu04392)	8447, 1642, 26, 5	0.989	0.839218804983	1.0	26
Nicotinate and nicotinamide metabolism(mmu00760)	8447, 1746, 35, 11	1.52	0.316878586382	0.585006621012	35
Fatty acid elongation(mmu00062)	8447, 568, 32, 7	3.253	0.0302073089747	0.0951987919202	32
Ras signaling pathway(mmu04014)	8447, 1766, 233, 58	1.191	0.404740311879	0.69384053465	233
Nitrogen metabolism(mmu00910)	8447, 1755, 17, 3	0.849	0.869329893194	1.0	17
Lysine degradation(mmu00310)	8447, 1404, 58, 13	1.348	0.496122932293	0.785737842007	58
NOD-like receptor signaling pathway(mmu04621)	8447, 560, 201, 32	2.401	5.60107939494e-05	0.000546105241006	201
Toll-like receptor signaling pathway(mmu04620)	8447, 1782, 99, 36	1.724	0.00380698324301	0.0188536312987	99
Cytosolic DNA-sensing pathway(mmu04623)	8447, 542, 61, 11	2.81	0.0131149592921	0.0524186731414	61
RIG-I-like receptor signaling pathway(mmu04622)	8447, 1386, 68, 28	2.51	1.50072213961e-05	0.000161457002606	68
Staphylococcus aureus infection(mmu05150)	8447, 35, 90, 1	2.682	0.748468075496	1.0	90
cGMP-PKG signaling pathway(mmu04022)	8447, 352, 171, 7	0.982	0.94401267358	1.0	171
Tuberculosis(mmu05152)	8447, 1269, 177, 46	1.73	0.00140268468544	0.00858112984031	177
Calcium signaling pathway(mmu04020)	8447, 649, 188, 12	0.831	0.98942190812	1.0	188
Autophagy - animal(mmu04140)	8447, 1465, 129, 42	1.877	0.000281437853206	0.00214648487234	129
Wnt signaling pathway(mmu04310)	8447, 127, 160, 3	1.247	0.879321225602	1.0	160
