FIELD	COUNT	DESC
ReadPairs_NoGene_OneKbFromGene	34771	Number of reads or read-pairs that are not assigned to any gene, and that are within 1kb from one or more genes.
ReadPairs_NoGene_TenKbFromGene	137893	Number of reads or read-pairs that are not assigned to any gene, and that are within 10kb from one or more genes.
ReadPairs_NoGene_MiddleOfNowhere	210344	Number of reads or read-pairs that are not assigned to any gene, and that are more than 10kb from the nearest gene
Genes_Total	55421	Number of known genes
Genes_WithZeroCounts	27960	Number of genes with zero observed reads
Genes_WithNonzeroCounts	27461	Number of genes with 1 or more observed reads
InsertSizeCalc_Kept	2321220	Number of read-pairs that satisfied the filters needed to calculate insert size.
InsertSizeCalc_lt_readLen	33529	Number of read pairs with insert size less than the read length
InsertSizeCalc_eq_readLen	13542	Number of read pairs with insert size equal to the read length
InsertSizeCalc_readLen_to_2xreadLen	1698317	Number of read pairs with insert size greater than the read length but less than twice the read length
InsertSizeCalc_ge_2xreadLen	575832	Number of read pairs greater than twice the read length
InsertSizeCalc_Drop_TOTAL	118821	Number of read-pairs for which insert size could not be successfully calculated
InsertSizeCalc_Drop_REASON1	0	Dropped because the forward read appears after the reverse read
InsertSizeCalc_Drop_REASON2	3344	Dropped because the paired reads have different splicing over the overlapped region
InsertSizeCalc_Drop_REASON3	115477	Dropped because too many adaptor bases are aligned to the reference genome (indicating bad alignment)
AVG_GC_R1	0.4359551863497582	Average GC fraction for read 1
AVG_GC_R2	0.43464308908402866	Average GC fraction for read 2
AVG_GC	0.4352991377168935	Average GC fraction across all reads
AggregateGenes	48535	Number of aggregate genes
AggregateGenes_NoReads	23949	Number of aggregate genes with 0 observed reads
AggregateGenes_WithReads	24586	Number of aggregate genes with 1 or more observed reads
SpliceLoci	292247	Number of splice loci observed
SpliceLoci_Known	284992	Number of known splice loci
SpliceLoci_Known_NoReads	216629	Number of known splice loci with 0 observed reads
SpliceLoci_Known_FewReads	46167	Number of known splice loci with 1-3 observed reads
SpliceLoci_Known_ManyReads	22196	Number of known splice loci with 4+ observed reads
SpliceLoci_Novel	7255	Number of novel splice loci observed
SpliceLoci_Novel_FewReads	7096	Number of novel splice loci observed with 1-3 observed reads
SpliceLoci_Novel_ManyReads	159	Number of novel splice loci observed with 4+ observed reads
SpliceEvents	305051	Number of observed splicing events (each read or read-pair that maps across a splice junction is a splice 'event')
SpliceEvents_KnownLoci	293408	Number of splice events covering known SJ loci
SpliceEvents_KnownLociWithFewReads	75676	Number of splice events covering low-coverage known SJ loci
SpliceEvents_KnownLociWithManyReads	217732	Number of splice events covering high-coverage known SJ loci
SpliceEvents_NovelLoci	11643	Number of splice events covering noverl SJ loci
SpliceEvents_NovelLociWithFewReads	7781	Number of splice events covering low-coverage novel SJ loci
SpliceEvents_NovelLociWithManyReads	3862	Number of splice events covering high-coverage novel SJ loci
StrandTest_frFirstStrand	655369	Number of reads or read-pairs that match the fr_FirstStrand strandedness rule
StrandTest_frSecondStrand	47614	Number of reads or read-pairs that match the fr_secondstrand strandedness rule
StrandTest_ambig_genesFountOnBothStrands	21802	Number of reads or read-pairs where the strandedness is ambiguous due to there being genes on both strands
StrandTest_ambig_noGenes	1715081	Number of reads or read-pairs where the strandedness is ambiguous due to there being no known genes.
StrandTest_ambig_other	175	Numebr of reads or read-pairs where the strandedness is ambiguous due to other reasons
StrandTest_STRANDEDNESS_MATCHES_INFERRED	0	1 if the strandedness appears to match the strandedness mode, 0 otherwise.
NumberOfChromosomesCovered	56	Number of chromosomes with 1 or more aligned reads.
deletionLoci	24161	Number of observed deletion loci
insertionLoci	25557	Number of observed insertion loci
deletionEventCt	26585	Number of times deletions are observed in a read
insertionEventCt	28683	Number of times insertions are observed in a read
highCoverageDeletionLoci	77	Number of high-coverage deletion loci.
highCoverageInsertionLoci	62	Number of high-coverage insertion loci
PAIR_CONTAINS_DEL	26374	Number of read-pairs containing one or more deletions
PAIR_CONTAINS_INS	31345	Number of read-pairs containing one or more insertions
PAIR_CONTAINS_INS_AND_DEL	284	Number of read-pairs containing one or more insertions and deletions
PAIR_CONTAINS_INDEL	57435	Number of read-pairs containing one or more insertions or deletions
PAIR_CONTAINS_NO_INDEL	2382606	Number of read-pairs containing no indels
READ_CONTAINS_DEL_R1	16839	Number of read pairs containing a del in read 1
READ_CONTAINS_INS_R1	21067	Number of read pairs containing a ins in read 2
READ_CONTAINS_NO_INDEL_R1	2402273	Number of read pairs containing no indels in read 1
READ_CONTAINS_DEL_R2	9535	Number of read pairs containing a del in read 2
READ_CONTAINS_INS_R2	10278	Number of read pairs containing a ins in read 2
READ_CONTAINS_NO_INDEL_R2	2420271	Number of read pairs containing no indels in read 2
OM_noOverlap_staggered	0	Number of read-pairs with no overlap, mis-staggered such that the fwd read occurs second.
OM_noOverlap_normal	580601	Number of read-pairs with no overlap, arranged normally
OM_overlap	1859439	Number of read-pairs with good overlap.
OM_BAD_OVERLAP	1	Number of read-pairs with a bad overlap
OM_overlap_Match	1704420	Number of read-pairs with a good overlap, and that match perfectly.
OM_overlap_mismatch	155019	Number of read-pairs with a good overlap, but that contain one or more base mismatches
NumReadsAtMaxReadLength_R1	2440041	Number of read-1 reads at the max length.
NumReadsAtMaxReadLength_R2	2440041	Number of read-2 reads at the max length.
NumReadsTruncated_R1	0	Number of read-1 reads that are not at the max length.
NumReadsTruncated_R2	0	Number of read-2 reads that are not at the max length.
NumReadsTruncated_25pct_R1	0	Number of read-1 reads that are truncated to less than 25% of the max length
NumReadsTruncated_25pct_R2	0	Number of read-2 reads that are truncated to less than 25% of the max length
NumReadsTruncated_50pct_R1	0	Number of read-1 reads that are truncated to less than 50% of the max length
NumReadsTruncated_50pct_R2	0	Number of read-2 reads that are truncated to less than 50% of the max length
NumReadsTruncated_75pct_R1	0	Number of read-1 reads that are truncated to less than 75% of the max length
NumReadsTruncated_75pct_R2	0	Number of read-2 reads that are truncated to less than 75% of the max length
READ_LENGTH	125	The read length.
COMPLETED_WITHOUT_WARNING	0	0 if complete without throwing any warnings. 1 if warnings were thrown.
QoRTs_initTimeStamp	1572914798396	Time stamp for when QoRTs QC began.
QoRTs_samDoneTimeStamp	1572915322691	Time stamp for when QoRTs QC finished SAM iteration.
QoRTs_majorVer	1	QoRTs major version number
QoRTs_minorVer	3	QoRTs minor version number
QoRTs_patchVer	6	QoRTs patch version number
QoRTs_compileTimeStamp	1537888906	The timestamp for when the version of QoRTs was built.
COMPLETED_WITHOUT_ERROR	1	1 if QoRTs completed without errors. If QoRTs encountered an error, this file should not exist.
