FIELD	COUNT	DESC
InsertSizeCalc_lt_readLen	33416	Number of read pairs with insert size less than the read length
InsertSizeCalc_eq_readLen	13427	Number of read pairs with insert size equal to the read length
InsertSizeCalc_readLen_to_2xreadLen	1699439	Number of read pairs with insert size greater than the read length but less than twice the read length
InsertSizeCalc_ge_2xreadLen	575998	Number of read pairs greater than twice the read length
InsertSizeCalc_Drop_TOTAL	118688	Number of read-pairs for which insert size could not be successfully calculated
InsertSizeCalc_Drop_REASON1	0	Dropped because the forward read appears after the reverse read
InsertSizeCalc_Drop_REASON2	3289	Dropped because the paired reads have different splicing over the overlapped region
InsertSizeCalc_Drop_REASON3	115399	Dropped because too many adaptor bases are aligned to the reference genome (indicating bad alignment)
AVG_GC_R1	0.436085173970821	Average GC fraction for read 1
AVG_GC_R2	0.4347126446098877	Average GC fraction for read 2
AVG_GC	0.43539890929035435	Average GC fraction across all reads
AggregateGenes	48535	Number of aggregate genes
AggregateGenes_NoReads	24005	Number of aggregate genes with 0 observed reads
AggregateGenes_WithReads	24530	Number of aggregate genes with 1 or more observed reads
SpliceLoci	292175	Number of splice loci observed
SpliceLoci_Known	284992	Number of known splice loci
SpliceLoci_Known_NoReads	216275	Number of known splice loci with 0 observed reads
SpliceLoci_Known_FewReads	46502	Number of known splice loci with 1-3 observed reads
SpliceLoci_Known_ManyReads	22215	Number of known splice loci with 4+ observed reads
SpliceLoci_Novel	7183	Number of novel splice loci observed
SpliceLoci_Novel_FewReads	7035	Number of novel splice loci observed with 1-3 observed reads
SpliceLoci_Novel_ManyReads	148	Number of novel splice loci observed with 4+ observed reads
SpliceEvents	303710	Number of observed splicing events (each read or read-pair that maps across a splice junction is a splice 'event')
SpliceEvents_KnownLoci	292333	Number of splice events covering known SJ loci
SpliceEvents_KnownLociWithFewReads	76161	Number of splice events covering low-coverage known SJ loci
SpliceEvents_KnownLociWithManyReads	216172	Number of splice events covering high-coverage known SJ loci
SpliceEvents_NovelLoci	11377	Number of splice events covering noverl SJ loci
SpliceEvents_NovelLociWithFewReads	7738	Number of splice events covering low-coverage novel SJ loci
SpliceEvents_NovelLociWithManyReads	3639	Number of splice events covering high-coverage novel SJ loci
StrandTest_frFirstStrand	655676	Number of reads or read-pairs that match the fr_FirstStrand strandedness rule
StrandTest_frSecondStrand	47781	Number of reads or read-pairs that match the fr_secondstrand strandedness rule
StrandTest_ambig_genesFountOnBothStrands	21962	Number of reads or read-pairs where the strandedness is ambiguous due to there being genes on both strands
StrandTest_ambig_noGenes	1715367	Number of reads or read-pairs where the strandedness is ambiguous due to there being no known genes.
StrandTest_ambig_other	182	Numebr of reads or read-pairs where the strandedness is ambiguous due to other reasons
StrandTest_STRANDEDNESS_MATCHES_INFERRED	0	1 if the strandedness appears to match the strandedness mode, 0 otherwise.
NumberOfChromosomesCovered	57	Number of chromosomes with 1 or more aligned reads.
deletionLoci	23949	Number of observed deletion loci
insertionLoci	25798	Number of observed insertion loci
deletionEventCt	26325	Number of times deletions are observed in a read
insertionEventCt	28938	Number of times insertions are observed in a read
highCoverageDeletionLoci	65	Number of high-coverage deletion loci.
highCoverageInsertionLoci	58	Number of high-coverage insertion loci
PAIR_CONTAINS_DEL	26122	Number of read-pairs containing one or more deletions
PAIR_CONTAINS_INS	31242	Number of read-pairs containing one or more insertions
PAIR_CONTAINS_INS_AND_DEL	280	Number of read-pairs containing one or more insertions and deletions
PAIR_CONTAINS_INDEL	57084	Number of read-pairs containing one or more insertions or deletions
PAIR_CONTAINS_NO_INDEL	2383884	Number of read-pairs containing no indels
READ_CONTAINS_DEL_R1	16858	Number of read pairs containing a del in read 1
READ_CONTAINS_INS_R1	20998	Number of read pairs containing a ins in read 2
READ_CONTAINS_NO_INDEL_R1	2403253	Number of read pairs containing no indels in read 1
READ_CONTAINS_DEL_R2	9264	Number of read pairs containing a del in read 2
READ_CONTAINS_INS_R2	10244	Number of read pairs containing a ins in read 2
READ_CONTAINS_NO_INDEL_R2	2421516	Number of read pairs containing no indels in read 2
OM_noOverlap_staggered	0	Number of read-pairs with no overlap, mis-staggered such that the fwd read occurs second.
OM_noOverlap_normal	580784	Number of read-pairs with no overlap, arranged normally
OM_overlap	1860181	Number of read-pairs with good overlap.
OM_BAD_OVERLAP	3	Number of read-pairs with a bad overlap
OM_overlap_Match	1704437	Number of read-pairs with a good overlap, and that match perfectly.
OM_overlap_mismatch	155744	Number of read-pairs with a good overlap, but that contain one or more base mismatches
NumReadsAtMaxReadLength_R1	2440968	Number of read-1 reads at the max length.
NumReadsAtMaxReadLength_R2	2440968	Number of read-2 reads at the max length.
NumReadsTruncated_R1	0	Number of read-1 reads that are not at the max length.
NumReadsTruncated_R2	0	Number of read-2 reads that are not at the max length.
NumReadsTruncated_25pct_R1	0	Number of read-1 reads that are truncated to less than 25% of the max length
NumReadsTruncated_25pct_R2	0	Number of read-2 reads that are truncated to less than 25% of the max length
NumReadsTruncated_50pct_R1	0	Number of read-1 reads that are truncated to less than 50% of the max length
NumReadsTruncated_50pct_R2	0	Number of read-2 reads that are truncated to less than 50% of the max length
NumReadsTruncated_75pct_R1	0	Number of read-1 reads that are truncated to less than 75% of the max length
NumReadsTruncated_75pct_R2	0	Number of read-2 reads that are truncated to less than 75% of the max length
READ_LENGTH	125	The read length.
COMPLETED_WITHOUT_WARNING	0	0 if complete without throwing any warnings. 1 if warnings were thrown.
QoRTs_initTimeStamp	1572915411604	Time stamp for when QoRTs QC began.
QoRTs_samDoneTimeStamp	1572915914713	Time stamp for when QoRTs QC finished SAM iteration.
QoRTs_majorVer	1	QoRTs major version number
QoRTs_minorVer	3	QoRTs minor version number
QoRTs_patchVer	6	QoRTs patch version number
QoRTs_compileTimeStamp	1537888906	The timestamp for when the version of QoRTs was built.
COMPLETED_WITHOUT_ERROR	1	1 if QoRTs completed without errors. If QoRTs encountered an error, this file should not exist.
