# Analysis title: diff_Primary_versus_Naive_c3.0_cond1_formatted analysis from Cistrome-GO
# Mode: Ensemble mode
# Specie: mm10
# Peak bed file name: diff_Primary_versus_Naive_c3.0_cond1_formatted.bed
# Differential expression file name: primary_vs_control_naive_deseq2.csv
# Genes for gene ontology: allgenes
# Column index of (GeneID, logFoldChange, FDR): 1,3,7
# Cutoffs of logFoldChange and FDR for DE genes: 1.0, 0.05
# Top peaks to use: 10000
# Half-decay distance: 1000bp
# FDR cutoff of GO/KEGG terms to return: 0.2
# Minimum and maximum gene number in GO and KEGG gene sets: 10, 2000
# Term	N,n,B,b	Erichment	p_value	FDR	Gene_number
Arachidonic acid metabolism(mmu00590)	8447, 1443, 88, 1	0.067	0.999999997578	1.0	88
Neuroactive ligand-receptor interaction(mmu04080)	8447, 19, 348, 1	1.278	0.960296324021	1.0	348
Vascular smooth muscle contraction(mmu04270)	8447, 541, 139, 13	1.46	0.471712301747	0.657027848862	139
Longevity regulating pathway(mmu04211)	8447, 1576, 90, 32	1.906	0.00135747730856	0.00436631876566	90
Metabolism of xenobiotics by cytochrome P450(mmu00980)	8447, 314, 66, 1	0.408	0.99438417099	1.0	66
Intestinal immune network for IgA production(mmu04672)	8447, 165, 41, 5	6.243	0.00930762562733	0.0238031081617	41
Drug metabolism - cytochrome P450(mmu00982)	8447, 314, 68, 1	0.396	0.99520544902	1.0	68
Drug metabolism - other enzymes(mmu00983)	8447, 394, 87, 4	0.986	0.92716598583	1.0	87
Peroxisome(mmu04146)	8447, 292, 84, 3	1.033	0.915641976607	1.0	84
Metabolic pathways(mmu01100)	8447, 1951, 1287, 285	0.959	0.998910114937	1.0	1287
Endometrial cancer(mmu05213)	8447, 1941, 58, 33	2.476	4.08963945288e-07	3.18991877325e-06	58
Pancreatic cancer(mmu05212)	8447, 1955, 75, 45	2.592	1.67400868254e-10	2.61145354477e-09	75
Renal cell carcinoma(mmu05211)	8447, 1083, 68, 28	3.212	8.966046063e-08	7.56055776123e-07	68
Oxidative phosphorylation(mmu00190)	8447, 1944, 119, 35	1.278	0.326693216383	0.49721113908	119
Taste transduction(mmu04742)	8447, 329, 87, 1	0.295	0.999119128641	1.0	87
Leukocyte transendothelial migration(mmu04670)	8447, 1083, 114, 36	2.463	2.42641456959e-06	1.32814271177e-05	114
Olfactory transduction(mmu04740)	8447, 604, 1129, 1	0.012	1.0	1.0	1129
Glioma(mmu05214)	8447, 1631, 75, 34	2.348	4.12789902135e-06	2.11131884371e-05	75
DNA replication(mmu03030)	8447, 1989, 35, 18	2.184	0.00276094186755	0.00790287947409	35
Pancreatic secretion(mmu04972)	8447, 374, 105, 9	1.936	0.247311305061	0.401880870725	105
Bladder cancer(mmu05219)	8447, 1631, 41, 15	1.895	0.0488262017945	0.103631122176	41
Huntington disease(mmu05016)	8447, 1944, 181, 56	1.344	0.0738059015322	0.149951898592	181
Porphyrin and chlorophyll metabolism(mmu00860)	8447, 1206, 41, 6	1.025	0.863728601188	1.0	41
Terpenoid backbone biosynthesis(mmu00900)	8447, 1996, 21, 8	1.612	0.312045164319	0.484368613271	21
Cushing syndrome(mmu04934)	8447, 1171, 159, 37	1.679	0.0106308808603	0.0265346786273	159
Endocrine resistance(mmu01522)	8447, 1631, 93, 40	2.228	2.38935132651e-06	1.32814271177e-05	93
Insulin resistance(mmu04931)	8447, 1531, 108, 38	1.941	0.000254995803416	0.000893917872648	108
Type II diabetes mellitus(mmu04930)	8447, 1165, 48, 14	2.115	0.0301991631609	0.0668236801857	48
AGE-RAGE signaling pathway in diabetic complications(mmu04933)	8447, 803, 101, 25	2.604	9.13704887543e-05	0.000343464969775	101
Non-alcoholic fatty liver disease (NAFLD)(mmu04932)	8447, 1944, 145, 56	1.678	0.000263875451377	0.000914768231439	145
Human papillomavirus infection(mmu05165)	8447, 1118, 355, 78	1.66	6.20856936104e-05	0.000239144893907	355
Influenza A(mmu05164)	8447, 1754, 168, 69	1.978	3.40895739471e-08	3.43095066823e-07	168
Kaposi sarcoma-associated herpesvirus infection(mmu05167)	8447, 1899, 213, 92	1.921	2.78780209371e-10	4.14187739637e-09	213
Human T-cell leukemia virus 1 infection(mmu05166)	8447, 1966, 243, 114	2.016	9.44433313942e-15	4.9110532325e-13	243
Hepatitis B(mmu05161)	8447, 1896, 163, 81	2.214	4.42074982958e-13	1.37927394683e-11	163
Hepatitis C(mmu05160)	8447, 1975, 160, 72	1.925	2.82250407054e-08	2.93540423337e-07	160
Human cytomegalovirus infection(mmu05163)	8447, 1650, 253, 99	2.003	7.82384566138e-12	1.87772295873e-10	253
Measles(mmu05162)	8447, 1530, 135, 59	2.413	1.10847338136e-10	1.82022997361e-09	135
MAPK signaling pathway(mmu04010)	8447, 1652, 294, 94	1.635	4.97909196179e-06	2.50560756787e-05	294
Hedgehog signaling pathway(mmu04340)	8447, 2000, 44, 21	2.016	0.0039331665473	0.0109566782389	44
Epstein-Barr virus infection(mmu05169)	8447, 1805, 225, 99	2.059	4.26754706144e-13	1.37927394683e-11	225
Herpes simplex virus 1 infection(mmu05168)	8447, 1868, 427, 143	1.514	6.3403514577e-07	4.4958855791e-06	427
Fatty acid biosynthesis(mmu00061)	8447, 829, 14, 3	2.183	0.364687287528	0.547030931292	14
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis(mmu00563)	8447, 1476, 25, 10	2.289	0.0402766168912	0.0878762550354	25
Adrenergic signaling in cardiomyocytes(mmu04261)	8447, 938, 144, 28	1.751	0.0230730928019	0.0517899636993	144
Sphingolipid signaling pathway(mmu04071)	8447, 1975, 121, 56	1.979	5.02586486497e-07	3.82456058017e-06	121
Phospholipase D signaling pathway(mmu04072)	8447, 1576, 148, 39	1.412	0.100871946474	0.188455373053	148
Other types of O-glycan biosynthesis(mmu00514)	8447, 180, 22, 1	2.133	0.685894457741	0.877045372194	22
Mucin type O-glycan biosynthesis(mmu00512)	8447, 176, 28, 1	1.714	0.767165921759	0.953608635812	28
Histidine metabolism(mmu00340)	8447, 0, 24, 0	0.0	1.0	1.0	24
N-Glycan biosynthesis(mmu00510)	8447, 1797, 49, 23	2.206	0.0006206702243	0.0020600969147	49
Parkinson disease(mmu05012)	8447, 1984, 128, 40	1.33	0.177542742437	0.302695823172	128
Carbon metabolism(mmu01200)	8447, 1940, 118, 35	1.291	0.296653591318	0.462779602455	118
Selenocompound metabolism(mmu00450)	8447, 437, 17, 2	2.274	0.484477888474	0.671809338683	17
Homologous recombination(mmu03440)	8447, 1945, 41, 16	1.695	0.0937758896714	0.179497408451	41
Inflammatory mediator regulation of TRP channels(mmu04750)	8447, 355, 126, 8	1.511	0.57824750988	0.77099667984	126
Prion diseases(mmu05020)	8447, 1966, 34, 13	1.643	0.170470909436	0.293850407425	34
Cholinergic synapse(mmu04725)	8447, 832, 113, 20	1.797	0.0570665218997	0.118698365551	113
Gastric cancer(mmu05226)	8447, 1171, 150, 36	1.731	0.00708868610105	0.0185854627187	150
ECM-receptor interaction(mmu04512)	8447, 201, 83, 5	2.532	0.251922991777	0.407253748365	83
Breast cancer(mmu05224)	8447, 1171, 147, 37	1.816	0.00233913096885	0.00682064357272	147
Focal adhesion(mmu04510)	8447, 1118, 198, 48	1.832	0.00030213434961	0.00103588919866	198
Small cell lung cancer(mmu05222)	8447, 1600, 92, 42	2.41	8.42515802685e-08	7.30180362327e-07	92
Non-small cell lung cancer(mmu05223)	8447, 1941, 66, 40	2.638	1.15123745788e-09	1.49660869524e-08	66
Chronic myeloid leukemia(mmu05220)	8447, 1941, 76, 48	2.749	1.69924788673e-12	4.81968491508e-11	76
Cell adhesion molecules (CAMs)(mmu04514)	8447, 191, 165, 16	4.288	1.90803083491e-05	8.75449441899e-05	165
Rap1 signaling pathway(mmu04015)	8447, 1128, 209, 46	1.648	0.00503443132052	0.0136586310609	209
GABAergic synapse(mmu04727)	8447, 8, 90, 1	11.732	0.374242602354	0.548869211087	90
Spliceosome(mmu03040)	8447, 1986, 131, 58	1.883	2.4157185182e-06	1.32814271177e-05	131
Long-term potentiation(mmu04720)	8447, 1631, 66, 28	2.197	0.000176897986664	0.000634392779762	66
Glycosphingolipid biosynthesis - ganglio series(mmu00604)	8447, 1779, 15, 7	2.216	0.0957507574022	0.182159977497	15
Glycosphingolipid biosynthesis - globo and isoglobo series(mmu00603)	8447, 424, 16, 2	2.49	0.437258804081	0.622944049649	16
Glycosphingolipid biosynthesis - lacto and neolacto series(mmu00601)	8447, 497, 26, 4	2.615	0.240026939563	0.392085890805	26
Sphingolipid metabolism(mmu00600)	8447, 1987, 48, 11	0.974	0.90161550359	1.0	48
Galactose metabolism(mmu00052)	8447, 1950, 32, 8	1.083	0.795800211498	0.981382079001	32
Ascorbate and aldarate metabolism(mmu00053)	8447, 1930, 27, 1	0.162	0.999132781693	1.0	27
Fructose and mannose metabolism(mmu00051)	8447, 504, 35, 4	1.915	0.457178368801	0.639639690878	35
T cell receptor signaling pathway(mmu04660)	8447, 1631, 101, 61	3.128	2.54547708747e-18	7.94188851291e-16	101
Cardiac muscle contraction(mmu04260)	8447, 1944, 74, 16	0.939	0.945197744576	1.0	74
Type I diabetes mellitus(mmu04940)	8447, 165, 67, 6	4.585	0.0170761748572	0.0409828196572	67
Basal transcription factors(mmu03022)	8447, 1697, 43, 11	1.273	0.598943327201	0.781884176094	43
Amino sugar and nucleotide sugar metabolism(mmu00520)	8447, 1940, 49, 14	1.244	0.592326741581	0.77762374093	49
Retrograde endocannabinoid signaling(mmu04723)	8447, 139, 141, 2	0.862	0.97002194214	1.0	141
Aminoacyl-tRNA biosynthesis(mmu00970)	8447, 195, 44, 3	2.953	0.321010716902	0.491478678407	44
TGF-beta signaling pathway(mmu04350)	8447, 146, 90, 5	3.214	0.131222055494	0.235294720196	90
Axon guidance(mmu04360)	8447, 531, 180, 18	1.591	0.228433672425	0.377096856066	180
IL-17 signaling pathway(mmu04657)	8447, 1879, 91, 36	1.778	0.00186880497066	0.00559450884291	91
Apoptosis - multiple species(mmu04215)	8447, 1117, 32, 15	3.545	4.17272544602e-05	0.000175873762466	32
Ferroptosis(mmu04216)	8447, 1030, 40, 8	1.64	0.374012078676	0.548869211087	40
Necroptosis(mmu04217)	8447, 1988, 175, 73	1.772	1.35860299171e-06	8.31145359637e-06	175
Apoptosis(mmu04210)	8447, 1988, 136, 74	2.312	1.74937373827e-13	7.79720866202e-12	136
RNA polymerase(mmu03020)	8447, 1840, 28, 6	0.984	0.859016413079	1.0	28
Longevity regulating pathway - multiple species(mmu04213)	8447, 1087, 62, 15	1.88	0.0746717576985	0.149951898592	62
FoxO signaling pathway(mmu04068)	8447, 1631, 132, 63	2.472	3.09891252355e-12	8.05717256122e-11	132
Cellular senescence(mmu04218)	8447, 1635, 181, 80	2.283	4.23111673212e-13	1.37927394683e-11	181
Fatty acid metabolism(mmu01212)	8447, 1096, 57, 12	1.623	0.272015927854	0.43504923098	57
alpha-Linolenic acid metabolism(mmu00592)	8447, 107, 25, 1	3.158	0.593187340837	0.77762374093	25
2-Oxocarboxylic acid metabolism(mmu01210)	8447, 1620, 19, 5	1.372	0.588700324747	0.77762374093	19
Glutamatergic synapse(mmu04724)	8447, 8, 114, 1	9.262	0.448437347692	0.630236272432	114
Central carbon metabolism in cancer(mmu05230)	8447, 1165, 64, 22	2.492	0.000315401095103	0.00106962110513	64
Serotonergic synapse(mmu04726)	8447, 307, 132, 6	1.251	0.81699004917	0.999611354278	132
Non-homologous end-joining(mmu03450)	8447, 1026, 13, 3	1.9	0.433944825647	0.621058649549	13
Nicotine addiction(mmu05033)	8447, 1933, 40, 1	0.109	0.999972108809	1.0	40
Synaptic vesicle cycle(mmu04721)	8447, 1246, 77, 11	0.968	0.926019040093	1.0	77
Neurotrophin signaling pathway(mmu04722)	8447, 1631, 121, 57	2.44	8.46793568217e-11	1.46777551824e-09	121
Cocaine addiction(mmu05030)	8447, 946, 48, 8	1.488	0.503251581378	0.68267171039	48
Allograft rejection(mmu05330)	8447, 165, 60, 7	5.973	0.00180523463661	0.00546828355944	60
Graft-versus-host disease(mmu05332)	8447, 165, 62, 6	4.954	0.0116683233983	0.0288929912721	62
Dopaminergic synapse(mmu04728)	8447, 832, 131, 25	1.938	0.0106009619901	0.0265346786273	131
Propanoate metabolism(mmu00640)	8447, 466, 30, 2	1.208	0.810295029643	0.995323028538	30
Adherens junction(mmu04520)	8447, 1184, 72, 25	2.477	0.000108866056219	0.000399602465179	72
Glyoxylate and dicarboxylate metabolism(mmu00630)	8447, 230, 30, 1	1.224	0.851546752763	1.0	30
Proteasome(mmu03050)	8447, 1995, 46, 15	1.381	0.384900451984	0.561163275789	46
Regulation of actin cytoskeleton(mmu04810)	8447, 1754, 216, 73	1.628	9.25821648229e-05	0.000343876612199	216
Tryptophan metabolism(mmu00380)	8447, 230, 46, 1	0.798	0.945612329914	1.0	46
Mismatch repair(mmu03430)	8447, 1471, 22, 6	1.566	0.440337696598	0.624478915175	22
Thiamine metabolism(mmu00730)	8447, 1254, 15, 2	0.898	0.843963684018	1.0	15
Mannose type O-glycan biosynthesis(mmu00515)	8447, 0, 22, 0	0.0	1.0	1.0	22
Pentose and glucuronate interconversions(mmu00040)	8447, 1206, 33, 2	0.424	0.992895562242	1.0	33
Insulin signaling pathway(mmu04910)	8447, 1631, 138, 53	1.989	2.5811302612e-06	1.38847007154e-05	138
Glycosaminoglycan biosynthesis - heparan sulfate / heparin(mmu00534)	8447, 1434, 24, 7	1.718	0.31795541478	0.491099452532	24
p53 signaling pathway(mmu04115)	8447, 1941, 71, 34	2.084	5.16406847241e-05	0.000209245371869	71
Oocyte meiosis(mmu04114)	8447, 1975, 115, 41	1.525	0.0200290810022	0.0466348751694	115
Glycosaminoglycan degradation(mmu00531)	8447, 1573, 21, 5	1.279	0.657417714974	0.844091880955	21
Glycosaminoglycan biosynthesis - keratan sulfate(mmu00533)	8447, 1134, 14, 4	2.128	0.291420993009	0.456901255371	14
Cell cycle(mmu04110)	8447, 1989, 123, 59	2.037	5.6458421339e-08	5.33788710841e-07	123
Complement and coagulation cascades(mmu04610)	8447, 87, 88, 1	1.103	0.933435952611	1.0	88
Platelet activation(mmu04611)	8447, 1165, 123, 33	1.945	0.00130559008406	0.00424316777319	123
Antigen processing and presentation(mmu04612)	8447, 346, 88, 15	4.161	3.98873802361e-05	0.000170477570324	88
Bacterial invasion of epithelial cells(mmu05100)	8447, 1815, 74, 39	2.453	6.56557119654e-08	6.024877098e-07	74
Taurine and hypotaurine metabolism(mmu00430)	8447, 1285, 11, 1	0.598	0.886487909101	1.0	11
Nucleotide excision repair(mmu03420)	8447, 1870, 43, 18	1.891	0.0210893211221	0.0480282349641	43
Primary bile acid biosynthesis(mmu00120)	8447, 0, 16, 0	0.0	1.0	1.0	16
PPAR signaling pathway(mmu03320)	8447, 34, 85, 1	2.923	0.732150352763	0.924821498227	85
Primary immunodeficiency(mmu05340)	8447, 991, 35, 16	3.897	6.68663566746e-06	3.20958512038e-05	35
Purine metabolism(mmu00230)	8447, 432, 134, 6	0.876	0.970874627044	1.0	134
Tight junction(mmu04530)	8447, 1665, 167, 49	1.489	0.0197085080329	0.0462334925284	167
Fanconi anemia pathway(mmu03460)	8447, 1893, 51, 23	2.012	0.00273265537395	0.00789433774696	51
Long-term depression(mmu04730)	8447, 430, 60, 8	2.619	0.0743205138706	0.149951898592	60
Rheumatoid arthritis(mmu05323)	8447, 165, 83, 6	3.701	0.0445303610908	0.09648244903	83
Systemic lupus erythematosus(mmu05322)	8447, 1589, 140, 51	1.937	1.2157791588e-05	5.66153876935e-05	140
Inflammatory bowel disease (IBD)(mmu05321)	8447, 327, 59, 14	6.13	6.15590494856e-07	4.47021739724e-06	59
Autoimmune thyroid disease(mmu05320)	8447, 165, 75, 7	4.778	0.00663980867295	0.0175561042878	75
Glycine, serine and threonine metabolism(mmu00260)	8447, 1919, 40, 5	0.55	0.99583762251	1.0	40
Pyruvate metabolism(mmu00620)	8447, 366, 38, 2	1.215	0.829304092893	1.0	38
Toxoplasmosis(mmu05145)	8447, 169, 108, 15	6.942	7.08586323156e-08	6.31654093784e-07	108
Retinol metabolism(mmu00830)	8447, 557, 91, 1	0.167	0.999977523798	1.0	91
Endocrine and other factor-regulated calcium reabsorption(mmu04961)	8447, 1586, 55, 15	1.453	0.329728819585	0.499395105391	55
Other glycan degradation(mmu00511)	8447, 1573, 18, 4	1.193	0.717530616427	0.913753274797	18
Hypertrophic cardiomyopathy (HCM)(mmu05410)	8447, 184, 86, 5	2.669	0.221412296611	0.367450194376	86
Ubiquitin mediated proteolysis(mmu04120)	8447, 1999, 138, 67	2.052	3.44207653925e-09	4.13049184709e-08	138
Alcoholism(mmu05034)	8447, 1562, 197, 66	1.812	6.15255186519e-06	2.99936903428e-05	197
Collecting duct acid secretion(mmu04966)	8447, 1708, 27, 6	1.099	0.786066000693	0.973224572286	27
Ubiquinone and other terpenoid-quinone biosynthesis(mmu00130)	8447, 1823, 11, 2	0.842	0.831725435038	1.0	11
Proximal tubule bicarbonate reclamation(mmu04964)	8447, 1249, 22, 7	2.152	0.143941896383	0.25230264984	22
Signaling pathways regulating pluripotency of stem cells(mmu04550)	8447, 81, 137, 4	3.045	0.256831046873	0.413047869198	137
Vasopressin-regulated water reabsorption(mmu04962)	8447, 1967, 43, 18	1.798	0.0388715855281	0.0854079907378	43
Carbohydrate digestion and absorption(mmu04973)	8447, 1456, 43, 13	1.754	0.138809568241	0.246071507337	43
Aldosterone-regulated sodium reabsorption(mmu04960)	8447, 1165, 38, 10	1.908	0.149178143017	0.258575447896	38
Arginine and proline metabolism(mmu00330)	8447, 78, 50, 1	2.166	0.763900299662	0.953347573978	50
Pentose phosphate pathway(mmu00030)	8447, 1940, 32, 10	1.361	0.49446219753	0.67367775384	32
Arginine biosynthesis(mmu00220)	8447, 106, 19, 1	4.194	0.487237364478	0.672646273084	19
Legionellosis(mmu05134)	8447, 238, 58, 8	4.895	0.00221073323118	0.00650706385027	58
Salmonella infection(mmu05132)	8447, 1784, 78, 38	2.307	9.6735395226e-07	6.42158368308e-06	78
Biosynthesis of amino acids(mmu01230)	8447, 1935, 77, 24	1.361	0.289786048133	0.456901255371	77
Notch signaling pathway(mmu04330)	8447, 103, 49, 3	5.021	0.124966027301	0.228008190164	49
Choline metabolism in cancer(mmu05231)	8447, 1631, 99, 35	1.831	0.00156514998391	0.00478751759786	99
Pertussis(mmu05133)	8447, 1629, 76, 28	1.91	0.00302092645273	0.00856844593864	76
ErbB signaling pathway(mmu04012)	8447, 1673, 84, 37	2.224	6.14340495588e-06	2.99936903428e-05	84
Hepatocellular carcinoma(mmu05225)	8447, 1412, 171, 53	1.854	4.93314901886e-05	0.000202518749195	171
Gap junction(mmu04540)	8447, 1631, 86, 24	1.445	0.199719318681	0.335013050691	86
RNA degradation(mmu03018)	8447, 1997, 81, 39	2.037	2.02112063898e-05	9.13898028061e-05	81
Asthma(mmu05310)	8447, 100, 24, 1	3.52	0.559032497111	0.748575704286	24
Th1 and Th2 cell differentiation(mmu04658)	8447, 1607, 87, 51	3.081	7.39976088804e-15	4.61745079414e-13	87
Protein export(mmu03060)	8447, 1633, 27, 10	1.916	0.116597065192	0.213989907881	27
Acute myeloid leukemia(mmu05221)	8447, 1087, 69, 27	3.041	6.16087654106e-07	4.47021739724e-06	69
Th17 cell differentiation(mmu04659)	8447, 341, 102, 31	7.529	5.94920617552e-18	9.28076163382e-16	102
Butanoate metabolism(mmu00650)	8447, 466, 26, 1	0.697	0.936030688094	1.0	26
Salivary secretion(mmu04970)	8447, 345, 78, 8	2.511	0.098174542232	0.184520826364	78
Morphine addiction(mmu05032)	8447, 842, 92, 9	0.981	0.925973119303	1.0	92
Autophagy - other(mmu04136)	8447, 1969, 32, 15	2.011	0.0190784742179	0.0450945754241	32
Fat digestion and absorption(mmu04975)	8447, 574, 40, 2	0.736	0.954616951551	1.0	40
Insulin secretion(mmu04911)	8447, 232, 86, 4	1.693	0.633364267004	0.823373547105	86
Vitamin digestion and absorption(mmu04977)	8447, 1863, 23, 5	0.986	0.84339057987	1.0	23
Bile secretion(mmu04976)	8447, 232, 72, 3	1.517	0.744858218807	0.937079694628	72
Cholesterol metabolism(mmu04979)	8447, 899, 49, 7	1.342	0.65161385088	0.840097196176	49
Phosphatidylinositol signaling system(mmu04070)	8447, 1951, 98, 44	1.944	2.43456772649e-05	0.000108512161524	98
beta-Alanine metabolism(mmu00410)	8447, 466, 32, 1	0.566	0.964916285534	1.0	32
Gastric acid secretion(mmu04971)	8447, 232, 74, 6	2.952	0.106620067409	0.198008696616	74
Steroid hormone biosynthesis(mmu00140)	8447, 1019, 88, 1	0.094	0.999999859786	1.0	88
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate(mmu00532)	8447, 1827, 20, 9	2.081	0.0796672553532	0.156328199184	20
Folate biosynthesis(mmu00790)	8447, 1089, 26, 3	0.895	0.891409563757	1.0	26
Citrate cycle (TCA cycle)(mmu00020)	8447, 1890, 32, 12	1.676	0.17339990217	0.297256975148	32
Alanine, aspartate and glutamate metabolism(mmu00250)	8447, 106, 36, 1	2.214	0.72829666308	0.923693328785	36
Dilated cardiomyopathy (DCM)(mmu05414)	8447, 229, 89, 7	2.901	0.0749759492961	0.149951898592	89
JAK-STAT signaling pathway(mmu04630)	8447, 318, 164, 28	4.535	3.67091110991e-10	5.20601939223e-09	164
Viral myocarditis(mmu05416)	8447, 124, 84, 9	7.299	5.49225406631e-05	0.000219690162653	84
EGFR tyrosine kinase inhibitor resistance(mmu01521)	8447, 1165, 79, 26	2.386	0.000161138100946	0.00058459404064	79
Fluid shear stress and atherosclerosis(mmu05418)	8447, 1083, 143, 32	1.745	0.0121935456131	0.0299557970968	143
Antifolate resistance(mmu01523)	8447, 1885, 30, 11	1.643	0.21689631978	0.361880490756	30
Base excision repair(mmu03410)	8447, 1988, 33, 14	1.803	0.0740834479654	0.149951898592	33
Platinum drug resistance(mmu01524)	8447, 1531, 77, 28	2.006	0.00137644241676	0.00438214320439	77
Amphetamine addiction(mmu05031)	8447, 1609, 67, 20	1.567	0.134337217069	0.239504067002	67
Alzheimer disease(mmu05010)	8447, 1944, 166, 53	1.387	0.0486239715607	0.103631122176	166
Maturity onset diabetes of the young(mmu04950)	8447, 0, 27, 0	0.0	1.0	1.0	27
Protein digestion and absorption(mmu04974)	8447, 8, 90, 1	11.732	0.374242602354	0.548869211087	90
Natural killer cell mediated cytotoxicity(mmu04650)	8447, 440, 115, 23	3.84	4.01546598453e-07	3.18991877325e-06	115
Mitophagy - animal(mmu04137)	8447, 1962, 63, 34	2.323	1.97842082268e-06	1.14486136549e-05	63
Ribosome biogenesis in eukaryotes(mmu03008)	8447, 1990, 85, 28	1.398	0.188971377969	0.318697675278	85
HIF-1 signaling pathway(mmu04066)	8447, 1165, 103, 36	2.534	8.68722743522e-07	5.89220643432e-06	103
Melanoma(mmu05218)	8447, 1256, 72, 20	1.868	0.0280197493094	0.0624440127466	72
Glutathione metabolism(mmu00480)	8447, 78, 64, 1	1.692	0.842111785791	1.0	64
Hippo signaling pathway(mmu04390)	8447, 104, 153, 6	3.185	0.093770798395	0.179497408451	153
Hippo signaling pathway - multiple species(mmu04392)	8447, 1852, 26, 8	1.403	0.491240760666	0.67367775384	26
Nicotinate and nicotinamide metabolism(mmu00760)	8447, 1224, 35, 5	0.986	0.875899989125	1.0	35
Fatty acid elongation(mmu00062)	8447, 1485, 32, 10	1.778	0.188330753262	0.318697675278	32
Ras signaling pathway(mmu04014)	8447, 1035, 233, 41	1.436	0.0926706442604	0.179497408451	233
Nitrogen metabolism(mmu00910)	8447, 551, 17, 1	0.902	0.859013126075	1.0	17
Lysine degradation(mmu00310)	8447, 1692, 58, 23	1.98	0.00453012522322	0.012398237453	58
