# Analysis title: diff_Primary_versus_Naive_c3.0_cond1_formatted analysis from Cistrome-GO
# Mode: Ensemble mode
# Specie: mm10
# Peak bed file name: diff_Primary_versus_Naive_c3.0_cond1_formatted.bed
# Differential expression file name: primary_vs_control_naive_deseq2.csv
# Genes for gene ontology: allgenes
# Column index of (GeneID, logFoldChange, FDR): 1,3,7
# Cutoffs of logFoldChange and FDR for DE genes: 1.0, 0.05
# Top peaks to use: 10000
# Half-decay distance: 1000bp
# FDR cutoff of GO/KEGG terms to return: 0.2
# Minimum and maximum gene number in GO and KEGG gene sets: 10, 2000
# Symbol	Coordinate	PeakNumber	RPscore	adjRPscore	logFoldChange	DE significance	Rank_by_rank_product
Aqp12	chr1:93006333-93012269	0	0.0	0.0	0.000	1.000E+00	9628
1810010H24Rik	chr11:107028222-107030442	0	0.0	0.0	0.000	1.000E+00	9628
Rpl31-ps12	chr16:16819712-16820196	0	0.0	0.0	0.000	1.000E+00	9628
Dag1	chr9:108204860-108263815	0	0.0	0.0	-2.744	1.620E-22	2706
Myadm	chr7:3290555-3299349	2	1.61	0.517	6.140	9.086E-07	675
Gm15008	chrX:36910833-36911985	0	0.0	0.0	0.000	1.000E+00	9628
Sacs	chr14:61138456-61240693	0	0.0	0.0	3.929	8.305E-39	1773
Zfp712	chr13:67038593-67061170	0	0.0	0.0	-2.437	1.165E-04	6724
Zfp710	chr7:80026227-80092751	1	0.007	0.002	2.857	2.799E-05	5553
Zfp711	chrX:112600525-112635062	0	0.0	0.0	0.000	1.000E+00	9628
Zfp715	chr7:43296522-43313300	0	0.0	0.0	-1.589	2.729E-18	3136
Mllt6	chr11:97663411-97685458	4	0.955	0.307	3.250	1.773E-99	194
Zfp719	chr7:43579585-43593710	1	0.623	0.2	5.220	7.248E-05	4148
Mllt1	chr17:56892610-56935388	0	0.0	0.0	0.000	1.000E+00	9628
Mllt3	chr4:87769924-88033407	0	0.0	0.0	-1.767	2.777E-69	996
Btg4	chr9:51116000-51119923	0	0.0	0.0	0.000	1.000E+00	9628
Btg3	chr16:78359859-78376810	0	0.0	0.0	-1.846	3.415E-10	4567
Btg2	chr1:134074864-134079155	3	0.0	0.0	-0.960	2.953E-76	880
Btg1	chr10:96617000-96622811	1	0.834	0.267	1.095	1.035E-109	239
Smok3a	chr5:138021275-138034659	0	0.0	0.0	0.000	1.000E+00	9628
Smok3c	chr5:138053194-138066539	0	0.0	0.0	0.000	1.000E+00	9628
Smok3b	chr5:138037223-138050633	0	0.0	0.0	0.000	1.000E+00	9628
Nupl1	chr14:60218070-60251479	1	0.799	-0.1	0.000	1.000E+00	10844
Nupl2	chr5:24164962-24184010	0	0.0	0.0	0.000	1.000E+00	9628
Hoxd3os1	chr2:74710043-74716130	0	0.0	0.0	0.000	1.000E+00	9628
Ttc30a2	chr2:75976171-75978179	0	0.0	0.0	0.000	1.000E+00	9628
Npat	chr9:53537046-53575627	0	0.0	0.0	2.887	2.189E-12	4062
Ttc30a1	chr2:75979105-75981967	0	0.0	0.0	0.000	1.000E+00	9628
Gga1	chr15:78877189-78894585	0	0.0	0.0	2.795	5.101E-11	4357
Gga3	chr11:115584254-115603916	1	0.658	0.211	-0.845	1.484E-05	3761
Gga2	chr7:121986721-122021198	0	0.0	0.0	0.000	1.000E+00	9628
Sorbs1	chr19:40292039-40402310	0	0.0	0.0	-0.682	1.011E-02	8595
Sorbs3	chr14:70180467-70192246	0	0.0	0.0	0.000	1.000E+00	9628
Sorbs2	chr8:45507787-45827906	0	0.0	0.0	0.000	1.000E+00	9628
Tshz2	chr2:169632508-169913092	0	0.0	0.0	0.000	1.000E+00	9628
Tshz3	chr7:36698117-36773553	0	0.0	0.0	0.000	1.000E+00	9628
Tshz1	chr18:84011626-84087708	1	0.057	0.018	-1.634	2.293E-53	1030
Mir302c	chr3:127545362-127545430	2	0.01	0.002	0.000	1.000E+00	8126
Bbof1	chr12:84409067-84433780	0	0.0	-0.002	0.000	1.000E+00	10426
Speer4d	chr5:15619098-15623864	0	0.0	0.0	0.000	1.000E+00	9628
Speer4e	chr5:14933630-14938475	0	0.0	0.0	0.000	1.000E+00	9628
Speer4a	chr5:26034269-26039505	0	0.0	0.0	0.000	1.000E+00	9628
Speer4b	chr5:27495808-27501392	0	0.0	0.0	0.000	1.000E+00	9628
Speer4c	chr5:15709504-15714271	0	0.0	0.0	0.000	1.000E+00	9628
Arhgef28	chr13:97898594-98206165	0	0.0	0.0	0.000	1.000E+00	9628
Malrd1	chr2:15526478-16255557	0	0.0	0.0	0.000	1.000E+00	9628
Trnt1	chr6:106769137-106777681	1	0.668	-0.144	0.602	3.374E-03	10296
Arhgef26	chr3:62338776-62462221	0	0.0	0.0	0.000	1.000E+00	9628
Efnb1	chrX:99136060-99149022	0	0.0	0.0	0.000	1.000E+00	9628
Lmna	chr3:88483204-88503352	1	0.002	-0.003	1.505	1.362E-12	4746
Fndc3c1	chrX:106420042-106485229	0	0.0	0.0	0.000	1.000E+00	9628
Zdbf2	chr1:63273268-63314575	0	0.0	0.0	5.948	3.833E-06	5896
Sorcs1	chr19:50147660-50678646	0	0.0	0.0	0.000	1.000E+00	9628
Sorcs2	chr5:36017180-36398139	0	0.0	0.0	-5.482	4.151E-12	4130
Sorcs3	chr19:48206024-48805505	0	0.0	0.0	0.000	1.000E+00	9628
Trim34a	chr7:104244456-104262236	0	0.0	0.0	1.960	9.865E-07	5678
Trim34b	chr7:104329470-104336617	0	0.0	0.0	0.000	1.000E+00	9628
Prepl	chr17:85063476-85090267	0	0.0	-0.281	0.000	1.000E+00	11006
4933412E24Rik	chr15:60014865-60016618	0	0.0	0.0	0.000	1.000E+00	9628
Cdhr1	chr14:37077848-37098347	0	0.0	0.0	0.000	1.000E+00	9628
Cdhr2	chr13:54701462-54736662	0	0.0	-0.002	0.000	1.000E+00	10456
Cdhr3	chr12:33033795-33092875	0	0.0	0.0	0.000	1.000E+00	9628
Cdhr5	chr7:141269084-141276786	0	0.0	0.0	0.000	1.000E+00	9628
Gm12863	chr4:118954272-118954919	0	0.0	0.0	0.000	1.000E+00	9628
Gm36633	chr7:71947526-71962018	0	0.0	0.0	0.000	1.000E+00	9628
Gm12866	chr4:119054789-119069111	0	0.0	0.0	0.000	1.000E+00	9628
Tcof1	chr18:60813755-60848964	1	0.574	0.184	-0.592	2.632E-04	4599
Gm3279	chr6:55684570-55694574	0	0.0	0.0	0.000	1.000E+00	9628
AI662270	chr11:83223575-83226584	1	0.408	0.131	2.964	3.016E-06	4208
Olfr523	chr7:140176103-140177057	0	0.0	0.0	0.000	1.000E+00	9628
Olfr522	chr7:140162009-140162948	0	0.0	0.0	0.000	1.000E+00	9628
Olfr521	chr7:99767163-99768129	0	0.0	0.0	0.000	1.000E+00	9628
Olfr520	chr7:99735144-99736095	0	0.0	0.0	0.000	1.000E+00	9628
Olfr527	chr7:140335863-140336781	0	0.0	0.0	0.000	1.000E+00	9628
Olfr525	chr7:140322700-140323630	0	0.0	0.0	0.000	1.000E+00	9628
Olfr524	chr7:140201811-140202768	7	0.115	0.037	0.000	1.000E+00	7099
Gm10646	chr9:67102299-67109599	0	0.0	0.0	0.000	1.000E+00	9628
Gm10640	chr7:31162357-31170641	6	0.013	0.004	0.000	1.000E+00	7859
Gm10649	chr8:76749086-76900621	0	0.0	0.0	0.000	1.000E+00	9628
Zik1	chr7:10487223-10495381	0	0.0	0.0	0.000	1.000E+00	9628
8430426J06Rik	chr15:81242653-81247971	0	0.0	0.0	0.000	1.000E+00	9628
Usp8	chr2:126707327-126759314	0	0.0	-0.38	1.887	5.465E-10	6672
Usp1	chr4:98923809-98935542	2	1.328	0.426	1.576	9.020E-08	1145
Usp2	chr9:44069428-44095627	0	0.0	-0.196	0.000	1.000E+00	10945
Usp3	chr9:66514638-66593115	0	0.0	-0.005	-1.497	7.258E-38	2161
Usp4	chr9:108347830-108392529	0	0.0	-0.001	1.116	2.172E-10	5184
Usp5	chr6:124815018-124829484	0	0.0	0.0	0.000	1.000E+00	9628
Usp7	chr16:8688721-8738342	0	0.0	0.0	-1.174	1.484E-50	1378
Rpl38	chr11:114668579-114672333	1	0.45	0.144	0.000	1.000E+00	6245
Rpl39	chrX:37082517-37085222	0	0.0	0.0	-0.656	1.944E-08	5104
Rpl36	chr17:56613394-56614246	1	0.0	-0.0	0.000	1.000E+00	9664
Rpl37	chr15:5116612-5119140	0	0.0	-0.344	-0.485	2.023E-03	10586
Rpl34	chr3:130726826-130730337	1	0.851	-0.053	-0.359	1.407E-03	9813
Rpl35	chr2:39001580-39005131	0	0.0	0.0	-0.975	3.859E-14	3754
Rpl32	chr6:115805513-115808743	1	0.656	0.21	-1.783	4.391E-134	249
Rpl30	chr15:34440507-34443225	1	0.684	0.219	-1.546	8.267E-50	790
Rpl31	chr1:39367850-39371910	1	0.524	0.168	-0.960	2.508E-12	2668
Anp32e	chr3:95929256-95947387	2	0.957	0.307	1.240	7.076E-06	1907
Fam13b	chr18:34442350-34506823	0	0.0	0.0	-1.237	2.021E-28	2281
Fam13c	chr10:70440909-70558732	0	0.0	0.0	0.000	1.000E+00	9628
Fam13a	chr6:58933535-59024502	0	0.0	0.0	-4.948	2.054E-03	7796
Bcas2	chr3:103171654-103179154	0	0.0	-0.014	1.648	3.967E-05	8038
Bcas3	chr11:85353163-85826058	1	0.857	0.275	0.740	3.103E-03	3116
Bcas1	chr2:170346990-170427845	0	0.0	0.0	0.000	1.000E+00	9628
Gm8369	chr19:11492037-11512577	9	1.424	0.457	0.693	3.149E-03	1482
Gm8363	chr17:5480988-5483069	0	0.0	0.0	0.000	1.000E+00	9628
Krtap28-13	chr1:83060929-83061921	0	0.0	0.0	0.000	1.000E+00	9628
Hist3h2ba	chr11:58948910-58949372	0	0.0	-0.001	4.829	3.226E-04	8192
Mlycd	chr8:119394893-119411102	0	0.0	0.0	4.743	3.816E-04	7119
Hist4h4	chr6:136803992-136804431	3	0.835	-0.007	0.000	1.000E+00	10597
Rpl3l	chr17:24727828-24736149	1	0.081	0.024	0.000	1.000E+00	7253
Ttbk2	chr2:120732816-120850418	0	0.0	0.0	-2.595	1.825E-09	4786
Gm10046	chr7:27765672-27770972	0	0.0	0.0	0.000	1.000E+00	9628
Ttbk1	chr17:46442447-46487675	0	0.0	0.0	0.000	1.000E+00	9628
Ncor2	chr5:125017152-125179214	0	0.0	0.0	-0.307	8.810E-03	8500
Ncor1	chr11:62401376-62457332	1	0.001	0.0	-0.697	4.460E-28	2094
1810010D01Rik	chr7:145205817-145208119	0	0.0	0.0	0.000	1.000E+00	9628
Pebp1	chr5:117282650-117287564	0	0.0	0.0	-1.084	3.798E-03	8060
Gkn1	chr6:87345652-87350915	0	0.0	0.0	0.000	1.000E+00	9628
Gkn2	chr6:87373364-87379494	0	0.0	0.0	0.000	1.000E+00	9628
Gkn3	chr6:87383318-87388935	0	0.0	0.0	0.000	1.000E+00	9628
Magohb	chr6:131284388-131293244	0	0.0	0.0	0.000	1.000E+00	9628
Ankrd50	chr3:38449260-38484816	0	0.0	0.0	-2.319	1.624E-113	511
Ppme1	chr7:100326736-100371896	1	0.856	-0.067	0.000	1.000E+00	10781
Gltpd2	chr11:70519208-70520736	0	0.0	-0.0	0.000	1.000E+00	9936
Gm19276	chr15:10829050-10832713	0	0.0	0.0	0.000	1.000E+00	9628
Gm19277	chr15:85149253-85156132	0	0.0	0.0	0.000	1.000E+00	9628
Cep162	chr9:87191962-87255532	0	0.0	0.0	0.000	1.000E+00	9628
Gm14015	chr2:106463822-106523103	0	0.0	0.0	0.000	1.000E+00	9628
Fam234b	chr6:135197986-135236240	0	0.0	0.0	3.001	3.315E-07	5496
Lrriq1	chr10:103214398-103236322	0	0.0	0.0	0.000	1.000E+00	9628
Fam234a	chr17:26212698-26244242	0	0.0	-0.001	0.000	1.000E+00	10393
Lrriq4	chr3:30647885-30672431	0	0.0	0.0	0.000	1.000E+00	9628
Vmn2r84	chr10:130385799-130394241	0	0.0	0.0	-5.711	1.403E-04	6781
Vmn2r85	chr10:130418260-130429612	0	0.0	0.0	0.000	1.000E+00	9628
Vmn2r86	chr10:130446198-130455894	0	0.0	0.0	0.000	1.000E+00	9628
Gm15767	chr6:147242214-147243801	0	0.0	0.0	0.000	1.000E+00	9628
Gm15760	chr16:20545111-20548556	2	0.72	0.231	-7.019	9.353E-08	2888
Vmn2r81	chr10:79247776-79294535	0	0.0	0.0	0.000	1.000E+00	9628
Vmn2r82	chr10:79356590-79396766	0	0.0	0.0	0.000	1.000E+00	9628
Vmn2r83	chr10:79468957-79492154	0	0.0	0.0	0.000	1.000E+00	9628
Tinf2	chr14:55679079-55681817	0	0.0	-0.001	0.000	1.000E+00	10305
Vmn2r88	chr14:51411000-51418882	0	0.0	0.0	0.000	1.000E+00	9628
Vmn2r89	chr14:51451961-51461293	0	0.0	0.0	0.000	1.000E+00	9628
Egf	chr3:129677576-129725086	0	0.0	0.0	-2.271	1.378E-02	8790
Slc4a11	chr2:130684107-130697519	0	0.0	0.0	0.000	1.000E+00	9628
Slc4a10	chr2:62046514-62326743	0	0.0	0.0	0.000	1.000E+00	9628
4930519G04Rik	chr5:114853713-114883879	0	0.0	0.0	0.000	1.000E+00	9628
Ptprz1	chr6:22875501-23004684	0	0.0	0.0	0.000	1.000E+00	9628
Pold1	chr7:44532743-44548815	1	0.022	-0.004	1.716	2.540E-05	7621
Pold2	chr11:5872179-5878256	1	0.809	0.26	0.000	1.000E+00	4247
Pold3	chr7:100082112-100121500	1	0.617	-0.136	0.000	1.000E+00	10905
Pold4	chr19:4231892-4233634	1	0.864	0.277	3.829	1.130E-02	3274
Hdac1	chr4:129516103-129542646	0	0.0	0.0	0.524	9.967E-03	8585
Hdac3	chr18:37936970-37954988	0	0.0	0.0	0.000	1.000E+00	9628
Hdac2	chr10:36974543-37001888	0	0.0	-0.005	0.000	1.000E+00	10556
Hdac5	chr11:102195746-102230172	0	0.0	0.0	-1.016	8.465E-10	4702
Hdac4	chr1:91928778-92180341	0	0.0	0.0	-1.729	3.318E-90	701
Hdac7	chr15:97792663-97831767	1	0.013	0.004	0.000	1.000E+00	7852
Hdac6	chrX:7930121-7947889	0	0.0	0.0	-0.795	3.755E-02	9434
Hdac9	chr12:34371496-34528889	0	0.0	0.0	0.000	1.000E+00	9628
Hdac8	chrX:102407601-102505158	0	0.0	0.0	-1.183	2.165E-03	7831
Gmpr	chr13:45507443-45546386	0	0.0	0.0	0.000	1.000E+00	9628
Gmps	chr3:63976142-64019078	1	0.0	-0.009	0.872	1.682E-04	8604
1110032F04Rik	chr3:68869585-68872163	0	0.0	0.0	0.000	1.000E+00	9628
4930557J02Rik	chr5:34118739-34135339	0	0.0	0.0	0.000	1.000E+00	9628
Pvr	chr7:19903577-19921143	0	0.0	0.0	-1.694	2.927E-31	2097
4732471J01Rik	chr7:25394712-25566417	0	0.0	0.0	0.000	1.000E+00	9628
Lix1l	chr3:96601132-96625352	0	0.0	0.0	0.000	1.000E+00	9628
Ikzf5	chr7:131388648-131410478	0	0.0	-0.327	-2.226	1.032E-48	2025
Ikzf4	chr10:128630842-128645993	0	0.0	0.0	-4.724	2.931E-98	631
Ikzf1	chr11:11690176-11772926	3	0.198	0.063	2.282	1.645E-80	616
Ikzf3	chr11:98464692-98546031	4	2.018	0.648	0.212	3.029E-02	457
Ikzf2	chr1:69531209-69685960	3	1.649	0.529	1.655	6.977E-33	211
H2afv	chr11:6427225-6444443	0	0.0	0.0	0.000	1.000E+00	9628
Mbtd1	chr11:93886170-93946989	0	0.0	0.0	1.896	1.032E-15	3489
H2afx	chr9:44334714-44336073	3	0.788	0.001	3.934	9.194E-15	3190
H2afy	chr13:56073621-56135550	0	0.0	0.0	-0.604	9.177E-05	6670
H2afz	chr3:137864486-137866922	0	0.0	0.0	1.142	8.858E-11	4408
Gm29679	chr2:166564521-166567140	0	0.0	0.0	0.000	1.000E+00	9628
Gm29678	chr1:190403647-190417145	0	0.0	0.0	0.000	1.000E+00	9628
H2afj	chr6:136808247-136810074	3	1.589	0.486	3.832	2.578E-06	939
Theg	chr10:79576476-79587136	0	0.0	0.0	0.000	1.000E+00	9628
Gm21083	chr5:15576946-15582097	0	0.0	0.0	0.000	1.000E+00	9628
Fgf18	chr11:33116977-33147400	0	0.0	0.0	0.000	1.000E+00	9628
Fgf13	chrX:59062145-59134436	0	0.0	0.0	-1.971	1.097E-04	6708
Fgf12	chr16:28396944-28446075	0	0.0	0.0	0.000	1.000E+00	9628
Fgf11	chr11:69796067-69802280	0	0.0	0.0	0.000	1.000E+00	9628
Fgf10	chr13:118714698-118792573	0	0.0	0.0	0.000	1.000E+00	9628
Fgf17	chr14:70636202-70642268	0	0.0	0.0	0.000	1.000E+00	9628
Fgf16	chrX:105764476-105776532	0	0.0	0.0	0.000	1.000E+00	9628
Fgf15	chr7:144896531-144900951	0	0.0	0.0	0.000	1.000E+00	9628
Fgf14	chr14:123978290-124192546	0	0.0	0.0	0.000	1.000E+00	9628
Prss46	chr9:110844505-110856522	0	0.0	0.0	0.000	1.000E+00	9628
Prss44	chr9:110813993-110817999	0	0.0	0.0	0.000	1.000E+00	9628
Prss45	chr9:110834587-110841310	0	0.0	0.0	0.000	1.000E+00	9628
Prss42	chr9:110798184-110803744	0	0.0	0.0	0.000	1.000E+00	9628
Prss43	chr9:110826689-110831504	0	0.0	0.0	0.000	1.000E+00	9628
Prss40	chr1:34552330-34560943	0	0.0	0.0	0.000	1.000E+00	9628
Prss41	chr17:23836784-23844156	0	0.0	0.0	0.000	1.000E+00	9628
Prss48	chr3:85993809-86002491	0	0.0	0.0	0.000	1.000E+00	9628
Phc1	chr6:122317730-122339657	0	0.0	0.0	-1.767	5.625E-13	3964
Phc3	chr3:30899294-30969415	1	0.648	0.208	-1.432	1.367E-63	649
Phc2	chr4:128654701-128752881	0	0.0	0.0	1.636	4.108E-12	4128
Golt1b	chr6:142387242-142403858	0	0.0	0.0	1.947	1.600E-07	5414
Golt1a	chr1:133309822-133323026	0	0.0	0.0	0.000	1.000E+00	9628
Med25	chr7:44879383-44892424	1	0.129	0.041	0.000	1.000E+00	7042
4930544M13Rik	chr13:114607227-114697822	0	0.0	0.0	0.000	1.000E+00	9628
Grin1os	chr2:25291219-25298928	0	0.0	0.0	0.000	1.000E+00	9628
F830208F22Rik	chr18:77793258-77796390	0	0.0	0.0	0.000	1.000E+00	9628
Chmp3	chr6:71543851-71582609	0	0.0	-0.331	3.187	4.596E-08	7270
Chmp7	chr14:69716978-69732570	0	0.0	-0.323	-1.187	9.037E-09	6857
Chmp6	chr11:119913809-119919552	2	0.818	0.263	4.091	4.148E-04	3208
Chmp5	chr4:40948552-40965302	0	0.0	-0.299	2.718	5.648E-04	10114
Recql5	chr11:115892594-115933492	2	1.537	0.493	0.000	1.000E+00	1394
Mir6941	chr12:112920482-112920541	0	0.0	0.0	0.000	1.000E+00	9628
Gcnt7	chr2:172450312-172458596	0	0.0	0.0	-7.947	3.206E-10	4553
Mir6943	chr13:55453105-55453171	0	0.0	0.0	0.000	1.000E+00	9628
Gcnt1	chr19:17326140-17356667	0	0.0	0.0	4.091	8.970E-06	6085
Mir6945	chr13:55507624-55507692	1	0.019	0.006	0.000	1.000E+00	7728
Fam170a	chr18:50278368-50283020	0	0.0	0.0	0.000	1.000E+00	9628
Mir6947	chr14:29988887-29988952	0	0.0	0.0	0.000	1.000E+00	9628
Mir6948	chr14:54643048-54643110	0	0.0	0.0	0.000	1.000E+00	9628
Mir6949	chr14:56082400-56082468	0	0.0	0.0	0.000	1.000E+00	9628
Mark4	chr7:19426074-19458494	0	0.0	0.0	-0.705	3.252E-03	7995
Mark1	chr1:184896423-184999549	0	0.0	0.0	0.000	1.000E+00	9628
Mark2	chr19:7275395-7295447	0	0.0	0.0	-0.494	1.437E-06	5729
Mark3	chr12:111574509-111656227	0	0.0	0.0	2.573	8.438E-26	2442
4930565D16Rik	chr3:84349375-84379921	0	0.0	0.0	0.000	1.000E+00	9628
Gm7607	chr9:14663021-14665100	0	0.0	0.0	0.000	1.000E+00	9628
Nmd3	chr3:69722054-69749046	1	0.643	0.206	1.053	2.673E-05	3914
Rps15a-ps6	chr11:6172507-6173331	0	0.0	0.0	0.000	1.000E+00	9628
Extl1	chr4:134356372-134372547	0	0.0	0.0	0.000	1.000E+00	9628
Extl2	chr3:116007448-116029016	0	0.0	0.0	3.299	3.270E-02	9340
Extl3	chr14:65052058-65098106	0	0.0	0.0	-0.656	2.540E-05	6320
Gm7609	chr1:85199610-85213762	0	0.0	0.0	0.000	1.000E+00	9628
Tia1	chr6:86404218-86433405	1	0.708	0.224	2.625	6.274E-08	2950
Tmem160	chr7:16452778-16455490	0	0.0	0.0	2.988	7.139E-04	7336
Tmem163	chr1:127490341-127678021	0	0.0	0.0	1.461	1.936E-03	7761
Tmem165	chr5:76183879-76209244	0	0.0	0.0	2.555	1.026E-07	5345
Tmem164	chrX:142681399-142838371	0	0.0	0.0	3.515	3.037E-15	3574
Med26	chr8:72494558-72548310	1	0.745	0.239	-1.268	1.489E-06	2982
Tmem169	chr1:72284372-72302995	0	0.0	0.0	0.000	1.000E+00	9628
Tmem168	chr6:13580688-13608098	0	0.0	-0.335	-1.683	1.090E-25	3503
Tbc1d8	chr1:39371495-39478755	0	0.0	0.0	-4.343	2.159E-21	2809
Tbc1d9	chr8:83165351-83272940	0	0.0	0.0	4.091	3.169E-03	7982
Tbc1d1	chr5:64230356-64351486	0	0.0	0.0	1.595	7.842E-17	3315
Tbc1d2	chr4:46604389-46650199	0	0.0	-0.003	0.000	1.000E+00	10490
Tbc1d4	chr14:101442359-101609191	0	0.0	0.0	-0.320	7.282E-03	8403
Tbc1d5	chr17:50733126-51179352	0	0.0	-0.305	-1.014	2.109E-05	9089
Tbc1d7	chr13:43151741-43171501	3	0.879	-0.097	0.000	1.000E+00	10840
D730003I15Rik	chr1:191224453-191225687	0	0.0	0.0	0.000	1.000E+00	9628
Spata48	chr11:11463743-11515190	1	0.238	0.076	0.000	1.000E+00	6759
Spata45	chr1:191036821-191042941	0	0.0	-0.0	0.000	1.000E+00	10127
Spata46	chr1:170308818-170312125	0	0.0	0.0	0.000	1.000E+00	9628
Tex13a	chrX:138208158-138209580	0	0.0	0.0	0.000	1.000E+00	9628
Mir3070a	chr12:109587942-109588031	0	0.0	0.0	0.000	1.000E+00	9628
Mir3070b	chr12:109588591-109588680	0	0.0	0.0	0.000	1.000E+00	9628
4933405E24Rik	chr11:54177771-54213288	1	0.34	0.109	0.000	1.000E+00	6538
Mir293	chr7:3220342-3220422	0	0.0	0.0	0.000	1.000E+00	9628
Akirin2	chr4:34550614-34566908	1	0.586	0.188	1.546	3.529E-06	3820
Akirin1	chr4:123735194-123750299	0	0.0	0.0	-1.022	5.354E-13	3960
Olfr247	chr10:129983479-129984424	0	0.0	0.0	0.000	1.000E+00	9628
Ap3m1	chr14:21033741-21052442	0	0.0	0.0	-1.743	1.697E-17	3219
Crhbp	chr13:95431375-95444831	0	0.0	0.0	0.000	1.000E+00	9628
Limd2	chr11:106156253-106160176	0	0.0	0.0	-1.756	6.072E-114	509
Limd1	chr9:123478700-123521552	0	0.0	0.0	5.190	4.660E-22	2756
1700046C09Rik	chr11:14560335-14599225	0	0.0	0.0	0.000	1.000E+00	9628
Nop58	chr1:59685005-59711510	0	0.0	-0.359	-0.497	1.382E-02	10977
Acsf2	chr11:94557101-94601786	0	0.0	0.0	0.000	1.000E+00	9628
Acsf3	chr8:122775485-122817887	0	0.0	0.0	2.969	2.995E-03	7955
Nop53	chr7:15937835-15946108	0	0.0	0.0	-0.725	2.344E-16	3401
Sarnp	chr10:128821763-128877638	1	0.786	0.252	0.000	1.000E+00	4458
Cdk13	chr13:17715961-17805097	0	0.0	-0.0	-1.474	3.363E-85	830
Kcnip4	chr5:48389502-48889557	0	0.0	0.0	0.000	1.000E+00	9628
Kcnip3	chr2:127456497-127521392	0	0.0	0.0	0.000	1.000E+00	9628
Kcnip2	chr19:45792345-45812291	0	0.0	0.0	-2.127	3.995E-06	5907
Kcnip1	chr11:33629340-33843686	0	0.0	0.0	0.000	1.000E+00	9628
4930553E22Rik	chr16:84371142-84375505	0	0.0	0.0	0.000	1.000E+00	9628
4930447A16Rik	chr15:37425553-37440644	0	0.0	0.0	0.000	1.000E+00	9628
Tpcn1	chr5:120534156-120588613	0	0.0	0.0	-0.699	2.329E-02	9126
Tpcn2	chr7:145215208-145284011	1	0.847	0.272	0.637	4.640E-02	3764
Tcirg1	chr19:3896049-3906983	3	1.339	0.43	1.316	2.009E-06	1245
Ltbp4	chr7:27305140-27333648	0	0.0	0.0	0.000	1.000E+00	9628
Ltbp3	chr19:5740899-5758532	3	0.002	0.001	0.000	1.000E+00	8470
Ltbp2	chr12:84783211-84876495	0	0.0	0.0	0.000	1.000E+00	9628
Tcl1	chr12:105216754-105222737	0	0.0	0.0	0.000	1.000E+00	9628
Olfr911-ps1	chr9:38523729-38524669	0	0.0	0.0	0.000	1.000E+00	9628
Chadl	chr15:81686166-81697287	0	0.0	0.0	-6.835	2.682E-07	5469
3300002P13Rik	chr7:3421664-3423445	0	0.0	0.0	0.000	1.000E+00	9628
Gm34240	chr3:63439250-63457897	0	0.0	0.0	0.000	1.000E+00	9628
9530082P21Rik	chr17:23749235-23754065	0	0.0	0.0	0.000	1.000E+00	9628
Gm1600	chr16:10324104-10331285	0	0.0	0.0	0.000	1.000E+00	9628
