FIELD	COUNT	DESC
ReadPairs_NoGene	1156389	Number of reads or read-pairs that are not assigned to any gene.
ReadPairs_NoGene_Intron	1084687	Number of reads or read-pairs that are not assigned to any gene, and that occur within an intronic region of one or more genes.
ReadPairs_NoGene_OneKbFromGene	20064	Number of reads or read-pairs that are not assigned to any gene, and that are within 1kb from one or more genes.
ReadPairs_NoGene_TenKbFromGene	41196	Number of reads or read-pairs that are not assigned to any gene, and that are within 10kb from one or more genes.
ReadPairs_NoGene_MiddleOfNowhere	10442	Number of reads or read-pairs that are not assigned to any gene, and that are more than 10kb from the nearest gene
Genes_Total	55421	Number of known genes
Genes_WithZeroCounts	38442	Number of genes with zero observed reads
Genes_WithNonzeroCounts	16979	Number of genes with 1 or more observed reads
InsertSizeCalc_Kept	2355061	Number of read-pairs that satisfied the filters needed to calculate insert size.
InsertSizeCalc_lt_readLen	623	Number of read pairs with insert size less than the read length
InsertSizeCalc_eq_readLen	442	Number of read pairs with insert size equal to the read length
InsertSizeCalc_readLen_to_2xreadLen	923535	Number of read pairs with insert size greater than the read length but less than twice the read length
InsertSizeCalc_ge_2xreadLen	1430461	Number of read pairs greater than twice the read length
InsertSizeCalc_Drop_TOTAL	2080	Number of read-pairs for which insert size could not be successfully calculated
InsertSizeCalc_Drop_REASON1	0	Dropped because the forward read appears after the reverse read
InsertSizeCalc_Drop_REASON2	1838	Dropped because the paired reads have different splicing over the overlapped region
InsertSizeCalc_Drop_REASON3	242	Dropped because too many adaptor bases are aligned to the reference genome (indicating bad alignment)
AVG_GC_R1	0.475310164594866	Average GC fraction for read 1
AVG_GC_R2	0.48032323170544877	Average GC fraction for read 2
AVG_GC	0.4778166981501573	Average GC fraction across all reads
AggregateGenes	48535	Number of aggregate genes
AggregateGenes_NoReads	33846	Number of aggregate genes with 0 observed reads
AggregateGenes_WithReads	14689	Number of aggregate genes with 1 or more observed reads
SpliceLoci	291937	Number of splice loci observed
SpliceLoci_Known	284992	Number of known splice loci
SpliceLoci_Known_NoReads	207777	Number of known splice loci with 0 observed reads
SpliceLoci_Known_FewReads	47382	Number of known splice loci with 1-3 observed reads
SpliceLoci_Known_ManyReads	29833	Number of known splice loci with 4+ observed reads
SpliceLoci_Novel	6945	Number of novel splice loci observed
SpliceLoci_Novel_FewReads	6879	Number of novel splice loci observed with 1-3 observed reads
SpliceLoci_Novel_ManyReads	66	Number of novel splice loci observed with 4+ observed reads
SpliceEvents	427893	Number of observed splicing events (each read or read-pair that maps across a splice junction is a splice 'event')
SpliceEvents_KnownLoci	419929	Number of splice events covering known SJ loci
SpliceEvents_KnownLociWithFewReads	80017	Number of splice events covering low-coverage known SJ loci
SpliceEvents_KnownLociWithManyReads	339912	Number of splice events covering high-coverage known SJ loci
SpliceEvents_NovelLoci	7964	Number of splice events covering noverl SJ loci
SpliceEvents_NovelLociWithFewReads	7524	Number of splice events covering low-coverage novel SJ loci
SpliceEvents_NovelLociWithManyReads	440	Number of splice events covering high-coverage novel SJ loci
StrandTest_frFirstStrand	1065637	Number of reads or read-pairs that match the fr_FirstStrand strandedness rule
StrandTest_frSecondStrand	17655	Number of reads or read-pairs that match the fr_secondstrand strandedness rule
StrandTest_ambig_genesFountOnBothStrands	44724	Number of reads or read-pairs where the strandedness is ambiguous due to there being genes on both strands
StrandTest_ambig_noGenes	1228864	Number of reads or read-pairs where the strandedness is ambiguous due to there being no known genes.
StrandTest_ambig_other	261	Numebr of reads or read-pairs where the strandedness is ambiguous due to other reasons
StrandTest_STRANDEDNESS_MATCHES_INFERRED	0	1 if the strandedness appears to match the strandedness mode, 0 otherwise.
NumberOfChromosomesCovered	36	Number of chromosomes with 1 or more aligned reads.
deletionLoci	60828	Number of observed deletion loci
insertionLoci	17904	Number of observed insertion loci
deletionEventCt	64800	Number of times deletions are observed in a read
insertionEventCt	22831	Number of times insertions are observed in a read
highCoverageDeletionLoci	54	Number of high-coverage deletion loci.
highCoverageInsertionLoci	58	Number of high-coverage insertion loci
PAIR_CONTAINS_DEL	64269	Number of read-pairs containing one or more deletions
PAIR_CONTAINS_INS	25117	Number of read-pairs containing one or more insertions
PAIR_CONTAINS_INS_AND_DEL	287	Number of read-pairs containing one or more insertions and deletions
PAIR_CONTAINS_INDEL	89099	Number of read-pairs containing one or more insertions or deletions
PAIR_CONTAINS_NO_INDEL	2268042	Number of read-pairs containing no indels
READ_CONTAINS_DEL_R1	56745	Number of read pairs containing a del in read 1
READ_CONTAINS_INS_R1	23077	Number of read pairs containing a ins in read 2
READ_CONTAINS_NO_INDEL_R1	2277538	Number of read pairs containing no indels in read 1
READ_CONTAINS_DEL_R2	7524	Number of read pairs containing a del in read 2
READ_CONTAINS_INS_R2	2040	Number of read pairs containing a ins in read 2
READ_CONTAINS_NO_INDEL_R2	2347580	Number of read pairs containing no indels in read 2
OM_noOverlap_staggered	0	Number of read-pairs with no overlap, mis-staggered such that the fwd read occurs second.
OM_noOverlap_normal	1434714	Number of read-pairs with no overlap, arranged normally
OM_overlap	922427	Number of read-pairs with good overlap.
OM_BAD_OVERLAP	0	Number of read-pairs with a bad overlap
OM_overlap_Match	896233	Number of read-pairs with a good overlap, and that match perfectly.
OM_overlap_mismatch	26194	Number of read-pairs with a good overlap, but that contain one or more base mismatches
NumReadsAtMaxReadLength_R1	2357141	Number of read-1 reads at the max length.
NumReadsAtMaxReadLength_R2	2357141	Number of read-2 reads at the max length.
NumReadsTruncated_R1	0	Number of read-1 reads that are not at the max length.
NumReadsTruncated_R2	0	Number of read-2 reads that are not at the max length.
NumReadsTruncated_25pct_R1	0	Number of read-1 reads that are truncated to less than 25% of the max length
NumReadsTruncated_25pct_R2	0	Number of read-2 reads that are truncated to less than 25% of the max length
NumReadsTruncated_50pct_R1	0	Number of read-1 reads that are truncated to less than 50% of the max length
NumReadsTruncated_50pct_R2	0	Number of read-2 reads that are truncated to less than 50% of the max length
NumReadsTruncated_75pct_R1	0	Number of read-1 reads that are truncated to less than 75% of the max length
NumReadsTruncated_75pct_R2	0	Number of read-2 reads that are truncated to less than 75% of the max length
READ_LENGTH	75	The read length.
COMPLETED_WITHOUT_WARNING	0	0 if complete without throwing any warnings. 1 if warnings were thrown.
QoRTs_initTimeStamp	1572918959490	Time stamp for when QoRTs QC began.
QoRTs_samDoneTimeStamp	1572919384064	Time stamp for when QoRTs QC finished SAM iteration.
QoRTs_majorVer	1	QoRTs major version number
QoRTs_minorVer	3	QoRTs minor version number
QoRTs_patchVer	6	QoRTs patch version number
QoRTs_compileTimeStamp	1537888906	The timestamp for when the version of QoRTs was built.
COMPLETED_WITHOUT_ERROR	1	1 if QoRTs completed without errors. If QoRTs encountered an error, this file should not exist.
